GENE_ID	locusLine	bin_1_U266_jia.bam
NM_013943	chr1(.):25066759-25175815	0.2422
NM_021222	chr1(.):150975972-151013189	0.3503
NM_032236	chr1(.):21999791-22114688	0.2661
NM_007051	chr1(.):50901934-51430936	0.082
NM_001006605	chr1(.):93302720-93432079	0.2195
NM_024408	chr1(.):120449175-120617276	0.2542
NM_020205	chr1(.):149907231-149987686	0.4261
NM_152263	chr1(.):154129289-154169609	0.5286
NR_002188	chr1(.):155178615-155202325	0.532
NM_001043351	chr1(.):154122779-154160725	0.5798
NM_021642	chr1(.):161470204-161494360	0.1493
NM_145214	chr1(.):228576376-228599517	0.2605
NM_001198993	chr1(.):1677670-1715297	0.6061
NM_023018	chr1(.):1677670-1714909	0.6067
NM_001198994	chr1(.):1677670-1716508	0.5919
NM_024980	chr1(.):9159475-9194229	0.1947
NM_004285	chr1(.):9289862-9336394	0.3832
NM_001113348	chr1(.):21538739-21677034	0.2824
NM_001013693	chr1(.):22133757-22156714	0.0953
NM_004091	chr1(.):23827921-23862713	1.0107
NM_020448	chr1(.):24737244-24804473	0.1316
NM_173065	chr1(.):24475646-24518751	0.7509
NM_031286	chr1(.):26601212-26613013	0.7431
NM_001048199	chr1(.):28827454-28870708	0.6544
NR_002909	chr1(.):28827454-28842404	1.2556
NM_001048183	chr1(.):28691092-28831881	0.1535
NM_022753	chr1(.):33278175-33329476	0.4353
NM_001017406	chr1(.):33278175-33305665	0.7507
NM_181809	chr1(.):39952317-40000541	0.6906
NM_001720	chr1(.):40218902-40259533	0.833
NM_174964	chr1(.):44168217-44401831	0.2116
NM_007170	chr1(.):45804554-45961840	0.1941
NR_034178	chr1(.):143910747-144099477	0.2982
NM_203458	chr1(.):145204110-145290912	0.554
NM_153713	chr1(.):145472084-145504091	0.3365
NM_001002812	chr1(.):144885590-145000022	0.5664
NM_014644	chr1(.):144846426-145000022	0.4618
NM_001198834	chr1(.):144846423-145000033	0.4618
NM_001198832	chr1(.):144846423-145044992	0.4517
NM_207168	chr1(.):150594521-150607098	0.6708
NM_020699	chr1(.):153772202-153900451	0.2479
NM_020524	chr1(.):154911558-154933567	1.5773
NM_181359	chr1(.):154372668-154445188	1.6672
NM_002249	chr1(.):154674914-154847754	0.3835
NM_004952	chr1(.):155046347-155065014	0.7764
NM_170782	chr1(.):154674914-154837338	0.3878
NM_005572	chr1(.):156079460-156112657	0.2623
NM_005973	chr1(.):156732273-156775609	0.9139
NM_001231	chr1(.):160155284-160176676	0.9317
NM_012394	chr1(.):161065345-161092866	0.4867
NM_002697	chr1(.):167185065-167401582	0.1646
NR_037163	chr1(.):167185122-167401582	0.1647
NM_014412	chr1(.):174963891-174986163	0.733
NM_001007214	chr1(.):174963570-174986163	0.7238
NM_152663	chr1(.):178689299-178894237	0.1932
NM_145034	chr1(.):179804101-179851941	0.3312
NM_022347	chr1(.):179823164-179851941	0.4807
NM_182663	chr1(.):206675878-206767616	0.6625
NM_002221	chr1(.):226814390-226931876	0.4565
NM_004481	chr1(.):230197955-230422875	0.2934
NM_003193	chr1(.):235525727-235617280	0.1547
NM_031371	chr1(.):235325209-235496532	0.1885
NM_152490	chr1(.):235605532-235672781	0.3103
NM_032328	chr1(.):245128170-245256148	0.2204
NR_026588	chr1(.):245128630-245256148	0.2209
NR_026587	chr1(.):245128630-245293530	0.1882
NR_026586	chr1(.):245128283-245293530	0.188
NM_182838	chr1(.):1658680-1682431	0.5962
NM_001198995	chr1(.):1677670-1695081	0.2468
NM_002074	chr1(.):1711728-1827495	0.2984
NM_138705	chr1(.):1841265-1853733	0.1796
NM_178545	chr1(.):1844028-1855740	0.1603
NM_177540	chr1(.):6610337-6644817	0.2393
NM_005341	chr1(.):6635062-6654340	0.2148
NM_014851	chr1(.):6645783-6667929	0.8378
NM_153812	chr1(.):6668755-6689093	0.8966
NM_024654	chr1(.):6576406-6619658	0.1468
NM_001195752	chr1(.):6680209-6698642	0.3862
NM_001195753	chr1(.):6679924-6698642	0.3816
NM_001428	chr1(.):8916062-8943780	0.6695
NR_029610	chr1(.):9206726-9216836	0.1294
NM_025106	chr1(.):9347940-9434590	0.6265
NM_015866	chr1(.):14026349-14119574	0.3887
NM_012231	chr1(.):14026349-14156574	0.3063
NM_001007257	chr1(.):14070875-14119574	0.289
NM_001135610	chr1(.):14021734-14156574	0.304
NM_033440	chr1(.):15778222-15803586	0.142
NM_007272	chr1(.):15759937-15778153	0.0818
NM_024329	chr1(.):15731390-15761839	0.6171
NM_014675	chr1(.):17243444-17304474	0.1492
NM_001136204	chr1(.):17728250-17770057	0.5903
NM_018715	chr1(.):17728250-17771220	0.5792
NM_001397	chr1(.):21538739-21621982	0.3257
NM_001113347	chr1(.):21538739-21611183	0.1193
NM_001113349	chr1(.):21538739-21621766	0.3227
NM_001032730	chr1(.):22049338-22114688	0.3719
