GENE_ID	locusLine	bin_1_MM4_jia.bam
NM_033055	chr1(.):100498788-100553929	0.133
NM_017744	chr1(.):113061140-113167040	0.0982
NM_138729	chr1(.):113079412-113167040	0.1033
NM_153713	chr1(.):145472084-145504091	0.1284
NM_207168	chr1(.):150594521-150607098	0.1941
NM_020524	chr1(.):154911558-154933567	0.2902
NM_005572	chr1(.):156079460-156112657	0.1553
NM_032328	chr1(.):245128170-245256148	0.1194
NR_026588	chr1(.):245128630-245256148	0.1194
NR_026587	chr1(.):245128630-245293530	0.1129
NR_026586	chr1(.):245128283-245293530	0.1129
NM_014675	chr1(.):17243444-17304474	0.1209
NM_005202	chr1(.):36555843-36570850	0.0949
NM_018067	chr1(.):36616802-36651441	0.2159
NM_014408	chr1(.):36597172-36620067	0.1667
NM_002228	chr1(.):59241462-59254785	0.2908
NR_034015	chr1(.):59245822-59370384	0.1276
NM_006135	chr1(.):113157074-113219241	0.1363
NM_017709	chr1(.):118143603-118176011	0.2964
NM_001123068	chr1(.):143762143-143772881	0.0932
NR_027469	chr1(.):143713512-143749587	0.1688
NR_027468	chr1(.):143713512-143749457	0.169
NM_032305	chr1(.):145451235-145475387	0.1876
NM_202004	chr1(.):145408190-145422545	0.1008
NM_006472	chr1(.):145433461-145447628	0.3634
NM_001039888	chr1(.):145465507-145480647	0.1412
NR_027468	chr1(.):147901021-147936980	0.1407
NM_019032	chr1(.):150516897-150538412	0.2529
NM_207046	chr1(.):150589598-150606609	0.1913
NR_036211	chr1(.):150519404-150529490	0.1323
NM_001197320	chr1(.):150542026-150557214	0.3325
NM_006556	chr1(.):154892207-154914484	0.2396
NM_001130041	chr1(.):154929773-154951959	0.2296
NM_001130040	chr1(.):154929773-154948223	0.2298
NM_201398	chr1(.):154950769-154970587	0.1108
NR_024163	chr1(.):154942117-154956725	0.2319
NM_138300	chr1(.):154924501-154939258	0.2659
NR_036212	chr1(.):154943168-154953259	0.2632
NM_001093725	chr1(.):156036803-156056789	0.1175
NM_020387	chr1(.):156025965-156045295	0.114
NM_022367	chr1(.):156118321-156152542	0.1094
NM_001193302	chr1(.):156118368-156152542	0.1095
NM_001193301	chr1(.):156114734-156152542	0.1139
NM_030916	chr1(.):161035780-161064385	0.1403
NM_007122	chr1(.):161004040-161020757	0.2766
NM_001113205	chr1(.):161002421-161013774	0.1482
NM_181720	chr1(.):161011731-161044760	0.2163
NM_016946	chr1(.):160960000-160996133	0.145
NR_034150	chr1(.):203262885-203279453	0.354
NM_006763	chr1(.):203269663-203283729	0.3374
NR_026817	chr1(.):207986723-208000941	0.366
NR_029832	chr1(.):207970196-207980284	0.1498
NR_029518	chr1(.):207970787-207980868	0.1549
NM_153606	chr1(.):212792788-212805120	0.1236
NM_001030287	chr1(.):212733696-212799116	0.1587
NM_001674	chr1(.):212776993-212799116	0.2341
NM_182972	chr1(.):234735014-234750271	0.4667
NR_033927	chr1(.):234760056-234775526	0.1002
NM_031844	chr1(.):245008601-245032827	0.1853
NM_198076	chr1(.):244993638-245013359	0.2209
NR_026778	chr1(.):244998939-245015243	0.1408
NR_033872	chr2(.):70184394-70319147	0.1294
NM_006037	chr2(.):239964863-240327643	0.0919
NM_006164	chr2(.):178090032-178134859	0.1692
NM_001145413	chr2(.):178090032-178133617	0.1715
NR_034113	chr2(.):25189980-25267563	0.1103
NM_001198559	chr2(.):25161504-25199963	0.1411
NM_016061	chr2(.):30364749-30388399	0.2169
NM_006196	chr2(.):70309584-70321334	0.4201
NR_024444	chr2(.):70346167-70357448	0.2045
NR_026875	chr2(.):97158382-97178846	0.0955
NM_212481	chr2(.):97197463-97223371	0.2102
NM_006538	chr2(.):111873490-111931022	0.1819
NM_207002	chr2(.):111873490-111891423	0.2665
NM_006186	chr2(.):157175943-157194287	0.2279
NM_001172712	chr2(.):174766186-174835430	0.1386
NM_001017371	chr2(.):174766186-174833947	0.1398
NR_036075	chr2(.):178115672-178125738	0.1278
NM_017759	chr2(.):206853444-206955906	0.1117
NR_033248	chr2(.):206975296-206986296	0.0837
NM_001099285	chr2(.):232568234-232583250	0.3208
NR_036052	chr2(.):232573023-232583105	0.2284
NR_027007	chr3(.):9425536-9444174	0.229
NM_207015	chr3(.):174572110-175528428	0.1242
NM_001135095	chr3(.):171753343-172123492	0.1946
NM_022763	chr3(.):171752417-172123492	0.1945
NM_033027	chr3(.):39178341-39200102	0.2486
NM_005067	chr3(.):150453909-150486263	0.2907
NM_001190242	chr3(.):159969773-160106554	0.1235
NM_001190241	chr3(.):159969773-160122320	0.149
NM_024665	chr3(.):176733541-176920048	0.1722
NM_006218	chr3(.):178861310-178957497	0.1824
NM_017644	chr3(.):183348410-183407304	0.1549
NM_014616	chr3(.):182506290-182644421	0.1545
NM_181573	chr3(.):186502681-186529484	0.1609
