GENE_ID	locusLine	bin_1_MM6_jia.bam
NM_021222	chr1(.):150975972-151013189	0.2956
NM_032236	chr1(.):21999791-22114688	0.166
NM_021639	chr1(.):46087975-46157302	0.1841
NM_007051	chr1(.):50901934-51430936	0.0874
NM_201569	chr1(.):183436505-183528328	0.2661
NM_001198993	chr1(.):1677670-1715297	0.3511
NM_023018	chr1(.):1677670-1714909	0.3514
NM_001198994	chr1(.):1677670-1716508	0.3424
NM_003820	chr1(.):2482804-2500267	0.42
NM_015291	chr1(.):15848351-15903228	0.2608
NM_015001	chr1(.):16169358-16271950	0.1507
NR_026567	chr1(.):17012712-17051652	0.1318
NM_001136265	chr1(.):19225773-19287826	0.2396
NM_001113348	chr1(.):21538739-21677034	0.1561
NM_001013693	chr1(.):22133757-22156714	0.061
NM_006990	chr1(.):27727125-27821669	0.2839
NM_002379	chr1(.):31179123-31201432	0.153
NR_034182	chr1(.):31186618-31204593	0.1767
NM_001100910	chr1(.):120834004-120860681	0.3168
NR_034178	chr1(.):143910747-144099477	0.2752
NM_153713	chr1(.):145472084-145504091	0.1944
NM_207168	chr1(.):150594521-150607098	0.6523
NM_015203	chr1(.):150331989-150454041	0.1753
NM_020832	chr1(.):151249790-151269381	0.492
NM_020699	chr1(.):153772202-153900451	0.1803
NM_020524	chr1(.):154911558-154933567	1.3485
NM_181359	chr1(.):154372668-154445188	0.272
NM_005973	chr1(.):156732273-156775609	0.2581
NM_005531	chr1(.):158974681-159029945	0.2791
NM_012394	chr1(.):161065345-161092866	0.338
NM_002697	chr1(.):167185065-167401582	0.2008
NR_037163	chr1(.):167185122-167401582	0.2008
NM_018442	chr1(.):167900796-168050083	0.1846
NR_026550	chr1(.):167882309-167910380	0.4581
NM_001143674	chr1(.):167882309-167911278	0.4484
NM_015415	chr1(.):167882309-167910233	0.46
NM_014412	chr1(.):174963891-174986163	0.5185
NM_014857	chr1(.):174123633-174932327	0.1316
NM_001007214	chr1(.):174963570-174986163	0.513
NM_152663	chr1(.):178689299-178894237	0.1967
NM_145034	chr1(.):179804101-179851941	0.2761
NM_022347	chr1(.):179823164-179851941	0.3845
NM_001164245	chr1(.):186339889-186395503	0.4154
NR_031642	chr1(.):186024866-186451655	0.1482
NM_144977	chr1(.):197516384-197749623	0.1671
NM_001195215	chr1(.):197468878-197749623	0.1607
NM_014827	chr1(.):203759750-203828256	0.267
NM_014935	chr1(.):204182980-204334044	0.0858
NM_182663	chr1(.):206675878-206767616	0.3097
NM_006243	chr1(.):212453878-212540205	0.1881
NM_003193	chr1(.):235525727-235617280	0.0981
NM_031371	chr1(.):235325209-235496532	0.1548
NM_032328	chr1(.):245128170-245256148	0.2276
NR_026588	chr1(.):245128630-245256148	0.2281
NR_026587	chr1(.):245128630-245293530	0.1951
NR_026586	chr1(.):245128283-245293530	0.1949
NM_182838	chr1(.):1658680-1682431	0.2888
NM_001198995	chr1(.):1677670-1695081	0.1729
NM_001010926	chr1(.):2455183-2466684	0.3924
NR_026927	chr1(.):2476358-2489284	1.0169
NM_018216	chr1(.):2434974-2463035	0.2253
NM_001195741	chr1(.):2513188-2527908	0.3043
NR_036638	chr1(.):2512898-2527908	0.2993
NM_015849	chr1(.):15797595-15822895	0.0619
NM_001229	chr1(.):15813768-15855940	0.2751
NM_032996	chr1(.):15813768-15856285	0.2733
NM_001089591	chr1(.):16128656-16139194	0.0615
NR_024279	chr1(.):16155709-16179642	0.619
NR_026752	chr1(.):16939750-16962401	0.2131
NR_027504	chr1(.):16967068-16981915	0.4029
NR_002729	chr1(.):17076400-17095975	0.1542
NM_014675	chr1(.):17243444-17304474	0.0596
NM_170726	chr1(.):19192923-19234293	0.1054
NM_001397	chr1(.):21538739-21621982	0.1704
NM_001113347	chr1(.):21538739-21611183	0.0882
NM_001113349	chr1(.):21538739-21621766	0.1688
NM_001032730	chr1(.):22049338-22114688	0.2166
NM_006015	chr1(.):27017521-27113601	0.317
NM_005281	chr1(.):27714151-27727317	0.1049
NM_207397	chr1(.):27700595-27714805	0.0628
NM_006762	chr1(.):31200314-31235683	0.3123
NM_005202	chr1(.):36555843-36570850	0.0642
NM_018067	chr1(.):36616802-36651441	0.3626
NM_014408	chr1(.):36597172-36620067	0.167
NM_001198979	chr1(.):40854016-40893998	0.2252
NM_001198978	chr1(.):40835304-40893998	0.3584
NM_001198980	chr1(.):40857471-40893998	0.1855
NM_022733	chr1(.):40834377-40893998	0.3543
NR_026768	chr1(.):46106451-46117357	0.0843
NM_016486	chr1(.):46148846-46165108	0.4687
NM_001262	chr1(.):51429366-51445306	1.1709
NM_078626	chr1(.):51430641-51445309	1.2675
NM_002228	chr1(.):59241462-59254785	0.7637
NR_034015	chr1(.):59245822-59370384	0.1909
NM_017709	chr1(.):118143603-118176011	0.6725
NM_207418	chr1(.):143891451-143918143	0.3898
NM_032305	chr1(.):145451235-145475387	0.4631
NM_202004	chr1(.):145408190-145422545	0.1095
NM_006472	chr1(.):145433461-145447628	0.7909
NM_001039888	chr1(.):145465507-145480647	0.3582
NM_001161334	chr1(.):149749244-149788928	0.1827
NM_001034077	chr1(.):149799220-149809616	0.56
NM_001005464	chr1(.):149807258-149817765	1.003
NM_001040874	chr1(.):149808784-149819318	1.0255
NM_001123375	chr1(.):149779779-149790236	0.3917
NM_005850	chr1(.):149890210-149904702	0.342
NM_016074	chr1(.):149866154-149877348	0.1798
NM_003528	chr1(.):149851009-149863232	1.2905
NM_003517	chr1(.):149853524-149863961	1.496
NM_175065	chr1(.):149854018-149864466	1.4839
NM_014849	chr1(.):149869871-149894434	0.1351
NM_181873	chr1(.):149895542-149913266	0.3286
NM_001145862	chr1(.):149895542-149913791	0.3229
NR_036461	chr1(.):149816758-149827340	1.0582
NM_001040874	chr1(.):149817627-149828161	1.0357
NM_001005464	chr1(.):149819180-149829687	1.0155
NM_001034077	chr1(.):149827329-149837725	0.5297
NM_004698	chr1(.):150288927-150330704	0.1232
NM_019032	chr1(.):150516897-150538412	0.9014
NM_207046	chr1(.):150589598-150606609	0.5924
NR_036211	chr1(.):150519404-150529490	0.1165
NM_001197320	chr1(.):150542026-150557214	1.4934
NM_001163258	chr1(.):150964300-150985854	0.4532
NM_181746	chr1(.):150932648-150952440	0.3568
NM_003568	chr1(.):150949498-150973114	0.1658
NM_001163260	chr1(.):150964300-150984273	0.4812
NM_001040217	chr1(.):150964300-150984385	0.4791
NM_138278	chr1(.):151004028-151025076	0.1661
NM_017860	chr1(.):151015258-151028871	0.279
NM_002810	chr1(.):151222196-151244954	0.1698
NM_002651	chr1(.):151259272-151305133	0.1792
NM_001198774	chr1(.):151259272-151305191	0.1791
NM_014437	chr1(.):153926587-153945188	0.4885
NM_130898	chr1(.):153935396-153951832	0.5256
NM_181715	chr1(.):153915151-153936043	0.4967
NM_006694	chr1(.):153941744-153955451	0.2555
NM_002870	chr1(.):153949127-153963806	0.4706
