#17_0EX3_0229Kronos_MM1S-KB-6hr-1_H3K27Ac_hs-dm_i33_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/17_0EX3_0229Kronos_MM1S-KB-6hr-1_H3K27Ac_hs-dm_i33_ROSE/17_0EX3_0229Kronos_MM1S-KB-6hr-1_H3K27Ac_hs-dm_i33_peaks_5KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X17_0EX3_0229Kronos_MM1S.KB.6hr.1_H3K27Ac_hs.dm_i33.bam
#Using cutoff of 23455.9689 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X17_0EX3_0229Kronos_MM1S.KB.6hr.1_H3K27Ac_hs.dm_i33.bam	X41_0EXT_0229Kronos_MM1S.KB.6hr.1_Input_hs_i85.bam	enhancerRank	isSuperStretch
12_MACS_peak_19581_lociStitched	chr3	141079237	141160651	12	67201	505947.303	15989.7096	1	1
8_MACS_peak_9970_lociStitched	chr16	11761624	11843184	8	69849	295548.972	14599.24	2	1
7_MACS_peak_24380_lociStitched	chr6	108878091	108960787	7	76772	182311.6016	11850.3368	3	1
9_MACS_peak_14419_lociStitched	chr2	37525743	37606696	9	60463	312527.1518	15049.1627	4	1
8_MACS_peak_8471_lociStitched	chr14	91812872	91885991	8	60313	220409.9136	6683.0766	5	1
1_MACS_peak_23289_lociStitched	chr6	7878401	7919873	1	41473	302417.9712	8651.0592	6	1
4_MACS_peak_16716_lociStitched	chr20	30261876	30312405	4	49323	205471.1256	10287.7044	7	1
6_MACS_peak_15099_lociStitched	chr2	99054702	99108245	6	46912	218332.2911	10740.7258	8	1
3_MACS_peak_8632_lociStitched	chr14	106023355	106052918	3	28277	265330.8813	4993.1907	9	1
6_MACS_peak_23170_lociStitched	chr6	290082	337919	6	33435	243351.6027	15585.2946	10	1
6_MACS_peak_16762_lociStitched	chr20	32398606	32452433	6	39602	167052.0945	9538.1444	11	1
3_MACS_peak_1419_lociStitched	chr1	118141992	118188232	3	38187	147690.56	5067.904	12	1
4_MACS_peak_12635_lociStitched	chr18	46440389	46480229	4	37541	113759.136	6844.512	13	1
5_MACS_peak_17735_lociStitched	chr22	23217679	23247213	5	26619	199100.5076	4492.1214	14	1
1_MACS_peak_20902_lociStitched	chr4	90205172	90230109	1	24938	201386.2246	5361.455	15	1
3_MACS_peak_4872_lociStitched	chr11	65183170	65212855	3	24922	200091.7425	6129.9525	16	1
8_MACS_peak_11381_lociStitched	chr17	34597754	34641571	8	34701	126315.6476	8938.668	17	1
3_MACS_peak_11914_lociStitched	chr17	62150126	62187177	3	35637	111871.7894	6598.7831	18	1
3_MACS_peak_4114_lociStitched	chr10	125822014	125854871	3	31907	147876.2142	5513.4046	19	1
2_MACS_peak_2317_lociStitched	chr1	203254961	203281721	2	21751	211883.004	7500.828	20	1
2_MACS_peak_17740_lociStitched	chr22	23268151	23286136	2	17974	217282.1805	3812.82	21	1
4_MACS_peak_25956_lociStitched	chr7	102063371	102093296	4	24418	190487.5875	4967.55	22	1
3_MACS_peak_8640_lociStitched	chr14	106145083	106173116	3	24397	187223.9971	3235.0082	23	1
4_MACS_peak_25533_lociStitched	chr7	55569163	55605701	4	26283	176021.815	6456.2646	24	1
6_MACS_peak_11323_lociStitched	chr17	32688361	32719727	6	25152	170195.0526	6430.03	25	1
5_MACS_peak_6897_lociStitched	chr12	109009359	109036441	5	23448	177024.2012	5102.2488	26	1
1_MACS_peak_24344_lociStitched	chr6	106530329	106556460	1	26132	158834.6704	5032.8306	27	1
2_MACS_peak_1717_lociStitched	chr1	154907906	154936167	2	25312	162390.5321	8085.4721	28	1
8_MACS_peak_10663_lociStitched	chr16	78763280	78804943	8	33335	37475.8685	4216.2956	29	1
1_MACS_peak_2984_lociStitched	chr10	11202468	11223902	1	21435	170522.4738	5289.9112	30	1
5_MACS_peak_23979_lociStitched	chr6	52389115	52424728	5	28560	113619.7152	6595.5276	31	1
2_MACS_peak_6317_lociStitched	chr12	53582067	53607643	2	23357	154443.2336	5299.3472	32	1
2_MACS_peak_4483_lociStitched	chr11	22676612	22704067	2	23450	149171.2515	4148.4505	33	1
5_MACS_peak_27479_lociStitched	chr8	120915644	120948191	5	28705	104329.4085	5604.5934	34	1
8_MACS_peak_19983_lociStitched	chr3	183219892	183261117	8	27418	119548.3775	10450.5375	35	1
3_MACS_peak_9276_lociStitched	chr15	68568572	68599548	3	28998	95821.1584	5250.432	36	1
3_MACS_peak_22586_lociStitched	chr5	131744658	131774500	3	23485	146207.8948	5544.6436	37	1
3_MACS_peak_1613_lociStitched	chr1	150532171	150553199	3	18902	171737.7788	5753.2608	38	1
7_MACS_peak_5783_lociStitched	chr12	7045650	7085673	7	27357	112884.8715	6551.7651	39	1
6_MACS_peak_11374_lociStitched	chr17	34509765	34540161	6	25987	126596.3004	7094.4264	40	1
7_MACS_peak_10542_lociStitched	chr16	68278059	68320716	7	29476	83654.6427	7068.2649	41	1
2_MACS_peak_26450_lociStitched	chr7	150062674	150084758	2	21783	153046.5368	5350.9532	42	1
5_MACS_peak_23055_lociStitched	chr5	173310075	173344152	5	30239	63277.5813	5145.627	43	1
1_MACS_peak_5894_lociStitched	chr12	12866057	12882069	1	16013	176348.162	3202.4	44	1
3_MACS_peak_6333_lociStitched	chr12	53845164	53876054	3	30719	44262.281	5164.808	45	1
5_MACS_peak_8769_lociStitched	chr15	31628307	31660582	5	27157	99639.38	5448.02	46	1
3_MACS_peak_11829_lociStitched	chr17	56404776	56431190	3	20243	151679.7536	5303.9312	47	1
6_MACS_peak_17987_lociStitched	chr22	37611062	37642403	6	25649	104525.3691	5208.8742	48	1
1_MACS_peak_14227_lociStitched	chr2	20404903	20426494	1	21592	133540.335	4054.7898	49	1
5_MACS_peak_16688_lociStitched	chr20	25261477	25303016	5	24262	114460.7145	6031.4628	50	1
1_MACS_peak_5617_lociStitched	chr11	128585179	128610102	1	24924	106695.363	4912.3233	51	1
1_MACS_peak_16283_lociStitched	chr2	232687087	232714984	1	27898	54376.8324	3252.7902	52	1
2_MACS_peak_12977_lociStitched	chr19	2081383	2098380	2	15635	158717.986	4672.4753	53	1
1_MACS_peak_2319_lociStitched	chr1	203288206	203298404	1	10199	175053.769	3872.1806	54	1
2_MACS_peak_15983_lociStitched	chr2	201979795	201998075	2	16565	152447.888	3952.136	55	1
1_MACS_peak_483_lociStitched	chr1	31213836	31233404	1	19569	134463.4688	4314.744	56	1
6_MACS_peak_24238_lociStitched	chr6	90053883	90086258	6	23565	105351.4875	5850.1625	57	1
1_MACS_peak_17492_lociStitched	chr21	41324453	41344310	1	19858	131858.4228	5720.8017	58	1
3_MACS_peak_19843_lociStitched	chr3	171801743	171827095	3	20887	125900.5672	6796.8712	59	1
3_MACS_peak_26546_lociStitched	chr8	2026989	2050913	3	19034	133641.8564	3775.2072	60	1
4_MACS_peak_25537_lociStitched	chr7	55616347	55643009	4	25788	68028.093	4471.2174	61	1
4_MACS_peak_18322_lociStitched	chr3	5222261	5256210	4	25493	70009.6278	5798.4892	62	1
3_MACS_peak_1422_lociStitched	chr1	118194891	118219254	3	20722	115743.7404	2606.841	63	1
5_MACS_peak_17563_lociStitched	chr21	45552555	45580790	5	19033	129751.119	6118.5245	64	1
5_MACS_peak_12182_lociStitched	chr17	76711115	76746236	5	24862	72180.6792	6086.4693	65	1
4_MACS_peak_1775_lociStitched	chr1	156115320	156137232	4	21499	106877.9712	5804.4888	66	1
3_MACS_peak_9985_lociStitched	chr16	12052337	12072051	3	14155	147332.579	3863.944	67	1
4_MACS_peak_21521_lociStitched	chr4	185317518	185350159	4	21453	104676.4229	5349.8599	68	1
5_MACS_peak_9357_lociStitched	chr15	75063216	75093055	5	23346	81075.5469	5481.4243	69	1
1_MACS_peak_20519_lociStitched	chr4	40190976	40209717	1	18742	120322.8423	4049.9301	70	1
2_MACS_peak_12381_lociStitched	chr18	9101621	9126880	2	23137	81796.2197	4776.4769	71	1
2_MACS_peak_11481_lociStitched	chr17	38465540	38484689	2	18969	115684.8537	3285.9684	72	1
2_MACS_peak_12383_lociStitched	chr18	9132570	9157602	2	23800	69834.2736	4888.7496	73	1
4_MACS_peak_13343_lociStitched	chr19	16243643	16272960	4	23859	67989.0547	4778.671	74	1
9_MACS_peak_24684_lociStitched	chr6	138246761	138297594	9	23877	71176.3666	8285.779	75	1
5_MACS_peak_13693_lociStitched	chr19	42027184	42062730	5	22714	84386.204	6647.102	76	1
3_MACS_peak_12377_lociStitched	chr18	9054669	9074595	3	14631	138561.4188	3775.977	77	1
3_MACS_peak_2991_lociStitched	chr10	11278900	11304714	3	23894	64395.6044	4840.125	78	1
3_MACS_peak_4352_lociStitched	chr11	10323616	10345139	3	18602	116222.0477	3923.6429	79	1
4_MACS_peak_14736_lociStitched	chr2	65156928	65178694	4	14643	136313.9282	4620.9218	80	1
4_MACS_peak_1586_lociStitched	chr1	149802980	149834095	4	18068	119400.701	7467.6	81	1
8_MACS_peak_8530_lociStitched	chr14	95945995	95986243	8	24280	40726.9512	3207.7656	82	1
3_MACS_peak_329_lociStitched	chr1	24511911	24533738	3	16183	125703.8757	4297.7363	83	1
3_MACS_peak_17092_lociStitched	chr20	52194024	52216108	3	21581	81578.296	3729.9876	84	1
3_MACS_peak_28576_lociStitched	chr9	112903677	112925477	3	21628	78100.68	4671.74	85	1
4_MACS_peak_11088_lociStitched	chr17	16858995	16883429	4	19358	98982.134	4173.3272	86	1
3_MACS_peak_1700_lociStitched	chr1	154370282	154394634	3	18225	108648.8832	5963.8048	87	1
4_MACS_peak_18391_lociStitched	chr3	13035369	13061589	4	18071	104012.118	4853.322	88	1
2_MACS_peak_5058_lociStitched	chr11	72850923	72869793	2	13442	129451.974	3917.412	89	1
1_MACS_peak_23483_lociStitched	chr6	25403001	25415269	1	12269	132978.986	2670.7436	90	1
3_MACS_peak_13625_lociStitched	chr19	39880583	39904015	3	18416	99682.0712	4372.4112	91	1
3_MACS_peak_1789_lociStitched	chr1	156450138	156475969	3	20671	78391.9188	6798.7192	92	1
2_MACS_peak_17765_lociStitched	chr22	24176924	24192286	2	13328	125942.2846	2697.5672	93	1
2_MACS_peak_21513_lociStitched	chr4	185201000	185211115	2	9648	138674.627	2551.003	94	1
3_MACS_peak_10411_lociStitched	chr16	56963211	56985960	3	21065	67673.7252	4090.2702	95	1
2_MACS_peak_8882_lociStitched	chr15	40387129	40409001	2	16952	105727.0608	4273.7888	96	1
4_MACS_peak_26790_lociStitched	chr8	27216307	27241960	4	20992	68003.5377	4712.4561	97	1
4_MACS_peak_18075_lociStitched	chr22	39822848	39846481	4	15239	115248.6878	3856.9056	98	1
8_MACS_peak_18727_lociStitched	chr3	46318253	46347332	8	20870	68402.5317	4946.3379	99	1
3_MACS_peak_16875_lociStitched	chr20	37486910	37505944	3	10992	132128.3178	3251.0072	100	1
2_MACS_peak_22258_lociStitched	chr5	88110643	88132759	2	21027	51424.1232	3410.2872	101	1
2_MACS_peak_8766_lociStitched	chr15	31546356	31560805	2	10723	126136.8802	2892.6898	102	1
4_MACS_peak_8410_lociStitched	chr14	81930561	81956026	4	18837	75816.9445	2279.1175	103	1
4_MACS_peak_12036_lociStitched	chr17	72733116	72757413	4	20389	53995.2231	3804.9102	104	1
1_MACS_peak_21626_lociStitched	chr5	1311666	1320822	1	9157	125586.4428	1705.7628	105	1
1_MACS_peak_15806_lociStitched	chr2	182168508	182180232	1	11725	115065.198	2300.2488	106	1
4_MACS_peak_8898_lociStitched	chr15	40833912	40862813	4	18390	70920.1639	4713.7531	107	1
5_MACS_peak_11366_lociStitched	chr17	34408937	34432627	5	18364	70482.488	4321.056	108	1
4_MACS_peak_19515_lociStitched	chr3	133179141	133200613	4	16323	89057.2672	3948.7008	109	1
4_MACS_peak_15915_lociStitched	chr2	197023792	197048827	4	19239	59207.775	4646.496	110	1
3_MACS_peak_12137_lociStitched	chr17	75131403	75146901	3	14564	98433.9972	3070.1538	111	1
5_MACS_peak_15073_lociStitched	chr2	97190807	97212975	5	18007	70416.652	3923.736	112	1
1_MACS_peak_12793_lociStitched	chr18	60821885	60831365	1	9481	120331.536	2170.92	113	1
4_MACS_peak_2390_lociStitched	chr1	206727852	206754654	4	18223	70368.651	6780.906	114	1
4_MACS_peak_1761_lociStitched	chr1	155931276	155954154	4	16815	82241.8344	5142.9744	115	1
4_MACS_peak_25369_lociStitched	chr7	38383546	38408541	4	19377	49722.5535	4781.5435	116	1
