REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X17_0EX3_0229Kronos_MM1S.KB.6hr.1_H3K27Ac_hs.dm_i33.bam	X41_0EXT_0229Kronos_MM1S.KB.6hr.1_Input_hs_i85.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
12_MACS_peak_19581_lociStitched	chr3	141079237	141160651	12	67201	505947.303	15989.7096	1	ZBTB38	RASA2	ZBTB38	ZBTB38	3.6307	1	1
9_MACS_peak_14419_lociStitched	chr2	37525743	37606696	9	60463	312527.1518	15049.1627	2	QPCT,PRKD3		QPCT	QPCT	4.2553	2	1
1_MACS_peak_23289_lociStitched	chr6	7878401	7919873	1	41473	302417.9712	8651.0592	3	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	5.9895000000000005	3	1
8_MACS_peak_9970_lociStitched	chr16	11761624	11843184	8	69849	295548.972	14599.24	4	SNN,TXNDC11	ZC3H7A	TXNDC11	TXNDC11	3.7737000000000003	4	1
3_MACS_peak_8632_lociStitched	chr14	106023355	106052918	3	28277	265330.8813	4993.1907	5		TMEM121	TMEM121	TMEM121	0.1006	5	1
6_MACS_peak_23170_lociStitched	chr6	290082	337919	6	33435	243351.6027	15585.2946	6	DUSP22		DUSP22	DUSP22	3.2743	6	1
8_MACS_peak_8471_lociStitched	chr14	91812872	91885991	8	60313	220409.9136	6683.0766	7	CCDC88C		CCDC88C	CCDC88C	1.5467000000000002	7	1
2_MACS_peak_17740_lociStitched	chr22	23268151	23286136	2	17974	217282.1805	3812.82	8		IGLL5	IGLL5	IGLL5	10.0081	8	1
6_MACS_peak_15099_lociStitched	chr2	99054702	99108245	6	46912	218332.2911	10740.7258	9	INPP4A		INPP4A	INPP4A	1.444	9	1
2_MACS_peak_2317_lociStitched	chr1	203254961	203281721	2	21751	211883.004	7500.828	10	BTG2,LOC730227	FMOD	LOC730227	LOC730227	7.1023	10	1
1_MACS_peak_20902_lociStitched	chr4	90205172	90230109	1	24938	201386.2246	5361.455	11	GPRIN3		GPRIN3	GPRIN3	2.713	11	1
4_MACS_peak_16716_lociStitched	chr20	30261876	30312405	4	49323	205471.1256	10287.7044	12	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	2.9184	12	1
5_MACS_peak_17735_lociStitched	chr22	23217679	23247213	5	26619	199100.5076	4492.1214	13	IGLL5		IGLL5	IGLL5	10.0081	13	1
3_MACS_peak_4872_lociStitched	chr11	65183170	65212855	3	24922	200091.7425	6129.9525	14	NEAT1,MIR612	FRMD8,SLC25A45	NEAT1	NEAT1	12.0858	14	1
4_MACS_peak_25956_lociStitched	chr7	102063371	102093296	4	24418	190487.5875	4967.55	15	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	3.2345	15	1
3_MACS_peak_8640_lociStitched	chr14	106145083	106173116	3	24397	187223.9971	3235.0082	16			TMEM121	TMEM121	0.1006	16	1
1_MACS_peak_5894_lociStitched	chr12	12866057	12882069	1	16013	176348.162	3202.4	17	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	11.4759	17	1
5_MACS_peak_6897_lociStitched	chr12	109009359	109036441	5	23448	177024.2012	5102.2488	18	SELPLG	TMEM119	SELPLG	SELPLG	7.3102	18	1
