REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X17_0EX3_0229Kronos_MM1S.KB.6hr.1_H3K27Ac_hs.dm_i33.bam	X41_0EXT_0229Kronos_MM1S.KB.6hr.1_Input_hs_i85.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
7_MACS_peak_24380_lociStitched	chr6	108878091	108960787	7	76772	182311.6016	11850.3368	1	FOXO3		FOXO3	FOXO3	1.6412	1	1
8_MACS_peak_9970_lociStitched	chr16	11761624	11843184	8	69849	295548.972	14599.24	2	SNN,TXNDC11	ZC3H7A	TXNDC11	TXNDC11	3.7737000000000003	2	1
12_MACS_peak_19581_lociStitched	chr3	141079237	141160651	12	67201	505947.303	15989.7096	3	ZBTB38	RASA2	ZBTB38	ZBTB38	3.6307	3	1
9_MACS_peak_14419_lociStitched	chr2	37525743	37606696	9	60463	312527.1518	15049.1627	4	QPCT,PRKD3		QPCT	QPCT	4.2553	4	1
8_MACS_peak_8471_lociStitched	chr14	91812872	91885991	8	60313	220409.9136	6683.0766	5	CCDC88C		CCDC88C	CCDC88C	1.5467000000000002	5	1
4_MACS_peak_16716_lociStitched	chr20	30261876	30312405	4	49323	205471.1256	10287.7044	6	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	2.9184	6	1
6_MACS_peak_15099_lociStitched	chr2	99054702	99108245	6	46912	218332.2911	10740.7258	7	INPP4A		INPP4A	INPP4A	1.444	7	1
1_MACS_peak_23289_lociStitched	chr6	7878401	7919873	1	41473	302417.9712	8651.0592	8	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	5.9895000000000005	8	1
6_MACS_peak_16762_lociStitched	chr20	32398606	32452433	6	39602	167052.0945	9538.1444	9	CHMP4B		CHMP4B	CHMP4B	2.5751999999999997	9	1
3_MACS_peak_1419_lociStitched	chr1	118141992	118188232	3	38187	147690.56	5067.904	10	FAM46C		FAM46C	FAM46C	3.7309	10	1
4_MACS_peak_12635_lociStitched	chr18	46440389	46480229	4	37541	113759.136	6844.512	11	SMAD7		SMAD7	SMAD7	2.579	11	1
3_MACS_peak_11914_lociStitched	chr17	62150126	62187177	3	35637	111871.7894	6598.7831	12	ERN1	SNORD104,SNORA76	ERN1	ERN1	1.6062	12	1
8_MACS_peak_11381_lociStitched	chr17	34597754	34641571	8	34701	126315.6476	8938.668	13	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	NONE	NONE	13	1
6_MACS_peak_23170_lociStitched	chr6	290082	337919	6	33435	243351.6027	15585.2946	14	DUSP22		DUSP22	DUSP22	3.2743	14	1
8_MACS_peak_10663_lociStitched	chr16	78763280	78804943	8	33335	37475.8685	4216.2956	15	WWOX		WWOX	WWOX	0.017599999999999998	15	1
3_MACS_peak_4114_lociStitched	chr10	125822014	125854871	3	31907	147876.2142	5513.4046	16	CHST15		CHST15	CHST15	1.597	16	1
3_MACS_peak_6333_lociStitched	chr12	53845164	53876054	3	30719	44262.281	5164.808	17	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	PCBP2	0.9994	17	1
5_MACS_peak_23055_lociStitched	chr5	173310075	173344152	5	30239	63277.5813	5145.627	18	CPEB4		CPEB4	CPEB4	0.7847999999999999	18	1
7_MACS_peak_10542_lociStitched	chr16	68278059	68320716	7	29476	83654.6427	7068.2649	19	PLA2G15,SLC7A6	PRMT7,ESRP2,SLC7A6OS	SLC7A6	SLC7A6	0.8327	19	1
3_MACS_peak_9276_lociStitched	chr15	68568572	68599548	3	28998	95821.1584	5250.432	20	FEM1B,ITGA11	CLN6	FEM1B	FEM1B	2.4277	20	1
5_MACS_peak_27479_lociStitched	chr8	120915644	120948191	5	28705	104329.4085	5604.5934	21	DEPDC6	DSCC1	DEPDC6	DEPDC6	0.754	21	1
5_MACS_peak_23979_lociStitched	chr6	52389115	52424728	5	28560	113619.7152	6595.5276	22	TRAM2		TRAM2	TRAM2	1.8635000000000002	22	1
3_MACS_peak_8632_lociStitched	chr14	106023355	106052918	3	28277	265330.8813	4993.1907	23		TMEM121	TMEM121	TMEM121	0.1006	23	1
1_MACS_peak_16283_lociStitched	chr2	232687087	232714984	1	27898	54376.8324	3252.7902	24		COPS7B,PDE6D,MIR1471	COPS7B	COPS7B	0.0762	24	1
8_MACS_peak_19983_lociStitched	chr3	183219892	183261117	8	27418	119548.3775	10450.5375	25	KLHL6		KLHL6	KLHL6	1.7808000000000002	25	1
7_MACS_peak_5783_lociStitched	chr12	7045650	7085673	7	27357	112884.8715	6551.7651	26	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	PTPN6	3.6325	26	1
5_MACS_peak_8769_lociStitched	chr15	31628307	31660582	5	27157	99639.38	5448.02	27	KLF13		KLF13	KLF13	1.9993	27	1
5_MACS_peak_17735_lociStitched	chr22	23217679	23247213	5	26619	199100.5076	4492.1214	28	IGLL5		IGLL5	IGLL5	10.0081	28	1
4_MACS_peak_25533_lociStitched	chr7	55569163	55605701	4	26283	176021.815	6456.2646	29	VOPP1		VOPP1	VOPP1	2.0974000000000004	29	1
1_MACS_peak_24344_lociStitched	chr6	106530329	106556460	1	26132	158834.6704	5032.8306	30	PRDM1		PRDM1	PRDM1	4.5849	30	1
6_MACS_peak_11374_lociStitched	chr17	34509765	34540161	6	25987	126596.3004	7094.4264	31	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	CCL3L1	4.520700000000001	31	1
4_MACS_peak_25537_lociStitched	chr7	55616347	55643009	4	25788	68028.093	4471.2174	32	VOPP1		VOPP1	VOPP1	2.0974000000000004	32	1
6_MACS_peak_17987_lociStitched	chr22	37611062	37642403	6	25649	104525.3691	5208.8742	33	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	RAC2	2.0406	33	1
4_MACS_peak_18322_lociStitched	chr3	5222261	5256210	4	25493	70009.6278	5798.4892	34	ARL8B,EDEM1		EDEM1	EDEM1	1.3618999999999999	34	1
2_MACS_peak_1717_lociStitched	chr1	154907906	154936167	2	25312	162390.5321	8085.4721	35	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	PBXIP1	3.8572999999999995	35	1
6_MACS_peak_11323_lociStitched	chr17	32688361	32719727	6	25152	170195.0526	6430.03	36	CCL1	CCL8,CCL13	CCL1	CCL1	1.4911	36	1
1_MACS_peak_20902_lociStitched	chr4	90205172	90230109	1	24938	201386.2246	5361.455	37	GPRIN3		GPRIN3	GPRIN3	2.713	37	1
1_MACS_peak_5617_lociStitched	chr11	128585179	128610102	1	24924	106695.363	4912.3233	38	FLI1		FLI1	FLI1	1.0084	38	1
3_MACS_peak_4872_lociStitched	chr11	65183170	65212855	3	24922	200091.7425	6129.9525	39	NEAT1,MIR612	FRMD8,SLC25A45	NEAT1	NEAT1	12.0858	39	1
5_MACS_peak_12182_lociStitched	chr17	76711115	76746236	5	24862	72180.6792	6086.4693	40	CYTH1		CYTH1	CYTH1	0.9152999999999999	40	1
