#17_0EX3_0229Kronos_MM1S-KB-6hr-1_H3K27Ac_hs-dm_i33_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/17_0EX3_0229Kronos_MM1S-KB-6hr-1_H3K27Ac_hs-dm_i33_ROSE/17_0EX3_0229Kronos_MM1S-KB-6hr-1_H3K27Ac_hs-dm_i33_peaks_5KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X17_0EX3_0229Kronos_MM1S.KB.6hr.1_H3K27Ac_hs.dm_i33.bam
#Using cutoff of 23455.9689 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X17_0EX3_0229Kronos_MM1S.KB.6hr.1_H3K27Ac_hs.dm_i33.bam	X41_0EXT_0229Kronos_MM1S.KB.6hr.1_Input_hs_i85.bam	enhancerRank	isStretch
7_MACS_peak_24380_lociStitched	chr6	108878091	108960787	7	76772	182311.6016	11850.3368	1	1
8_MACS_peak_9970_lociStitched	chr16	11761624	11843184	8	69849	295548.972	14599.24	2	1
12_MACS_peak_19581_lociStitched	chr3	141079237	141160651	12	67201	505947.303	15989.7096	3	1
9_MACS_peak_14419_lociStitched	chr2	37525743	37606696	9	60463	312527.1518	15049.1627	4	1
8_MACS_peak_8471_lociStitched	chr14	91812872	91885991	8	60313	220409.9136	6683.0766	5	1
4_MACS_peak_16716_lociStitched	chr20	30261876	30312405	4	49323	205471.1256	10287.7044	6	1
6_MACS_peak_15099_lociStitched	chr2	99054702	99108245	6	46912	218332.2911	10740.7258	7	1
1_MACS_peak_23289_lociStitched	chr6	7878401	7919873	1	41473	302417.9712	8651.0592	8	1
6_MACS_peak_16762_lociStitched	chr20	32398606	32452433	6	39602	167052.0945	9538.1444	9	1
3_MACS_peak_1419_lociStitched	chr1	118141992	118188232	3	38187	147690.56	5067.904	10	1
4_MACS_peak_12635_lociStitched	chr18	46440389	46480229	4	37541	113759.136	6844.512	11	1
3_MACS_peak_11914_lociStitched	chr17	62150126	62187177	3	35637	111871.7894	6598.7831	12	1
8_MACS_peak_11381_lociStitched	chr17	34597754	34641571	8	34701	126315.6476	8938.668	13	1
6_MACS_peak_23170_lociStitched	chr6	290082	337919	6	33435	243351.6027	15585.2946	14	1
8_MACS_peak_10663_lociStitched	chr16	78763280	78804943	8	33335	37475.8685	4216.2956	15	1
