GENE_ID	locusLine	bin_1_KMS28BM_jia.bam
NM_013943	chr1(.):25066759-25175815	0.3039
NM_015215	chr1(.):6840383-7834766	0.1918
NM_021639	chr1(.):46087975-46157302	0.6115
NM_007051	chr1(.):50901934-51430936	0.0801
NM_001006605	chr1(.):93302720-93432079	0.2541
NM_152263	chr1(.):154129289-154169609	0.7682
NR_002188	chr1(.):155178615-155202325	0.5856
NM_001043351	chr1(.):154122779-154160725	0.849
NM_021642	chr1(.):161470204-161494360	0.4688
NM_133494	chr1(.):198121107-198296548	0.2651
NM_001198993	chr1(.):1677670-1715297	1.6923
NM_023018	chr1(.):1677670-1714909	1.7073
NM_033487	chr1(.):1566099-1660775	0.6582
NM_017900	chr1(.):1304109-1315818	1.616
NM_001014980	chr1(.):1172832-1187102	0.124
NM_001198994	chr1(.):1677670-1716508	1.6443
NM_003820	chr1(.):2482804-2500267	1.3694
NM_003036	chr1(.):2155133-2246652	0.7963
NM_004402	chr1(.):3768844-3806993	0.248
NM_003636	chr1(.):6081379-6165523	0.3195
NM_015102	chr1(.):5917869-6057531	0.1694
NM_012102	chr1(.):8407463-8882699	0.2239
NM_001009566	chr1(.):9784078-9889550	0.3979
NM_002685	chr1(.):11121675-11164938	0.367
NM_152942	chr1(.):12180957-12209264	0.3271
NM_001243	chr1(.):12118433-12209264	0.1968
NM_015001	chr1(.):16169358-16271950	0.2601
NM_017940	chr1(.):16885411-16944982	0.3698
NR_026567	chr1(.):17012712-17051652	0.4436
NM_001136265	chr1(.):19225773-19287826	0.6174
NM_016287	chr1(.):21064170-21118181	0.6077
NM_001113348	chr1(.):21538739-21677034	0.7078
NM_004091	chr1(.):23827921-23862713	1.2216
NM_173065	chr1(.):24475646-24518751	0.7357
NM_001048199	chr1(.):28827454-28870708	0.7904
NR_002909	chr1(.):28827454-28842404	1.7038
NM_022753	chr1(.):33278175-33329476	0.6253
NM_001017406	chr1(.):33278175-33305665	1.0962
NM_181809	chr1(.):39952317-40000541	0.8873
NM_001720	chr1(.):40218902-40259533	1.5318
NM_174964	chr1(.):44168217-44401831	0.3044
NM_001136140	chr1(.):47794468-47849511	0.4366
NM_002227	chr1(.):65293905-65437187	0.2286
NM_198459	chr1(.):115122195-115217732	0.0789
NM_001100910	chr1(.):120834004-120860681	0.8493
NR_034178	chr1(.):143910747-144099477	0.3929
NM_153713	chr1(.):145472084-145504091	0.3093
NM_207168	chr1(.):150594521-150607098	1.1223
NM_207042	chr1(.):150589598-150607098	0.9366
NM_015203	chr1(.):150331989-150454041	0.3292
NM_207044	chr1(.):150590753-150607098	0.9908
NM_015607	chr1(.):153601524-153622979	0.6934
NM_020699	chr1(.):153772202-153900451	0.4448
NM_020524	chr1(.):154911558-154933567	0.5908
NM_181359	chr1(.):154372668-154445188	0.9493
NM_002249	chr1(.):154674914-154847754	0.3515
NM_004952	chr1(.):155046347-155065014	0.7718
NM_170782	chr1(.):154674914-154837338	0.3543
NM_005572	chr1(.):156079460-156112657	0.8998
NM_018489	chr1(.):155300051-155537324	0.2657
NM_170708	chr1(.):156079460-156114878	0.8511
NM_018116	chr1(.):155575006-155589758	0.4972
NM_005973	chr1(.):156732273-156775609	0.3885
NM_012394	chr1(.):161065345-161092866	0.5797
