GENE_ID	locusLine	bin_1_44_0EXW_0229Kronos_MM1S-KB-24hr-2_Input_hs_i90.bam
1_MACS_peak_1_lociStitched	chr1(.):28305-30268	0.2808
1_MACS_peak_2_lociStitched	chr1(.):712924-715440	0.2457
1_MACS_peak_3_lociStitched	chr1(.):761780-763840	0.2165
1_MACS_peak_4_lociStitched	chr1(.):879131-880890	0.1843
2_MACS_peak_5_lociStitched	chr1(.):893758-902698	0.1185
1_MACS_peak_7_lociStitched	chr1(.):948143-949516	0.1947
1_MACS_peak_8_lociStitched	chr1(.):1092852-1094062	0.0893
1_MACS_peak_9_lociStitched	chr1(.):1165966-1167583	0.2448
1_MACS_peak_10_lociStitched	chr1(.):1184990-1186118	0.0885
1_MACS_peak_11_lociStitched	chr1(.):1208016-1210190	0.1456
2_MACS_peak_12_lociStitched	chr1(.):1242443-1245167	0.1091
1_MACS_peak_14_lociStitched	chr1(.):1259430-1261858	0.1332
1_MACS_peak_15_lociStitched	chr1(.):1284920-1285543	0.0248
1_MACS_peak_16_lociStitched	chr1(.):1309598-1311737	0.2391
2_MACS_peak_17_lociStitched	chr1(.):1333415-1343619	0.1368
1_MACS_peak_19_lociStitched	chr1(.):1396695-1398940	0.2718
1_MACS_peak_20_lociStitched	chr1(.):1405816-1408601	0.1682
2_MACS_peak_21_lociStitched	chr1(.):1439596-1448816	0.1507
1_MACS_peak_23_lociStitched	chr1(.):1508912-1511290	0.1728
2_MACS_peak_24_lociStitched	chr1(.):1545059-1552368	0.131
1_MACS_peak_26_lociStitched	chr1(.):1589421-1591807	0.2077
2_MACS_peak_27_lociStitched	chr1(.):1606260-1611227	0.2049
1_MACS_peak_29_lociStitched	chr1(.):1622514-1625723	0.2469
1_MACS_peak_30_lociStitched	chr1(.):1654699-1657055	0.1739
2_MACS_peak_31_lociStitched	chr1(.):1668681-1679013	0.1677
2_MACS_peak_33_lociStitched	chr1(.):1708477-1715372	0.2127
1_MACS_peak_35_lociStitched	chr1(.):1772354-1775033	0.2014
2_MACS_peak_36_lociStitched	chr1(.):1821067-1829467	0.0957
1_MACS_peak_38_lociStitched	chr1(.):1838102-1840947	0.1551
1_MACS_peak_39_lociStitched	chr1(.):2125891-2127418	0.1741
1_MACS_peak_40_lociStitched	chr1(.):2158413-2159420	0.0521
1_MACS_peak_41_lociStitched	chr1(.):2221421-2223159	0.2307
1_MACS_peak_42_lociStitched	chr1(.):2231195-2233377	0.2127
1_MACS_peak_43_lociStitched	chr1(.):2322238-2324150	0.1677
2_MACS_peak_44_lociStitched	chr1(.):2342970-2348013	0.1743
1_MACS_peak_46_lociStitched	chr1(.):2456749-2458478	0.1487
2_MACS_peak_47_lociStitched	chr1(.):2476862-2489251	0.1655
2_MACS_peak_49_lociStitched	chr1(.):2508792-2518603	0.1318
1_MACS_peak_51_lociStitched	chr1(.):2573660-2575000	0.1445
2_MACS_peak_52_lociStitched	chr1(.):3540410-3547654	0.1244
1_MACS_peak_54_lociStitched	chr1(.):3565683-3566934	0.1125
1_MACS_peak_55_lociStitched	chr1(.):3589159-3590426	0.1329
1_MACS_peak_56_lociStitched	chr1(.):3712138-3713491	0.1495
1_MACS_peak_57_lociStitched	chr1(.):3772797-3774979	0.2481
1_MACS_peak_58_lociStitched	chr1(.):3815909-3818527	0.2301
1_MACS_peak_59_lociStitched	chr1(.):4066626-4068660	0.1435
1_MACS_peak_60_lociStitched	chr1(.):6051259-6055822	0.196
1_MACS_peak_61_lociStitched	chr1(.):6083809-6087263	0.2004
2_MACS_peak_62_lociStitched	chr1(.):6258477-6266718	0.1385
1_MACS_peak_64_lociStitched	chr1(.):6294669-6296677	0.1896
1_MACS_peak_65_lociStitched	chr1(.):6419315-6420728	0.215
1_MACS_peak_66_lociStitched	chr1(.):6452881-6454801	0.1671
1_MACS_peak_67_lociStitched	chr1(.):6549842-6551751	0.1974
1_MACS_peak_68_lociStitched	chr1(.):6613568-6615263	0.1618
1_MACS_peak_69_lociStitched	chr1(.):6639623-6641104	0.268
1_MACS_peak_70_lociStitched	chr1(.):6659339-6664970	0.1957
1_MACS_peak_71_lociStitched	chr1(.):6672421-6674810	0.1452
1_MACS_peak_72_lociStitched	chr1(.):6684127-6686703	0.1922
1_MACS_peak_73_lociStitched	chr1(.):6760763-6762259	0.1531
1_MACS_peak_74_lociStitched	chr1(.):6843665-6845411	0.2501
1_MACS_peak_75_lociStitched	chr1(.):6978173-6979896	0.1451
