#25_0F2B_0229Kronos_MM1S-KB-3hr-1_H3K27me3_hs-dm_i07_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/25_0F2B_0229Kronos_MM1S-KB-3hr-1_H3K27me3_hs-dm_i07_ROSE/25_0F2B_0229Kronos_MM1S-KB-3hr-1_H3K27me3_hs-dm_i07_peaks_1KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X25_0F2B_0229Kronos_MM1S.KB.3hr.1_H3K27me3_hs.dm_i07.bam
#Using cutoff of 21334.4067 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X25_0F2B_0229Kronos_MM1S.KB.3hr.1_H3K27me3_hs.dm_i07.bam	X39_0EXR_0229Kronos_MM1S.KB.3hr.1_Input_hs_i82.bam	enhancerRank	isStretch
29_MACS_peak_16734_lociStitched	chr17	77078322	77289957	29	205128	393852.735	17502.2145	1	1
29_MACS_peak_17072_lociStitched	chr17	79316894	79474420	29	150450	311633.6858	13846.5354	2	1
52_MACS_peak_13856_lociStitched	chr17	724923	882371	52	147126	203044.9408	14201.8096	3	1
32_MACS_peak_16778_lociStitched	chr17	77345325	77493176	32	140912	225694.5515	12951.7476	4	1
11_MACS_peak_17514_lociStitched	chr19	1672454	1812368	11	137024	356584.8204	19462.0374	5	1
18_MACS_peak_15660_lociStitched	chr17	47938790	48078948	18	135634	243734.762	13455.168	6	1
11_MACS_peak_37409_lociStitched	chr9	139477036	139614523	11	135348	303296.322	11768.8872	7	1
23_MACS_peak_11856_lociStitched	chr16	1204087	1341862	23	134121	290498.5875	9878.4675	8	1
17_MACS_peak_17777_lociStitched	chr19	3782787	3910704	17	125557	240010.6671	16833.8772	9	1
14_MACS_peak_27115_lociStitched	chr22	37711613	37834515	14	120831	219466.1014	11479.0468	10	1
8_MACS_peak_17050_lociStitched	chr17	78991576	79111380	8	117267	285792.442	10722.458	11	1
38_MACS_peak_2281_lociStitched	chr1	17883033	18007664	38	115943	163353.8517	10282.0575	12	1
22_MACS_peak_37310_lociStitched	chr9	138571972	138690630	22	112922	199131.8556	8068.744	13	1
11_MACS_peak_17451_lociStitched	chr19	681187	793343	11	109999	246070.264	13559.6604	14	1
25_MACS_peak_36207_lociStitched	chr9	132424738	132541194	25	108300	173158.4264	10795.4712	15	1
13_MACS_peak_17731_lociStitched	chr19	3327330	3434808	13	104291	183744.3888	12725.3952	16	1
28_MACS_peak_401_lociStitched	chr1	2976043	3084048	28	102524	166792.1215	6771.9135	17	1
38_MACS_peak_6865_lociStitched	chr11	1588435	1700968	38	102322	171826.6377	11163.2736	18	1
14_MACS_peak_25986_lociStitched	chr21	46817035	46920113	14	98544	233719.0572	12091.0494	19	1
24_MACS_peak_463_lociStitched	chr1	3262004	3363323	24	98306	165241.1571	7001.1429	20	1
24_MACS_peak_25447_lociStitched	chr20	62777723	62880374	24	97345	153760.9329	9803.1705	21	1
11_MACS_peak_25342_lociStitched	chr20	62022602	62123326	11	96655	196391.6552	8037.7752	22	1
7_MACS_peak_1700_lociStitched	chr1	10755013	10852198	7	96128	178694.0595	8416.221	23	1
15_MACS_peak_36496_lociStitched	chr9	135020484	135116449	15	94164	166518.468	9193.447	24	1
23_MACS_peak_9771_lociStitched	chr12	54337741	54435765	23	93264	169855.9872	9841.6096	25	1
8_MACS_peak_492_lociStitched	chr1	3394456	3488456	8	91301	195191	6269.8	26	1
19_MACS_peak_7006_lociStitched	chr11	2148733	2241909	19	88055	163216.3992	7593.844	27	1
8_MACS_peak_25206_lociStitched	chr20	60984132	61072392	8	87125	205681.104	7475.622	28	1
23_MACS_peak_9295_lociStitched	chr12	3320245	3409278	23	84903	124307.8746	7363.0291	29	1
12_MACS_peak_28007_lociStitched	chr22	46288242	46374645	12	84407	164701.3986	7214.6505	30	1
7_MACS_peak_25978_lociStitched	chr21	46709963	46795432	7	84290	202364.9513	11393.0177	31	1
3_MACS_peak_6983_lociStitched	chr11	1981793	2064917	3	82640	202913.9964	6425.4852	32	1
18_MACS_peak_36394_lociStitched	chr9	133834567	133920651	18	80919	144862.1552	7429.0492	33	1
22_MACS_peak_15615_lociStitched	chr17	47508078	47591726	22	79040	125990.6176	8097.1264	34	1
7_MACS_peak_25701_lociStitched	chr21	44049799	44130966	7	78765	163356.7042	10770.8609	35	1
11_MACS_peak_25715_lociStitched	chr21	44150766	44231037	11	78547	172574.6229	11454.6717	36	1
