REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	25_0F2B_0229Kronos_MM1S-KB-3hr-1_H3K27me3_hs-dm_i07.bam	39_0EXR_0229Kronos_MM1S-KB-3hr-1_Input_hs_i82.bam
29_MACS_peak_16734_lociStitched	chr17	77078322	77289957	29	205128	393852.735	17502.2145
29_MACS_peak_17072_lociStitched	chr17	79316894	79474420	29	150450	311633.6858	13846.5354
52_MACS_peak_13856_lociStitched	chr17	724923	882371	52	147126	203044.9408	14201.8096
32_MACS_peak_16778_lociStitched	chr17	77345325	77493176	32	140912	225694.5515	12951.747599999999
18_MACS_peak_15660_lociStitched	chr17	47938790	48078948	18	135634	243734.76200000002	13455.168
11_MACS_peak_17514_lociStitched	chr19	1672454	1812368	11	137024	356584.82039999997	19462.0374
23_MACS_peak_11856_lociStitched	chr16	1204087	1341862	23	134121	290498.58749999997	9878.4675
11_MACS_peak_37409_lociStitched	chr9	139477036	139614523	11	135348	303296.322	11768.8872
17_MACS_peak_17777_lociStitched	chr19	3782787	3910704	17	125557	240010.66710000002	16833.8772
38_MACS_peak_2281_lociStitched	chr1	17883033	18007664	38	115943	163353.8517	10282.0575
14_MACS_peak_27115_lociStitched	chr22	37711613	37834515	14	120831	219466.1014	11479.0468
8_MACS_peak_17050_lociStitched	chr17	78991576	79111380	8	117267	285792.442	10722.457999999999
22_MACS_peak_37310_lociStitched	chr9	138571972	138690630	22	112922	199131.85559999998	8068.744000000001
25_MACS_peak_36207_lociStitched	chr9	132424738	132541194	25	108300	173158.42640000003	10795.4712
38_MACS_peak_6865_lociStitched	chr11	1588435	1700968	38	102322	171826.6377	11163.2736
11_MACS_peak_17451_lociStitched	chr19	681187	793343	11	109999	246070.264	13559.660399999999
28_MACS_peak_401_lociStitched	chr1	2976043	3084048	28	102524	166792.1215	6771.913500000001
13_MACS_peak_17731_lociStitched	chr19	3327330	3434808	13	104291	183744.38880000002	12725.3952
14_MACS_peak_25986_lociStitched	chr21	46817035	46920113	14	98544	233719.05719999998	12091.0494
24_MACS_peak_25447_lociStitched	chr20	62777723	62880374	24	97345	153760.9329	9803.1705
24_MACS_peak_463_lociStitched	chr1	3262004	3363323	24	98306	165241.1571	7001.1429
11_MACS_peak_25342_lociStitched	chr20	62022602	62123326	11	96655	196391.6552	8037.7752
23_MACS_peak_9771_lociStitched	chr12	54337741	54435765	23	93264	169855.9872	9841.6096
7_MACS_peak_1700_lociStitched	chr1	10755013	10852198	7	96128	178694.0595	8416.221
15_MACS_peak_36496_lociStitched	chr9	135020484	135116449	15	94164	166518.468	9193.447
8_MACS_peak_492_lociStitched	chr1	3394456	3488456	8	91301	195190.99999999997	6269.799999999999
19_MACS_peak_7006_lociStitched	chr11	2148733	2241909	19	88055	163216.3992	7593.844
23_MACS_peak_9295_lociStitched	chr12	3320245	3409278	23	84903	124307.87460000001	7363.0291
8_MACS_peak_25206_lociStitched	chr20	60984132	61072392	8	87125	205681.104	7475.621999999999
12_MACS_peak_28007_lociStitched	chr22	46288242	46374645	12	84407	164701.3986	7214.650500000001
18_MACS_peak_36394_lociStitched	chr9	133834567	133920651	18	80919	144862.1552	7429.0492
7_MACS_peak_25978_lociStitched	chr21	46709963	46795432	7	84290	202364.95130000002	11393.0177
22_MACS_peak_15615_lociStitched	chr17	47508078	47591726	22	79040	125990.6176	8097.1264
3_MACS_peak_6983_lociStitched	chr11	1981793	2064917	3	82640	202913.9964	6425.485199999999
26_MACS_peak_3186_lociStitched	chr1	22542735	22625112	26	74542	107386.6572	7834.0527
7_MACS_peak_25701_lociStitched	chr21	44049799	44130966	7	78765	163356.7042	10770.860900000001
11_MACS_peak_25715_lociStitched	chr21	44150766	44231037	11	78547	172574.62290000002	11454.671699999999
18_MACS_peak_36241_lociStitched	chr9	132911687	132990696	18	73231	119730.23860000001	6936.9902
24_MACS_peak_7601_lociStitched	chr11	64392849	64469921	24	70583	100825.5904	7260.182400000001
16_MACS_peak_25913_lociStitched	chr21	46404130	46479387	16	72489	167574.7619	9467.3306
18_MACS_peak_30349_lociStitched	chr4	8584677	8659479	18	70799	107146.38479999999	5482.9866
17_MACS_peak_34887_lociStitched	chr8	142359572	142433348	17	68939	107380.96800000001	5629.108800000001
21_MACS_peak_19596_lociStitched	chr19	18059483	18132201	21	69577	112560.1922	6682.7842
19_MACS_peak_13996_lociStitched	chr17	1828390	1900909	19	69577	112520.4804	6294.6492
32_MACS_peak_2161_lociStitched	chr1	17516313	17588712	32	64725	90455.31060000001	6747.5868
11_MACS_peak_25219_lociStitched	chr20	61141457	61213394	11	70635	154930.7169	6236.9379
20_MACS_peak_37332_lociStitched	chr9	138853716	138924832	20	67084	112782.8644	5710.614799999999
16_MACS_peak_74_lociStitched	chr1	1052549	1123647	16	66932	141925.8276	5837.1458
30_MACS_peak_29945_lociStitched	chr4	7468296	7538471	30	62019	85767.885	5073.6525
6_MACS_peak_433_lociStitched	chr1	3099829	3169479	6	68813	114497.635	4555.11
6_MACS_peak_17838_lociStitched	chr19	4557534	4624386	6	66112	142434.8712	9292.428000000002
20_MACS_peak_8135_lociStitched	chr11	69968015	70034853	20	62853	91808.6768	5193.3126
10_MACS_peak_248_lociStitched	chr1	2346548	2413172	10	62534	128291.1744	4816.9152
26_MACS_peak_36302_lociStitched	chr9	133249480	133315335	26	61206	93764.349	5222.3015
6_MACS_peak_13921_lociStitched	chr17	1041524	1107373	6	64323	123453.7052	6084.4475999999995
12_MACS_peak_34857_lociStitched	chr8	141997258	142060888	12	59313	108597.32100000001	8532.783
14_MACS_peak_18046_lociStitched	chr19	5827950	5891572	14	60984	98181.47039999999	8429.915
17_MACS_peak_30446_lociStitched	chr4	9211666	9274619	17	61701	222815.8482	19572.0877
5_MACS_peak_17485_lociStitched	chr19	1282653	1344852	5	61683	187256.3094	8483.943599999999
9_MACS_peak_11829_lociStitched	chr16	1020107	1082256	9	59654	119705.1889	4425.0088
12_MACS_peak_175_lociStitched	chr1	1934475	1996276	12	59253	103423.9735	4659.7954
8_MACS_peak_1042_lociStitched	chr1	6180706	6241859	8	58044	107714.89420000001	5674.9983999999995
14_MACS_peak_60_lociStitched	chr1	955488	1016209	14	57302	115254.53009999999	4960.905699999999
11_MACS_peak_36767_lociStitched	chr9	136368120	136428599	11	57999	106799.8661	4620.5956
11_MACS_peak_27081_lociStitched	chr22	37457242	37517402	11	57069	102837.504	5077.504
10_MACS_peak_36382_lociStitched	chr9	133770297	133829783	10	57608	120131.97699999998	5062.2586
3_MACS_peak_25910_lociStitched	chr21	46300964	46359745	3	57851	165609.5894	7365.2593
25_MACS_peak_13928_lociStitched	chr17	1110524	1169196	25	54944	75088.4256	5538.6368
17_MACS_peak_10129_lociStitched	chr13	113606847	113665411	17	55709	91008.456	5206.3396
14_MACS_peak_442_lociStitched	chr1	3177897	3236447	14	55852	93557.04500000001	4121.92
8_MACS_peak_17503_lociStitched	chr19	1491119	1549559	8	56411	131191.956	7544.603999999999
9_MACS_peak_7403_lociStitched	chr11	61441803	61500206	9	57102	95383.7796	5565.805899999999
8_MACS_peak_11848_lociStitched	chr16	1144505	1202560	8	56722	120394.45899999999	4145.127
9_MACS_peak_7343_lociStitched	chr11	61271660	61329503	9	56090	95221.14660000001	5200.0857
9_MACS_peak_2031_lociStitched	chr1	16426735	16484048	9	53367	86611.40560000001	4980.4997
7_MACS_peak_25236_lociStitched	chr20	61315656	61372516	7	55483	111906.166	5253.864
11_MACS_peak_1689_lociStitched	chr1	10697337	10753959	11	54898	116720.59079999999	4931.7762
22_MACS_peak_1312_lociStitched	chr1	7491001	7547535	22	52092	66455.717	4217.4364
6_MACS_peak_29471_lociStitched	chr4	1751801	1808324	6	54708	126747.1752	4420.0986
10_MACS_peak_11838_lociStitched	chr16	1084784	1141294	10	54841	99039.42599999999	3503.62
15_MACS_peak_26229_lociStitched	chr22	20240064	20296379	15	51784	86252.054	5203.505999999999
8_MACS_peak_25267_lociStitched	chr20	61584463	61640710	8	55279	104883.7809	5433.4602
5_MACS_peak_17816_lociStitched	chr19	4183345	4239330	5	55541	98320.857	8173.8099999999995
6_MACS_peak_1070_lociStitched	chr1	6475009	6530977	6	55427	121831.1424	5266.5888
15_MACS_peak_27949_lociStitched	chr22	45894250	45949784	15	52301	75842.78379999999	4426.0598
17_MACS_peak_18932_lociStitched	chr19	14269338	14324183	17	49788	71550.787	4596.011
7_MACS_peak_21631_lociStitched	chr19	49521215	49575243	7	53586	86007.1732	5051.618
3_MACS_peak_2092_lociStitched	chr1	17012068	17066058	3	53525	176385.33	13529.894
13_MACS_peak_16223_lociStitched	chr17	72333067	72386044	13	51052	75296.2101	4450.068
9_MACS_peak_3130_lociStitched	chr1	21881473	21933819	9	50519	87224.13979999999	5318.3535999999995
3_MACS_peak_18535_lociStitched	chr19	8848938	8900859	3	50461	218296.6524	24491.1357
4_MACS_peak_25316_lociStitched	chr20	61850595	61902260	4	51154	111327.74199999998	4582.6855000000005
15_MACS_peak_24191_lociStitched	chr20	48880939	48932382	15	46083	67951.0587	4758.4775
17_MACS_peak_18388_lociStitched	chr19	8172843	8224254	17	48002	76443.0159	6390.387299999999
21_MACS_peak_16695_lociStitched	chr17	76575475	76626748	21	46050	64060.48620000001	5004.2448
12_MACS_peak_27827_lociStitched	chr22	45319945	45371215	12	48302	67609.749	4281.045
20_MACS_peak_27477_lociStitched	chr22	43788386	43839404	20	45227	68287.59300000001	3923.2841999999996
5_MACS_peak_36006_lociStitched	chr9	129369656	129420445	5	48055	99226.4693	4713.2192
18_MACS_peak_32853_lociStitched	chr7	100210339	100261036	18	44607	64496.7234	4780.7271
39_MACS_peak_34501_lociStitched	chr8	7577467	7627915	39	43217	37492.9536	3551.5392
1_MACS_peak_21806_lociStitched	chr19	50594104	50644373	1	50270	103096.6921	15673.8742
17_MACS_peak_22256_lociStitched	chr19	55668367	55718404	17	45106	64182.459899999994	4878.6075
9_MACS_peak_35_lociStitched	chr1	829330	879347	9	47118	126002.8264	4581.5572
5_MACS_peak_238_lociStitched	chr1	2244330	2294324	5	49447	115336.158	4064.5121999999997
12_MACS_peak_1707_lociStitched	chr1	10853343	10903312	12	48258	78496.3021	4297.334
24_MACS_peak_17184_lociStitched	chr17	81038896	81088673	24	45369	62992.79350000001	4051.8478
10_MACS_peak_29134_lociStitched	chr3	128168746	128218310	10	47398	91554.6208	5065.4408
14_MACS_peak_1827_lociStitched	chr1	11480514	11529836	14	44604	63556.3292	4823.6916
7_MACS_peak_17058_lociStitched	chr17	79112540	79161797	7	46319	99272.55780000001	4191.7707
17_MACS_peak_28404_lociStitched	chr22	50477894	50526443	17	43231	65327.5344	4068.4062
11_MACS_peak_25243_lociStitched	chr20	61373914	61422325	11	46120	95635.9305	4105.2528
12_MACS_peak_16931_lociStitched	chr17	77941853	77989802	12	45798	72441.3492	4641.4632
9_MACS_peak_500_lociStitched	chr1	3489473	3537151	9	45623	90001.7606	3833.3112
15_MACS_peak_25148_lociStitched	chr20	60469479	60517046	15	43459	65509.2724	3805.36
8_MACS_peak_25608_lociStitched	chr21	43130057	43177560	8	45139	75572.5227	6142.1379
15_MACS_peak_31752_lociStitched	chr6	34067675	34115100	15	43860	68268.2875	4130.7175
19_MACS_peak_7063_lociStitched	chr11	2370962	2418284	19	41449	63293.174999999996	4187.996999999999
14_MACS_peak_18294_lociStitched	chr19	7750469	7797786	14	42659	58398.6414	6411.4535000000005
18_MACS_peak_35584_lociStitched	chr8	144926815	144974105	18	43188	74344.609	4327.035
14_MACS_peak_28942_lociStitched	chr3	50216400	50263312	14	44224	76203.85280000001	4325.2864
9_MACS_peak_22600_lociStitched	chr2	26775521	26822263	9	45543	79690.4358	5356.633199999999
10_MACS_peak_30463_lociStitched	chr4	9324618	9370956	10	45680	159203.4666	14601.103799999999
10_MACS_peak_29564_lociStitched	chr4	3701096	3747396	10	43389	63579.159999999996	3319.71
13_MACS_peak_17916_lociStitched	chr19	5300752	5346825	13	43708	67561.4472	5137.1395
17_MACS_peak_11340_lociStitched	chr15	74587445	74633501	17	42069	62134.1496	4518.0936
14_MACS_peak_1719_lociStitched	chr1	10906568	10952600	14	44259	66654.336	4432.8816
6_MACS_peak_25850_lociStitched	chr21	45907751	45953714	6	45124	90560.8989	5979.7863
10_MACS_peak_25331_lociStitched	chr20	61972206	62018129	10	43217	76310.2491	3210.0177000000003
13_MACS_peak_7353_lociStitched	chr11	61336096	61381844	13	41704	60799.092	4268.2883999999995
19_MACS_peak_34959_lociStitched	chr8	142584841	142630453	19	40455	55956.80159999999	3503.0015999999996
19_MACS_peak_18006_lociStitched	chr19	5722032	5767552	19	38848	53536.072	6208.928
24_MACS_peak_37718_lociStitched	chrX	152789802	152835244	24	38106	50181.600600000005	2190.3044
9_MACS_peak_37177_lociStitched	chr9	138130547	138175973	9	43722	60920.8086	3247.959
16_MACS_peak_2746_lociStitched	chr1	19023716	19068805	16	42996	57925.838299999996	3877.6539999999995
22_MACS_peak_16957_lociStitched	chr17	78029821	78074820	22	38656	59169.185099999995	4414.401900000001
10_MACS_peak_27326_lociStitched	chr22	42720571	42765365	10	42343	68579.614	3847.8046000000004
4_MACS_peak_26203_lociStitched	chr22	19719566	19764307	4	43306	85714.8078	3619.5469
5_MACS_peak_2134_lociStitched	chr1	17409198	17453855	5	42903	67476.727	4461.2343
12_MACS_peak_17463_lociStitched	chr19	819348	863787	12	42029	80021.3073	5408.2263
16_MACS_peak_24357_lociStitched	chr20	56126989	56171426	16	41245	61882.9662	4350.3823
11_MACS_peak_3378_lociStitched	chr1	23167289	23211540	11	43004	57544.0004	4106.4928
22_MACS_peak_28995_lociStitched	chr3	50518546	50562752	22	40504	55602.3068	3713.304
9_MACS_peak_16345_lociStitched	chr17	72909151	72953275	9	43026	71061.702	4152.0684
13_MACS_peak_7626_lociStitched	chr11	64474408	64518385	13	38512	73489.9647	4578.0057
9_MACS_peak_20872_lociStitched	chr19	42467073	42510997	9	42641	72465.8152	4036.6155999999996
10_MACS_peak_153_lociStitched	chr1	1867177	1910919	10	41920	68898.0242	3989.2704000000003
23_MACS_peak_2723_lociStitched	chr1	18978718	19022413	23	37700	47413.4445	3797.0955000000004
8_MACS_peak_33284_lociStitched	chr7	150862677	150905939	8	41174	77538.4826	6402.776
9_MACS_peak_28972_lociStitched	chr3	50444632	50487694	9	41327	58676.281200000005	3707.6382
11_MACS_peak_18317_lociStitched	chr19	7828374	7871332	11	40089	58929.7844	6018.4158
11_MACS_peak_36793_lociStitched	chr9	136490515	136533432	11	40554	64933.420999999995	3145.8161
6_MACS_peak_2014_lociStitched	chr1	16338456	16381098	6	41442	86597.3736	3927.3282
10_MACS_peak_7412_lociStitched	chr11	61501410	61544052	10	41173	71271.8388	4046.7257999999997
21_MACS_peak_29872_lociStitched	chr4	7275173	7317435	21	38008	52079.4626	3300.6622
8_MACS_peak_11773_lociStitched	chr16	792115	834094	8	39913	73631.166	3274.362
7_MACS_peak_36011_lociStitched	chr9	129427504	129468972	7	40281	69993.8372	4034.8363999999997
8_MACS_peak_17794_lociStitched	chr19	3912115	3953417	8	40117	71762.225	5055.364799999999
2_MACS_peak_26224_lociStitched	chr22	20151970	20193241	2	41209	90445.3965	3817.5675
20_MACS_peak_24643_lociStitched	chr20	57179104	57220318	20	36856	48578.9418	3659.8032000000003
9_MACS_peak_32350_lociStitched	chr7	2531886	2573050	9	39106	72366.312	3478.358
4_MACS_peak_15708_lociStitched	chr17	48633661	48674824	4	40344	68886.2805	3935.1828
4_MACS_peak_37372_lociStitched	chr9	139013464	139054566	4	39810	74423.3914	3390.915
2_MACS_peak_31571_lociStitched	chr6	31990202	32031261	2	40691	101025.6695	4799.7971
16_MACS_peak_27670_lociStitched	chr22	44964947	45005948	16	37658	51554.657400000004	3173.4773999999998
16_MACS_peak_1937_lociStitched	chr1	11912365	11953287	16	36564	57839.1548	3687.0722
2_MACS_peak_29519_lociStitched	chr4	3458637	3499546	2	40579	99065.2344	3346.3561999999997
8_MACS_peak_25817_lociStitched	chr21	45760761	45801393	8	38777	75128.568	5160.264
3_MACS_peak_26226_lociStitched	chr22	20197624	20238198	3	40218	79634.5898	3343.2976
12_MACS_peak_112_lociStitched	chr1	1355980	1396525	12	36144	59293.007999999994	3000.33
13_MACS_peak_31514_lociStitched	chr6	30410051	30450367	13	37709	64880.538799999995	5567.6396
9_MACS_peak_27281_lociStitched	chr22	40067975	40108193	9	39169	62478.66300000001	3639.729
11_MACS_peak_27355_lociStitched	chr22	42792554	42832666	11	38009	59365.76	3951.032
19_MACS_peak_29853_lociStitched	chr4	7234139	7274074	19	35132	45410.0885	2907.268
13_MACS_peak_346_lociStitched	chr1	2814670	2854366	13	37571	57138.4224	2481.0
13_MACS_peak_16917_lociStitched	chr17	77898608	77938155	13	36850	66150.2669	3120.2583
12_MACS_peak_5984_lociStitched	chr10	102482334	102521837	12	37088	71354.2689	3646.1268999999998
12_MACS_peak_27396_lociStitched	chr22	42918253	42957614	12	36097	65347.13219999999	6931.4721
11_MACS_peak_4123_lociStitched	chr1	32126144	32165414	11	37199	54396.804	3742.431
13_MACS_peak_36877_lociStitched	chr9	137096076	137135230	13	36068	59647.2036	3140.1508
9_MACS_peak_6816_lociStitched	chr11	1237747	1276876	9	38911	63690.27329999999	2938.5879
26_MACS_peak_1890_lociStitched	chr1	11664063	11703167	26	32025	41344.659199999995	3890.8480000000004
8_MACS_peak_20258_lociStitched	chr19	36331577	36370639	8	36661	51468.0912	3343.7072
9_MACS_peak_4795_lociStitched	chr1	156640116	156679015	9	36818	77405.1201	5838.7399000000005
15_MACS_peak_36976_lociStitched	chr9	137507237	137545920	15	34235	48094.5739	2908.9616
10_MACS_peak_37362_lociStitched	chr9	138962017	139000633	10	36237	70061.0088	2923.2312
7_MACS_peak_27140_lociStitched	chr22	37885546	37923981	7	37639	52986.491	3824.2825000000003
9_MACS_peak_16852_lociStitched	chr17	77636279	77674354	9	37002	50788.2425	3152.61
8_MACS_peak_37376_lociStitched	chr9	139058678	139096676	8	36897	74092.3002	2971.4436
11_MACS_peak_4809_lociStitched	chr1	156821288	156859212	11	35424	64986.5664	5222.1348
8_MACS_peak_27592_lociStitched	chr22	44692045	44729926	8	35326	54366.811200000004	3110.0301000000004
18_MACS_peak_24684_lociStitched	chr20	57357272	57395146	18	31918	45066.2726	3219.2900000000004
9_MACS_peak_27515_lociStitched	chr22	44214457	44252231	9	36238	53831.7274	3052.1392
10_MACS_peak_7040_lociStitched	chr11	2305536	2343142	10	35737	59048.9412	3121.2980000000002
9_MACS_peak_11971_lociStitched	chr16	2854723	2892271	9	36065	59723.8488	3443.1516
16_MACS_peak_3341_lociStitched	chr1	23079240	23116756	16	34532	45413.117999999995	3278.8984
8_MACS_peak_25308_lociStitched	chr20	61779583	61816941	8	35743	58756.6624	2659.8896
8_MACS_peak_27584_lociStitched	chr22	44652844	44690154	8	34413	55323.268	2820.636
17_MACS_peak_213_lociStitched	chr1	2080489	2117779	17	35142	49659.093	3143.547
4_MACS_peak_18061_lociStitched	chr19	5990912	6028171	4	36980	59905.0202	5145.4679
4_MACS_peak_6781_lociStitched	chr11	1025510	1062752	4	36997	75712.98599999999	2904.876
14_MACS_peak_3139_lociStitched	chr1	21935333	21972479	14	32442	44798.076	3781.4628000000002
7_MACS_peak_4953_lociStitched	chr1	201321940	201358793	7	34791	59370.183	4757.722299999999
