GENE_ID	locusLine	bin_1_14_0EX0_0229Kronos_MM1S-KB-1hr-2_H3K27Ac_hs-dm_i23.bam
NM_032236	chr1(.):21999791-22114688	0.2852
NM_001017415	chr1(.):62896974-62922475	1.0818
NM_003368	chr1(.):62897382-62922475	1.0979
NM_201569	chr1(.):183436505-183528328	0.4484
NM_001198993	chr1(.):1677670-1715297	0.8241
NM_023018	chr1(.):1677670-1714909	0.8314
NM_033487	chr1(.):1566099-1660775	0.5572
NM_001198994	chr1(.):1677670-1716508	0.8021
NR_026567	chr1(.):17012712-17051652	0.1734
NM_001113348	chr1(.):21538739-21677034	0.3384
NM_001013693	chr1(.):22133757-22156714	0.0799
NM_004091	chr1(.):23827921-23862713	1.3727
NM_173065	chr1(.):24475646-24518751	1.2291
NM_002379	chr1(.):31179123-31201432	0.2215
NR_034182	chr1(.):31186618-31204593	0.2539
NM_003629	chr1(.):46500811-46603380	0.4584
NM_001114172	chr1(.):46500811-46603708	0.457
NM_002600	chr1(.):66253855-66845262	0.1783
NM_001037341	chr1(.):66253192-66845262	0.1782
NM_001037340	chr1(.):66453389-66845262	0.2359
NM_153713	chr1(.):145472084-145504091	0.2012
NM_207168	chr1(.):150594521-150607098	1.1895
NM_015607	chr1(.):153601524-153622979	1.2089
NM_020524	chr1(.):154911558-154933567	2.5672
NM_181359	chr1(.):154372668-154445188	1.0057
NM_002249	chr1(.):154674914-154847754	0.4708
NM_170782	chr1(.):154674914-154837338	0.4899
NM_005572	chr1(.):156079460-156112657	0.3579
NM_005973	chr1(.):156732273-156775609	0.4323
NM_012394	chr1(.):161065345-161092866	0.4438
NM_014412	chr1(.):174963891-174986163	1.3941
NM_001007214	chr1(.):174963570-174986163	1.3753
NM_145034	chr1(.):179804101-179851941	0.502
NM_022347	chr1(.):179823164-179851941	0.7799
NM_015149	chr1(.):183600207-183902666	0.34
NM_144977	chr1(.):197516384-197749623	0.2227
NM_001195215	chr1(.):197468878-197749623	0.2043
NM_014827	chr1(.):203759750-203828256	0.2441
NM_182663	chr1(.):206675878-206767616	0.6213
NM_002221	chr1(.):226814390-226931876	0.9444
NM_004481	chr1(.):230197955-230422875	0.494
NM_014765	chr1(.):235267657-235297256	0.4915
NM_032328	chr1(.):245128170-245256148	0.3601
NR_026588	chr1(.):245128630-245256148	0.3608
NR_026587	chr1(.):245128630-245293530	0.2961
NR_026586	chr1(.):245128283-245293530	0.2959
NM_182838	chr1(.):1658680-1682431	1.2618
NM_001110781	chr1(.):1587938-1629243	1.0483
NM_024011	chr1(.):1629169-1660791	0.2465
NM_001198995	chr1(.):1677670-1695081	0.5234
NM_002521	chr1(.):11912520-11923992	0.069
NM_000302	chr1(.):11989745-12040594	0.1666
NM_138346	chr1(.):11975122-11991480	0.2627
NR_026752	chr1(.):16939750-16962401	0.4605
NR_027504	chr1(.):16967068-16981915	1.4847
NR_002729	chr1(.):17076400-17095975	0.1625
NM_014675	chr1(.):17243444-17304474	0.1187
NM_001397	chr1(.):21538739-21621982	0.4549
NM_001113347	chr1(.):21538739-21611183	0.0879
NM_001113349	chr1(.):21538739-21621766	0.4487
NM_001032730	chr1(.):22049338-22114688	0.4182
NM_017707	chr1(.):23750055-23815750	0.0675
NM_002167	chr1(.):23879408-23891322	0.3865
NM_021258	chr1(.):24441260-24474611	0.1158
NR_027087	chr1(.):24521729-24543180	0.4414
NM_015627	chr1(.):25865075-25900377	1.076
NM_006015	chr1(.):27017521-27113601	0.5969
