GENE_ID	locusLine	bin_1_29_0F2F_0229Kronos_MM1S-KB-24hr-1_H3K27me3_hs-dm_i17.bam
5_MACS_peak_1_lociStitched	chr1(.):30338-40258	0.7699
3_MACS_peak_6_lociStitched	chr1(.):87590-91517	0.767
3_MACS_peak_9_lociStitched	chr1(.):92598-95793	0.5567
4_MACS_peak_12_lociStitched	chr1(.):131346-135556	0.5222
1_MACS_peak_16_lociStitched	chr1(.):327759-328185	0.4463
3_MACS_peak_17_lociStitched	chr1(.):329687-331712	0.4081
1_MACS_peak_20_lociStitched	chr1(.):432087-432434	0.4348
1_MACS_peak_21_lociStitched	chr1(.):521503-521900	0.3864
1_MACS_peak_22_lociStitched	chr1(.):552194-552536	0.3415
2_MACS_peak_23_lociStitched	chr1(.):659514-660725	0.5172
4_MACS_peak_25_lociStitched	chr1(.):798959-803309	0.8739
3_MACS_peak_29_lociStitched	chr1(.):807754-810957	0.8308
2_MACS_peak_32_lociStitched	chr1(.):821163-823051	0.7985
7_MACS_peak_35_lociStitched	chr1(.):829524-879121	1.959
3_MACS_peak_42_lociStitched	chr1(.):909125-911289	0.6719
5_MACS_peak_45_lociStitched	chr1(.):913435-947716	1.6071
1_MACS_peak_50_lociStitched	chr1(.):951323-953841	0.8847
2_MACS_peak_51_lociStitched	chr1(.):955478-976135	1.5172
9_MACS_peak_53_lociStitched	chr1(.):977172-1016117	1.3744
7_MACS_peak_62_lociStitched	chr1(.):1052560-1079423	1.4833
2_MACS_peak_69_lociStitched	chr1(.):1080927-1087799	1.1936
12_MACS_peak_71_lociStitched	chr1(.):1088861-1149934	1.6001
5_MACS_peak_83_lociStitched	chr1(.):1172311-1185047	1.4245
7_MACS_peak_88_lociStitched	chr1(.):1214542-1226954	1.0705
1_MACS_peak_95_lociStitched	chr1(.):1286753-1290451	1.6321
2_MACS_peak_96_lociStitched	chr1(.):1292041-1300637	1.3788
15_MACS_peak_98_lociStitched	chr1(.):1356205-1395305	1.1083
1_MACS_peak_113_lociStitched	chr1(.):1420173-1420491	0.4916
1_MACS_peak_114_lociStitched	chr1(.):1422270-1422599	0.4489
2_MACS_peak_115_lociStitched	chr1(.):1431979-1433012	0.4693
1_MACS_peak_117_lociStitched	chr1(.):1459357-1459799	0.6079
1_MACS_peak_118_lociStitched	chr1(.):1462146-1462553	0.5007
12_MACS_peak_119_lociStitched	chr1(.):1511743-1537797	1.0803
2_MACS_peak_131_lociStitched	chr1(.):1566112-1569156	1.0427
