GENE_ID	locusLine	bin_1_10_0EWW_0229Kronos_MM1S-KB-24hr-2_H3K18Ac_hs-dm_i19.bam
1_MACS_peak_1_lociStitched	chr1(.):28301-30423	2.1335
1_MACS_peak_2_lociStitched	chr1(.):713118-715293	1.5037
1_MACS_peak_3_lociStitched	chr1(.):761804-763818	1.4517
1_MACS_peak_4_lociStitched	chr1(.):879162-880561	1.1795
3_MACS_peak_5_lociStitched	chr1(.):893762-902769	0.5024
1_MACS_peak_8_lociStitched	chr1(.):947979-949561	1.3402
1_MACS_peak_9_lociStitched	chr1(.):998952-999998	0.6001
1_MACS_peak_10_lociStitched	chr1(.):1079063-1080347	0.4995
1_MACS_peak_11_lociStitched	chr1(.):1092822-1094279	1.9539
1_MACS_peak_12_lociStitched	chr1(.):1166178-1167537	1.4927
1_MACS_peak_13_lociStitched	chr1(.):1185018-1186068	0.6151
1_MACS_peak_14_lociStitched	chr1(.):1208057-1210237	0.8659
2_MACS_peak_15_lociStitched	chr1(.):1242482-1245022	1.2529
1_MACS_peak_17_lociStitched	chr1(.):1259576-1261587	1.3458
2_MACS_peak_18_lociStitched	chr1(.):1283653-1285506	0.9215
1_MACS_peak_20_lociStitched	chr1(.):1309835-1311641	1.3805
2_MACS_peak_21_lociStitched	chr1(.):1333708-1343546	0.5476
1_MACS_peak_23_lociStitched	chr1(.):1396829-1398783	2.2602
1_MACS_peak_24_lociStitched	chr1(.):1406143-1407207	0.6601
2_MACS_peak_25_lociStitched	chr1(.):1439672-1447833	0.6357
1_MACS_peak_27_lociStitched	chr1(.):1509229-1510999	1.5168
2_MACS_peak_28_lociStitched	chr1(.):1544886-1552383	1.0363
1_MACS_peak_30_lociStitched	chr1(.):1589731-1591617	2.243
2_MACS_peak_31_lociStitched	chr1(.):1606276-1611123	2.1068
1_MACS_peak_33_lociStitched	chr1(.):1622765-1625694	4.2637
1_MACS_peak_34_lociStitched	chr1(.):1654987-1656910	1.2637
2_MACS_peak_35_lociStitched	chr1(.):1668760-1678748	1.6697
1_MACS_peak_37_lociStitched	chr1(.):1708739-1714964	3.3621
1_MACS_peak_38_lociStitched	chr1(.):1772277-1774790	0.5832
2_MACS_peak_39_lociStitched	chr1(.):1821018-1829375	0.4829
1_MACS_peak_41_lociStitched	chr1(.):1837606-1841332	1.1294
1_MACS_peak_42_lociStitched	chr1(.):2125793-2127540	1.0501
1_MACS_peak_43_lociStitched	chr1(.):2158212-2159430	1.1762
1_MACS_peak_44_lociStitched	chr1(.):2221027-2223451	1.0248
1_MACS_peak_45_lociStitched	chr1(.):2230952-2233710	2.1333
1_MACS_peak_46_lociStitched	chr1(.):2322377-2324238	0.7944
2_MACS_peak_47_lociStitched	chr1(.):2343146-2348076	1.0427
1_MACS_peak_49_lociStitched	chr1(.):2456699-2458417	0.6387
2_MACS_peak_50_lociStitched	chr1(.):2476736-2489361	2.7459
2_MACS_peak_52_lociStitched	chr1(.):2508621-2518539	0.6836
1_MACS_peak_54_lociStitched	chr1(.):2573419-2575043	1.8674
1_MACS_peak_55_lociStitched	chr1(.):3087170-3088062	0.6239
2_MACS_peak_56_lociStitched	chr1(.):3540165-3547225	0.3421
2_MACS_peak_58_lociStitched	chr1(.):3565984-3569917	0.3901
1_MACS_peak_60_lociStitched	chr1(.):3589221-3590389	0.8401
1_MACS_peak_61_lociStitched	chr1(.):3712336-3713847	0.8402
1_MACS_peak_62_lociStitched	chr1(.):3773178-3775000	0.9222
1_MACS_peak_63_lociStitched	chr1(.):3815890-3818323	4.3296
1_MACS_peak_64_lociStitched	chr1(.):6051141-6055696	1.7449
1_MACS_peak_65_lociStitched	chr1(.):6083800-6087459	2.1344
2_MACS_peak_66_lociStitched	chr1(.):6258488-6266960	0.6669
1_MACS_peak_68_lociStitched	chr1(.):6294920-6296728	0.9737
1_MACS_peak_69_lociStitched	chr1(.):6418930-6420724	1.1705
1_MACS_peak_70_lociStitched	chr1(.):6452914-6454634	0.7607
1_MACS_peak_71_lociStitched	chr1(.):6474233-6475516	0.8804
1_MACS_peak_72_lociStitched	chr1(.):6532012-6533051	0.6027
1_MACS_peak_73_lociStitched	chr1(.):6549840-6551816	1.675
1_MACS_peak_74_lociStitched	chr1(.):6613831-6615444	0.9013
1_MACS_peak_75_lociStitched	chr1(.):6639327-6641060	0.9661
1_MACS_peak_76_lociStitched	chr1(.):6659303-6664728	2.0343
1_MACS_peak_77_lociStitched	chr1(.):6672432-6674800	1.2425
1_MACS_peak_78_lociStitched	chr1(.):6684503-6686464	1.1889
1_MACS_peak_79_lociStitched	chr1(.):6761094-6762243	0.7546
2_MACS_peak_80_lociStitched	chr1(.):6843745-6846691	1.3422
1_MACS_peak_82_lociStitched	chr1(.):6978171-6980045	1.0753
1_MACS_peak_83_lociStitched	chr1(.):7830986-7832113	0.7395
1_MACS_peak_84_lociStitched	chr1(.):8020845-8022651	1.2979
1_MACS_peak_85_lociStitched	chr1(.):8085647-8087037	0.5603
1_MACS_peak_86_lociStitched	chr1(.):8454884-8456788	1.1941
2_MACS_peak_87_lociStitched	chr1(.):8482917-8488612	0.4736
3_MACS_peak_89_lociStitched	chr1(.):8650561-8664918	0.4973
1_MACS_peak_92_lociStitched	chr1(.):8740264-8742003	0.8555
2_MACS_peak_93_lociStitched	chr1(.):8760544-8774240	0.9949
1_MACS_peak_95_lociStitched	chr1(.):8875819-8878735	1.5945
1_MACS_peak_96_lociStitched	chr1(.):8907480-8909070	0.5206
1_MACS_peak_97_lociStitched	chr1(.):8937273-8940061	1.8595
1_MACS_peak_98_lociStitched	chr1(.):9188543-9189209	0.4245
1_MACS_peak_99_lociStitched	chr1(.):9222226-9225953	2.3136
1_MACS_peak_100_lociStitched	chr1(.):9241133-9243299	1.9962
1_MACS_peak_101_lociStitched	chr1(.):9294441-9295935	1.1426
1_MACS_peak_102_lociStitched	chr1(.):9335532-9336544	0.5309
1_MACS_peak_103_lociStitched	chr1(.):9473184-9474120	0.4853
2_MACS_peak_104_lociStitched	chr1(.):9485303-9489825	0.6555
1_MACS_peak_106_lociStitched	chr1(.):9599496-9600636	0.6858
2_MACS_peak_107_lociStitched	chr1(.):9776652-9782259	1.915
1_MACS_peak_109_lociStitched	chr1(.):9846471-9848818	1.2459
1_MACS_peak_110_lociStitched	chr1(.):9882604-9884419	1.4153
1_MACS_peak_111_lociStitched	chr1(.):9895925-9896846	0.6385
1_MACS_peak_112_lociStitched	chr1(.):9960508-9961222	0.4826
2_MACS_peak_113_lociStitched	chr1(.):9968934-9971704	1.0235
2_MACS_peak_115_lociStitched	chr1(.):10002244-10011523	0.5229
1_MACS_peak_117_lociStitched	chr1(.):10049336-10052156	1.5642
1_MACS_peak_118_lociStitched	chr1(.):10078200-10079876	0.9504
1_MACS_peak_119_lociStitched	chr1(.):10092082-10094287	1.3491
1_MACS_peak_120_lociStitched	chr1(.):10228346-10231688	1.2611
3_MACS_peak_121_lociStitched	chr1(.):10249044-10261945	0.4767
1_MACS_peak_124_lociStitched	chr1(.):10269481-10271723	1.4591
1_MACS_peak_125_lociStitched	chr1(.):10311278-10315100	1.1646
1_MACS_peak_126_lociStitched	chr1(.):10458789-10460123	1.3104
1_MACS_peak_127_lociStitched	chr1(.):10489845-10491771	1.0638
1_MACS_peak_128_lociStitched	chr1(.):10504394-10505749	0.9426
1_MACS_peak_129_lociStitched	chr1(.):10516217-10518090	1.3329
2_MACS_peak_130_lociStitched	chr1(.):10531685-10536056	0.8162
1_MACS_peak_132_lociStitched	chr1(.):10554526-10555981	0.6915
1_MACS_peak_133_lociStitched	chr1(.):10753606-10754438	0.4122
1_MACS_peak_134_lociStitched	chr1(.):10999496-11001060	0.687
1_MACS_peak_135_lociStitched	chr1(.):11071318-11073754	2.2936
2_MACS_peak_136_lociStitched	chr1(.):11119172-11121462	0.8084
1_MACS_peak_138_lociStitched	chr1(.):11158941-11160594	1.4066
1_MACS_peak_139_lociStitched	chr1(.):11286987-11287924	0.6578
1_MACS_peak_140_lociStitched	chr1(.):11322004-11323454	0.8505
1_MACS_peak_141_lociStitched	chr1(.):11332842-11334365	2.1414
1_MACS_peak_142_lociStitched	chr1(.):11538589-11539764	2.1232
1_MACS_peak_143_lociStitched	chr1(.):11622813-11632174	1.5789
1_MACS_peak_144_lociStitched	chr1(.):11714007-11715214	0.7818
1_MACS_peak_145_lociStitched	chr1(.):11724133-11725319	0.5912
1_MACS_peak_146_lociStitched	chr1(.):11740476-11741925	0.9766
2_MACS_peak_147_lociStitched	chr1(.):11790172-11797947	0.5272
1_MACS_peak_149_lociStitched	chr1(.):11843052-11845951	1.6567
2_MACS_peak_150_lociStitched	chr1(.):11863127-11867497	1.786
1_MACS_peak_152_lociStitched	chr1(.):11967572-11970624	3.1698
1_MACS_peak_153_lociStitched	chr1(.):11984537-11987468	0.8717
1_MACS_peak_154_lociStitched	chr1(.):11993816-11995465	1.2667
1_MACS_peak_155_lociStitched	chr1(.):12039757-12041264	1.8802
1_MACS_peak_156_lociStitched	chr1(.):12078733-12080325	0.7618
2_MACS_peak_157_lociStitched	chr1(.):12106625-12113353	0.879
1_MACS_peak_159_lociStitched	chr1(.):12138838-12140091	0.66
2_MACS_peak_160_lociStitched	chr1(.):12220925-12227697	0.7867
1_MACS_peak_162_lociStitched	chr1(.):12289756-12291592	0.8441
1_MACS_peak_163_lociStitched	chr1(.):12404063-12405975	0.6285
1_MACS_peak_164_lociStitched	chr1(.):12494537-12496940	0.995
1_MACS_peak_165_lociStitched	chr1(.):12508682-12510499	0.713
1_MACS_peak_166_lociStitched	chr1(.):12677803-12679246	0.5696
1_MACS_peak_167_lociStitched	chr1(.):13824960-13825952	0.5178
1_MACS_peak_168_lociStitched	chr1(.):14025864-14027519	0.8083
1_MACS_peak_169_lociStitched	chr1(.):14056617-14058178	1.1408
1_MACS_peak_170_lociStitched	chr1(.):14074921-14076895	0.9315
1_MACS_peak_171_lociStitched	chr1(.):14155163-14156470	1.0079
1_MACS_peak_172_lociStitched	chr1(.):14237394-14239624	0.6384
2_MACS_peak_173_lociStitched	chr1(.):14246690-14254403	0.4368
1_MACS_peak_175_lociStitched	chr1(.):14292230-14295802	1.1961
5_MACS_peak_176_lociStitched	chr1(.):14329417-14345205	0.8542
1_MACS_peak_181_lociStitched	chr1(.):14361256-14367842	2.5814
2_MACS_peak_182_lociStitched	chr1(.):14437238-14441228	0.599
1_MACS_peak_184_lociStitched	chr1(.):14463426-14464215	0.4519
2_MACS_peak_185_lociStitched	chr1(.):14500836-14509437	0.798
1_MACS_peak_187_lociStitched	chr1(.):14687119-14688496	0.665
1_MACS_peak_188_lociStitched	chr1(.):14695615-14697216	0.6107
1_MACS_peak_189_lociStitched	chr1(.):15161186-15164427	2.0668
1_MACS_peak_190_lociStitched	chr1(.):15207966-15209098	0.7023
1_MACS_peak_191_lociStitched	chr1(.):15416397-15417786	0.6961
1_MACS_peak_192_lociStitched	chr1(.):15482247-15483913	1.0445
2_MACS_peak_193_lociStitched	chr1(.):15501904-15506410	0.5873
1_MACS_peak_195_lociStitched	chr1(.):15587328-15588637	0.6418
1_MACS_peak_196_lociStitched	chr1(.):15735571-15737566	0.759
1_MACS_peak_197_lociStitched	chr1(.):15850977-15854327	1.025
3_MACS_peak_198_lociStitched	chr1(.):15897146-15912213	1.1563
1_MACS_peak_201_lociStitched	chr1(.):15942453-15945866	1.6337
1_MACS_peak_202_lociStitched	chr1(.):16009749-16012131	2.0252
1_MACS_peak_203_lociStitched	chr1(.):16022765-16024929	2.0969
1_MACS_peak_204_lociStitched	chr1(.):16149692-16151015	0.773
1_MACS_peak_205_lociStitched	chr1(.):16160084-16163566	4.9151
2_MACS_peak_206_lociStitched	chr1(.):16173063-16178876	1.3938
1_MACS_peak_208_lociStitched	chr1(.):16212203-16213348	0.6702
1_MACS_peak_209_lociStitched	chr1(.):16301793-16303318	0.9973
1_MACS_peak_210_lociStitched	chr1(.):16532783-16534209	0.9025
1_MACS_peak_211_lociStitched	chr1(.):16543378-16544756	0.5201
1_MACS_peak_212_lociStitched	chr1(.):16562525-16564345	1.1223
1_MACS_peak_213_lociStitched	chr1(.):16677506-16679846	1.5108
1_MACS_peak_214_lociStitched	chr1(.):16692694-16695420	2.3919
1_MACS_peak_215_lociStitched	chr1(.):16766643-16771403	1.6257
2_MACS_peak_216_lociStitched	chr1(.):16824799-16833113	0.3778
1_MACS_peak_219_lociStitched	chr1(.):16938861-16941005	1.8339
1_MACS_peak_220_lociStitched	chr1(.):16969616-16972609	5.4068
1_MACS_peak_221_lociStitched	chr1(.):16985109-16985883	0.7489
1_MACS_peak_222_lociStitched	chr1(.):16991931-16994753	11.0639
1_MACS_peak_223_lociStitched	chr1(.):17065686-17068410	11.7726
1_MACS_peak_224_lociStitched	chr1(.):17074590-17075357	1.7076
2_MACS_peak_225_lociStitched	chr1(.):17221196-17233669	4.477
1_MACS_peak_227_lociStitched	chr1(.):17239822-17241639	1.6224
1_MACS_peak_228_lociStitched	chr1(.):17286559-17288415	0.982
1_MACS_peak_229_lociStitched	chr1(.):17337648-17338642	0.577
1_MACS_peak_230_lociStitched	chr1(.):17379565-17381347	0.9037
1_MACS_peak_231_lociStitched	chr1(.):17763447-17766627	1.0876
1_MACS_peak_232_lociStitched	chr1(.):19228350-19230006	1.4557
2_MACS_peak_233_lociStitched	chr1(.):19252104-19257131	3.7312
2_MACS_peak_235_lociStitched	chr1(.):19276390-19284051	1.3396
1_MACS_peak_237_lociStitched	chr1(.):19535619-19537970	1.0652
1_MACS_peak_238_lociStitched	chr1(.):19577463-19579221	3.6675
1_MACS_peak_239_lociStitched	chr1(.):19637634-19639787	1.5068
1_MACS_peak_240_lociStitched	chr1(.):19810936-19813460	1.5432
1_MACS_peak_241_lociStitched	chr1(.):19922319-19924529	2.0224
1_MACS_peak_242_lociStitched	chr1(.):20084783-20086583	0.7346
1_MACS_peak_243_lociStitched	chr1(.):20125232-20127678	2.1987
1_MACS_peak_244_lociStitched	chr1(.):20141739-20143183	0.733
1_MACS_peak_245_lociStitched	chr1(.):20208387-20209869	0.948
2_MACS_peak_246_lociStitched	chr1(.):20404251-20408378	0.5672
1_MACS_peak_248_lociStitched	chr1(.):20415795-20417118	0.7801
1_MACS_peak_249_lociStitched	chr1(.):20445377-20447121	0.8057
1_MACS_peak_250_lociStitched	chr1(.):20833990-20835229	0.9766
1_MACS_peak_251_lociStitched	chr1(.):20959670-20960859	1.0433
2_MACS_peak_252_lociStitched	chr1(.):20984559-20989058	0.7879
1_MACS_peak_254_lociStitched	chr1(.):21022833-21023746	0.6743
1_MACS_peak_255_lociStitched	chr1(.):21059081-21060468	0.4848
1_MACS_peak_256_lociStitched	chr1(.):21112108-21114898	1.6994
1_MACS_peak_257_lociStitched	chr1(.):21290547-21292905	0.8536
1_MACS_peak_258_lociStitched	chr1(.):21348155-21349796	1.5757
2_MACS_peak_259_lociStitched	chr1(.):21501723-21504044	0.9543
1_MACS_peak_261_lociStitched	chr1(.):21615310-21622313	3.8766
1_MACS_peak_262_lociStitched	chr1(.):21659910-21662017	2.4537
1_MACS_peak_263_lociStitched	chr1(.):21671084-21672820	0.7545
1_MACS_peak_264_lociStitched	chr1(.):21765911-21767276	0.8138
1_MACS_peak_265_lociStitched	chr1(.):22107595-22110750	4.1478
1_MACS_peak_266_lociStitched	chr1(.):22117272-22119411	2.5373
1_MACS_peak_267_lociStitched	chr1(.):22191251-22194935	2.1319
1_MACS_peak_268_lociStitched	chr1(.):22263869-22264665	0.6691
2_MACS_peak_269_lociStitched	chr1(.):22344824-22353492	1.2424
1_MACS_peak_271_lociStitched	chr1(.):22365496-22367502	1.7355
1_MACS_peak_272_lociStitched	chr1(.):22378318-22380483	1.6701
1_MACS_peak_273_lociStitched	chr1(.):22489299-22490651	0.7871
1_MACS_peak_274_lociStitched	chr1(.):22777600-22779675	1.2796
1_MACS_peak_275_lociStitched	chr1(.):22820472-22821973	0.8741
1_MACS_peak_276_lociStitched	chr1(.):23345367-23347041	0.8599
1_MACS_peak_277_lociStitched	chr1(.):23668242-23672085	1.4798
1_MACS_peak_278_lociStitched	chr1(.):23693884-23696697	1.7503
1_MACS_peak_279_lociStitched	chr1(.):23823455-23824428	0.7311
1_MACS_peak_280_lociStitched	chr1(.):23849793-23858797	4.0057
1_MACS_peak_281_lociStitched	chr1(.):23865596-23866864	0.9356
2_MACS_peak_282_lociStitched	chr1(.):23879586-23890063	2.0765
1_MACS_peak_284_lociStitched	chr1(.):23902964-23905091	1.0263
2_MACS_peak_285_lociStitched	chr1(.):23917217-23929851	0.912
4_MACS_peak_287_lociStitched	chr1(.):23936721-23963118	1.6181
1_MACS_peak_291_lociStitched	chr1(.):24017768-24019605	1.7309
1_MACS_peak_292_lociStitched	chr1(.):24068997-24071696	1.7034
1_MACS_peak_293_lociStitched	chr1(.):24104141-24105659	0.8355
1_MACS_peak_294_lociStitched	chr1(.):24116979-24118724	1.0605
1_MACS_peak_295_lociStitched	chr1(.):24125906-24128146	1.4021
1_MACS_peak_296_lociStitched	chr1(.):24150990-24153124	1.9981
1_MACS_peak_297_lociStitched	chr1(.):24181007-24182866	1.6946
1_MACS_peak_298_lociStitched	chr1(.):24191227-24195246	1.1722
1_MACS_peak_299_lociStitched	chr1(.):24236858-24237893	0.7549
1_MACS_peak_300_lociStitched	chr1(.):24245973-24247664	1.3642
3_MACS_peak_301_lociStitched	chr1(.):24281037-24291960	1.221
1_MACS_peak_304_lociStitched	chr1(.):24305369-24307689	2.5307
1_MACS_peak_305_lociStitched	chr1(.):24357672-24358011	0.7687
1_MACS_peak_306_lociStitched	chr1(.):24468530-24470007	1.2852
1_MACS_peak_307_lociStitched	chr1(.):24476286-24479599	2.1354
2_MACS_peak_308_lociStitched	chr1(.):24511736-24534778	5.9672
1_MACS_peak_310_lociStitched	chr1(.):24644488-24652352	4.4686
1_MACS_peak_311_lociStitched	chr1(.):24676793-24679368	0.8304
1_MACS_peak_312_lociStitched	chr1(.):24709919-24720946	2.845
2_MACS_peak_313_lociStitched	chr1(.):24739353-24743750	1.0765
1_MACS_peak_315_lociStitched	chr1(.):24807182-24808872	0.7968
1_MACS_peak_316_lociStitched	chr1(.):24827073-24830549	2.241
1_MACS_peak_317_lociStitched	chr1(.):24861254-24862422	0.842
2_MACS_peak_318_lociStitched	chr1(.):24882243-24885298	0.5318
1_MACS_peak_320_lociStitched	chr1(.):24967766-24971128	2.4781
1_MACS_peak_321_lociStitched	chr1(.):25020246-25021561	0.5234
2_MACS_peak_322_lociStitched	chr1(.):25048564-25054884	0.6893
2_MACS_peak_324_lociStitched	chr1(.):25069709-25076639	1.6584
1_MACS_peak_326_lociStitched	chr1(.):25174349-25175666	0.676
1_MACS_peak_327_lociStitched	chr1(.):25254388-25257656	2.3949
1_MACS_peak_328_lociStitched	chr1(.):25290872-25292804	1.7879
3_MACS_peak_329_lociStitched	chr1(.):25347068-25364610	1.4248
3_MACS_peak_332_lociStitched	chr1(.):25558208-25575069	0.941
1_MACS_peak_335_lociStitched	chr1(.):25592765-25595237	3.1312
1_MACS_peak_336_lociStitched	chr1(.):25663346-25665853	3.6277
1_MACS_peak_337_lociStitched	chr1(.):25756166-25758160	0.6822
1_MACS_peak_338_lociStitched	chr1(.):25798153-25800019	0.6646
2_MACS_peak_339_lociStitched	chr1(.):25869414-25878277	1.666
1_MACS_peak_341_lociStitched	chr1(.):25886899-25890580	1.2726
2_MACS_peak_342_lociStitched	chr1(.):25942073-25947977	0.7011
1_MACS_peak_344_lociStitched	chr1(.):25958155-25959293	0.652
1_MACS_peak_345_lociStitched	chr1(.):25967764-25970140	2.5879
1_MACS_peak_346_lociStitched	chr1(.):26001868-26003453	0.6593
2_MACS_peak_347_lociStitched	chr1(.):26125916-26127593	0.5924
1_MACS_peak_349_lociStitched	chr1(.):26145608-26148143	1.4135
1_MACS_peak_350_lociStitched	chr1(.):26201325-26202530	0.5349
1_MACS_peak_351_lociStitched	chr1(.):26230823-26233227	1.0123
1_MACS_peak_352_lociStitched	chr1(.):26323101-26325642	1.2795
1_MACS_peak_353_lociStitched	chr1(.):26361736-26362886	0.5736
1_MACS_peak_354_lociStitched	chr1(.):26436730-26439527	2.0956
2_MACS_peak_355_lociStitched	chr1(.):26445832-26454075	0.4781
1_MACS_peak_357_lociStitched	chr1(.):26496046-26497331	0.9035
1_MACS_peak_358_lociStitched	chr1(.):26503456-26504596	0.6115
1_MACS_peak_359_lociStitched	chr1(.):26559712-26562156	0.968
2_MACS_peak_360_lociStitched	chr1(.):26605326-26614556	0.4958
1_MACS_peak_362_lociStitched	chr1(.):26632378-26634754	1.2855
1_MACS_peak_363_lociStitched	chr1(.):26758050-26759708	0.7529
1_MACS_peak_364_lociStitched	chr1(.):26797850-26800411	2.2855
1_MACS_peak_365_lociStitched	chr1(.):26826191-26828737	3.8399
1_MACS_peak_366_lociStitched	chr1(.):26855918-26857205	0.7511
2_MACS_peak_367_lociStitched	chr1(.):26864445-26873429	2.3985
1_MACS_peak_369_lociStitched	chr1(.):26946035-26948731	4.2486
2_MACS_peak_370_lociStitched	chr1(.):27018262-27030823	2.3426
4_MACS_peak_372_lociStitched	chr1(.):27059967-27073109	1.1896
1_MACS_peak_376_lociStitched	chr1(.):27112213-27116162	6.0104
1_MACS_peak_377_lociStitched	chr1(.):27126364-27127374	0.4934
4_MACS_peak_378_lociStitched	chr1(.):27152388-27167278	0.8418
2_MACS_peak_382_lociStitched	chr1(.):27188771-27193223	1.6181
1_MACS_peak_384_lociStitched	chr1(.):27215629-27217556	1.4672
1_MACS_peak_385_lociStitched	chr1(.):27226018-27227856	1.4202
1_MACS_peak_386_lociStitched	chr1(.):27247469-27249163	1.124
1_MACS_peak_387_lociStitched	chr1(.):27285969-27287733	0.9321
1_MACS_peak_388_lociStitched	chr1(.):27396618-27397756	0.6026
1_MACS_peak_389_lociStitched	chr1(.):27463036-27464495	0.7834
1_MACS_peak_390_lociStitched	chr1(.):27480783-27482485	1.0703
1_MACS_peak_391_lociStitched	chr1(.):27560099-27562348	0.5975
1_MACS_peak_392_lociStitched	chr1(.):27648309-27649698	1.0426
2_MACS_peak_393_lociStitched	chr1(.):27667750-27676716	0.3567
1_MACS_peak_395_lociStitched	chr1(.):27683719-27684379	0.5323
1_MACS_peak_396_lociStitched	chr1(.):27692780-27693831	0.6383
1_MACS_peak_397_lociStitched	chr1(.):27744188-27745803	0.8622
1_MACS_peak_398_lociStitched	chr1(.):27761234-27766247	1.0117
2_MACS_peak_399_lociStitched	chr1(.):27815241-27819202	2.3057
1_MACS_peak_401_lociStitched	chr1(.):27883168-27884644	0.6793
1_MACS_peak_402_lociStitched	chr1(.):27929670-27930943	0.489
1_MACS_peak_403_lociStitched	chr1(.):27985525-27986913	0.7469
1_MACS_peak_404_lociStitched	chr1(.):27997974-27999690	1.0181
1_MACS_peak_405_lociStitched	chr1(.):28051359-28053637	1.0054
1_MACS_peak_406_lociStitched	chr1(.):28098685-28100885	0.7898
1_MACS_peak_407_lociStitched	chr1(.):28156292-28158298	1.7076
2_MACS_peak_408_lociStitched	chr1(.):28195264-28199800	0.3829
1_MACS_peak_410_lociStitched	chr1(.):28240276-28241894	0.8175
1_MACS_peak_411_lociStitched	chr1(.):28285527-28287567	1.4924
2_MACS_peak_412_lociStitched	chr1(.):28352200-28364282	2.3136
2_MACS_peak_414_lociStitched	chr1(.):28389919-28397418	0.3585
1_MACS_peak_416_lociStitched	chr1(.):28413647-28416136	1.8396
1_MACS_peak_417_lociStitched	chr1(.):28473872-28475350	0.7684
2_MACS_peak_418_lociStitched	chr1(.):28495023-28500273	0.6628
2_MACS_peak_420_lociStitched	chr1(.):28558691-28563888	1.6161
1_MACS_peak_422_lociStitched	chr1(.):28569968-28577047	2.149
1_MACS_peak_423_lociStitched	chr1(.):28585127-28587280	1.0524
1_MACS_peak_424_lociStitched	chr1(.):28654684-28656590	1.8408
1_MACS_peak_425_lociStitched	chr1(.):28695406-28697404	2.253
1_MACS_peak_426_lociStitched	chr1(.):28743827-28744757	0.4734
1_MACS_peak_427_lociStitched	chr1(.):28831411-28837659	2.1834
1_MACS_peak_428_lociStitched	chr1(.):28844341-28846174	1.302
1_MACS_peak_429_lociStitched	chr1(.):28878289-28881181	2.1709
2_MACS_peak_430_lociStitched	chr1(.):28906007-28914496	1.2732
1_MACS_peak_432_lociStitched	chr1(.):28924091-28929495	1.6902
2_MACS_peak_433_lociStitched	chr1(.):28968292-28976315	1.4839
2_MACS_peak_435_lociStitched	chr1(.):28994471-28996895	2.4748
1_MACS_peak_437_lociStitched	chr1(.):29062278-29064886	1.9965
1_MACS_peak_438_lociStitched	chr1(.):29101377-29102527	0.6057
2_MACS_peak_439_lociStitched	chr1(.):29210636-29215013	1.371
1_MACS_peak_441_lociStitched	chr1(.):29240219-29242488	0.9384
1_MACS_peak_442_lociStitched	chr1(.):29251684-29255812	1.1957
1_MACS_peak_443_lociStitched	chr1(.):29312623-29313798	0.5872
1_MACS_peak_444_lociStitched	chr1(.):29506788-29509761	2.9329
1_MACS_peak_445_lociStitched	chr1(.):29556687-29558157	0.6553
1_MACS_peak_446_lociStitched	chr1(.):30337163-30337747	0.4819
1_MACS_peak_447_lociStitched	chr1(.):30347143-30351721	0.9087
2_MACS_peak_448_lociStitched	chr1(.):30369815-30375490	0.342
1_MACS_peak_450_lociStitched	chr1(.):30893108-30893966	0.4347
1_MACS_peak_451_lociStitched	chr1(.):31191450-31193096	1.2377
2_MACS_peak_452_lociStitched	chr1(.):31213470-31236577	4.7559
3_MACS_peak_454_lociStitched	chr1(.):31246316-31255928	0.4583
