GENE_ID	locusLine	bin_1_MM2_jia.bam
NM_173083	chr1(.):226413860-226502198	0.1516
NM_032236	chr1(.):21999791-22114688	0.2367
NM_001006605	chr1(.):93302720-93432079	0.3263
NM_001198993	chr1(.):1677670-1715297	0.403
NM_023018	chr1(.):1677670-1714909	0.4036
NM_001198994	chr1(.):1677670-1716508	0.3937
NM_003820	chr1(.):2482804-2500267	0.2416
NR_027136	chr1(.):15433310-15483960	0.1366
NM_015001	chr1(.):16169358-16271950	0.1774
NR_026567	chr1(.):17012712-17051652	0.1302
NM_001113348	chr1(.):21538739-21677034	0.2254
NM_001013693	chr1(.):22133757-22156714	0.0833
NM_006990	chr1(.):27727125-27821669	0.308
NM_002379	chr1(.):31179123-31201432	0.2418
NR_034182	chr1(.):31186618-31204593	0.3133
NM_001195100	chr1(.):32367021-32390259	0.1299
NM_080391	chr1(.):32367021-32408988	0.256
NM_002600	chr1(.):66253855-66845262	0.1716
NM_001037341	chr1(.):66253192-66845262	0.1715
NM_001037340	chr1(.):66453389-66845262	0.2021
NM_018841	chr1(.):68162148-68304155	0.1179
NM_003567	chr1(.):94022348-94152385	0.2039
NM_198459	chr1(.):115122195-115217732	0.1865
NM_207168	chr1(.):150594521-150607098	0.4074
NM_020524	chr1(.):154911558-154933567	0.3262
NM_181359	chr1(.):154372668-154445188	0.2735
NM_005572	chr1(.):156079460-156112657	0.1293
NM_144977	chr1(.):197516384-197749623	0.1544
NM_001195215	chr1(.):197468878-197749623	0.1468
NM_182663	chr1(.):206675878-206767616	0.2707
NM_004481	chr1(.):230197955-230422875	0.2384
NM_032328	chr1(.):245128170-245256148	0.1352
NR_026588	chr1(.):245128630-245256148	0.1354
NR_026587	chr1(.):245128630-245293530	0.1164
NR_026586	chr1(.):245128283-245293530	0.1163
NM_182838	chr1(.):1658680-1682431	0.373
NM_001198995	chr1(.):1677670-1695081	0.2176
NM_001010926	chr1(.):2455183-2466684	0.318
NR_026927	chr1(.):2476358-2489284	0.833
NM_018216	chr1(.):2434974-2463035	0.1577
NM_001195741	chr1(.):2513188-2527908	0.3214
NR_036638	chr1(.):2512898-2527908	0.3188
NM_033467	chr1(.):2517080-2569481	0.0925
NM_002521	chr1(.):11912520-11923992	0.0412
NM_000302	chr1(.):11989745-12040594	0.108
NM_138346	chr1(.):11975122-11991480	0.1125
NM_015866	chr1(.):14026349-14119574	0.2642
NM_001007257	chr1(.):14070875-14119574	0.159
NM_001135610	chr1(.):14021734-14156574	0.2141
NM_001136216	chr1(.):15474027-15551974	0.303
NM_001136218	chr1(.):15475228-15551974	0.3065
NM_001089591	chr1(.):16128656-16139194	0.065
NR_024279	chr1(.):16155709-16179642	0.7092
NR_026752	chr1(.):16939750-16962401	0.224
NR_027504	chr1(.):16967068-16981915	0.3759
NR_002729	chr1(.):17076400-17095975	0.1476
NM_014675	chr1(.):17243444-17304474	0.083
NM_001397	chr1(.):21538739-21621982	0.2428
NM_001113347	chr1(.):21538739-21611183	0.1165
NM_001113349	chr1(.):21538739-21621766	0.2387
NM_001032730	chr1(.):22049338-22114688	0.3252
NM_015484	chr1(.):25543766-25564013	0.2653
NM_001127691	chr1(.):25593980-25661936	0.0705
NM_020317	chr1(.):25563739-25578985	0.4257
NR_026685	chr1(.):26432655-26457026	0.4922
NM_152835	chr1(.):26433267-26457026	0.5026
NM_032588	chr1(.):26372797-26399121	0.0489
NR_023345	chr1(.):26498981-26521375	0.0739
NM_024869	chr1(.):26480510-26494119	0.0543
NM_015871	chr1(.):26491387-26502364	0.1663
NM_006314	chr1(.):26498980-26521375	0.0739
NM_017837	chr1(.):27109485-27129887	0.3322
NM_006015	chr1(.):27017521-27113601	0.3494
NM_018066	chr1(.):27200872-27221869	0.1906
NM_032283	chr1(.):27148200-27187211	0.6066
NM_006142	chr1(.):27184632-27195947	0.2766
NM_005281	chr1(.):27714151-27727317	0.1335
NM_207397	chr1(.):27700595-27714805	0.0491
NR_002997	chr1(.):28155911-28166077	0.2119
NM_001039477	chr1(.):28194054-28218193	0.6533
NM_014474	chr1(.):28256503-28290663	0.1031
NM_002946	chr1(.):28213048-28246236	0.2985
NM_014280	chr1(.):28521789-28564542	0.1468
NM_016311	chr1(.):28557610-28569611	0.2734
NM_031459	chr1(.):28581005-28614002	0.1321
NM_006762	chr1(.):31200314-31235683	0.5855
NM_005202	chr1(.):36555843-36570850	0.0675
NM_018067	chr1(.):36616802-36651441	0.2961
NM_014408	chr1(.):36597172-36620067	0.277
NM_022756	chr1(.):37953175-37985364	0.153
NM_025079	chr1(.):37935118-37954978	0.5936
NM_001198979	chr1(.):40854016-40893998	0.3725
NM_001198978	chr1(.):40835304-40893998	0.5269
NM_001198980	chr1(.):40857471-40893998	0.3382
NM_022733	chr1(.):40834377-40893998	0.5198
NM_023070	chr1(.):40911336-40934390	0.06
NM_006516	chr1(.):43386045-43429847	0.4434
NR_033967	chr1(.):43419719-43454029	0.1653
NM_006004	chr1(.):46764379-46787447	0.3413
NM_006369	chr1(.):46739071-46774038	0.2405
NM_199044	chr1(.):46801389-46835690	0.2578
NM_015696	chr1(.):53063042-53079723	0.3787
NM_001042693	chr1(.):53094065-53127737	0.4065
NM_001037339	chr1(.):66792792-66845262	0.5286
NM_001924	chr1(.):68145882-68159019	0.2199
NM_004974	chr1(.):111140775-111153345	0.0698
NM_002232	chr1(.):111209309-111222655	0.5071
NM_007158	chr1(.):115254536-115305624	0.3412
NM_002524	chr1(.):115242077-115264515	0.4216
NM_001172626	chr1(.):115210719-115243239	0.295
NM_001007553	chr1(.):115254537-115305624	0.3412
NM_001130523	chr1(.):115254537-115305671	0.341
NM_017709	chr1(.):118143603-118176011	0.7148
NM_001161334	chr1(.):149749244-149788928	0.1321
NM_001034077	chr1(.):149799220-149809616	0.3193
NM_001005464	chr1(.):149807258-149817765	0.5649
NM_001040874	chr1(.):149808784-149819318	0.5824
NM_001123375	chr1(.):149779779-149790236	0.2401
NM_016074	chr1(.):149866154-149877348	0.1202
NM_003528	chr1(.):149851009-149863232	0.5351
NM_003517	chr1(.):149853524-149863961	0.6087
NM_175065	chr1(.):149854018-149864466	0.6032
NR_036461	chr1(.):149816758-149827340	0.5608
