REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X10_0EWW_0229Kronos_MM1S.KB.24hr.2_H3K18Ac_hs.dm_i19.bam	X44_0EXW_0229Kronos_MM1S.KB.24hr.2_Input_hs_i90.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
5_MACS_peak_2252_lociStitched	chr1	203236298	203308648	5	59832	464146.955	21676.06	1	BTG2,LOC730227	CHIT1,FMOD	LOC730227	1	1
8_MACS_peak_18688_lociStitched	chr3	141078676	141160679	8	67908	424611.534	19246.1041	2	ZBTB38	RASA2	ZBTB38	2	1
8_MACS_peak_13795_lociStitched	chr2	37525621	37625069	8	82223	382039.4368	21540.4368	3	QPCT,PRKD3		QPCT	3	1
1_MACS_peak_10877_lociStitched	chr17	32688272	32729903	1	41632	286200.6357	9633.4134	4	CCL1	CCL8,CCL13	CCL1	4	1
1_MACS_peak_8327_lociStitched	chr14	106023124	106056535	1	33412	258530.9769	6057.4143	5		TMEM121	TMEM121	5	1
5_MACS_peak_1354_lociStitched	chr1	118141760	118219457	5	67011	245219.5017	10193.8464	6	FAM46C		FAM46C	6	1
11_MACS_peak_9592_lociStitched	chr16	11754576	11843345	11	69657	252112.8369	17798.1845	7	SNN,TXNDC11	ZC3H7A	SNN	7	1
5_MACS_peak_16960_lociStitched	chr22	23188726	23249117	5	53796	243031.5013	9414.9569	8	IGLL5	MIR650	IGLL5	8	1
3_MACS_peak_10925_lociStitched	chr17	34596839	34645474	3	46419	237158.8505	12572.1475	9	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	9	1
2_MACS_peak_16965_lociStitched	chr22	23262040	23286791	2	22267	221405.1203	5363.5417	10		IGLL5	IGLL5	10	1
2_MACS_peak_10921_lociStitched	chr17	34508407	34544047	2	34911	216195.804	9886.536	11	CCL4L1,CCL3L1,CCL3L3	TBC1D3B,TBC1D3C	CCL3L1	11	1
3_MACS_peak_14474_lociStitched	chr2	99054655	99108655	3	49835	216091.8	12506.4	12	INPP4A		INPP4A	12	1
8_MACS_peak_8167_lociStitched	chr14	91812950	91886136	8	61930	195201.6992	8775.0014	13	CCDC88C		CCDC88C	13	1
4_MACS_peak_20020_lociStitched	chr4	90204439	90253354	4	35241	195787.179	10546.074	14	GPRIN3		GPRIN3	14	1
9_MACS_peak_16033_lociStitched	chr20	32398793	32474510	9	52084	198151.389	14499.8055	15	CHMP4B		CHMP4B	15	1
7_MACS_peak_10661_lociStitched	chr17	16846732	16895754	7	42635	192509.394	9789.6934	16	TNFRSF13B		TNFRSF13B	16	1
4_MACS_peak_3906_lociStitched	chr10	112596716	112633415	4	28976	189271.4226	7886.6151	17	RBM20,PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	17	1
4_MACS_peak_18626_lociStitched	chr3	133177773	133227080	4	40233	186498.7968	9328.8844	18	BFSP2		BFSP2	18	1
4_MACS_peak_8332_lociStitched	chr14	106143777	106175999	4	31218	179785.8712	3792.5294	19			TMEM121	19	1
2_MACS_peak_16986_lociStitched	chr22	24176999	24201037	2	18113	167453.5156	4757.1202	20	SLC2A11,DERL3	SMARCB1,MIF	DERL3	20	1
1_MACS_peak_22315_lociStitched	chr6	7887588	7921791	1	34204	164324.8932	8916.7221	21	MUTED-TXNDC5,TXNDC5		TXNDC5	21	1
4_MACS_peak_2320_lociStitched	chr1	206271511	206311220	4	27929	161083.5294	11158.229	22	C1orf186	AVPR1B,CTSE	C1orf186	22	1
4_MACS_peak_22192_lociStitched	chr6	289904	338121	4	38432	163320.6224	16080.3695	23	DUSP22		DUSP22	23	1
2_MACS_peak_11020_lociStitched	chr17	38459045	38484806	2	23625	151946.1063	5829.7143	24	CDC6,RARA	RARA,GJD3	RARA	24	1
7_MACS_peak_11212_lociStitched	chr17	46506224	46571645	7	52551	156199.1796	11069.2332	25	SKAP1	HOXB1	SKAP1	25	1
3_MACS_peak_24459_lociStitched	chr7	55568606	55606328	3	30992	151238.8146	7008.7476	26	VOPP1		VOPP1	26	1
1_MACS_peak_4914_lociStitched	chr11	72850745	72871854	1	21110	148085.9677	4772.7449	27	FCHSD2		FCHSD2	27	1
1_MACS_peak_26312_lociStitched	chr8	120915106	120951105	1	36000	149997.0333	7426.5937	28	DEPDC6	DSCC1	DEPDC6	28	1
7_MACS_peak_23335_lociStitched	chr6	108878187	108959062	7	74809	155603.5	14088.425	29	FOXO3		FOXO3	29	1
6_MACS_peak_21658_lociStitched	chr5	131789292	131842653	6	40179	151507.8873	11024.3826	30	C5orf56,IRF1	RAD50,IL5	IRF1	30	1
4_MACS_peak_11870_lociStitched	chr18	9053773	9085567	4	27968	145594.2642	6520.9494	31		NDUFV2	NDUFV2	31	1
3_MACS_peak_15984_lociStitched	chr20	30271601	30312241	3	40109	148067.776	9339.072	32	BCL2L1	COX4I2,TPX2	BCL2L1	32	1
4_MACS_peak_19118_lociStitched	chr3	183220039	183261513	4	35643	148518.394	11554.6564	33	KLHL6		KLHL6	33	1
1_MACS_peak_2911_lociStitched	chr10	11201828	11224736	1	22909	142274.7156	7090.026	34	CELF2		CELF2	34	1
2_MACS_peak_308_lociStitched	chr1	24511736	24534778	2	22154	137496.2224	4700.568	35	LOC284632,IL28RA	IL22RA1	LOC284632	35	1
3_MACS_peak_21655_lociStitched	chr5	131744670	131775215	3	26859	138176.4165	6756.554	36	C5orf56	SLC22A5,MIR3936	C5orf56	36	1
3_MACS_peak_19797_lociStitched	chr4	71523614	71555458	3	30163	134480.3964	6798.694	37	UTP3,IGJ	ENAM,RUFY3	IGJ	37	1
4_MACS_peak_16137_lociStitched	chr20	37486570	37510861	4	16706	130309.0695	4275.216	38	PPP1R16B	FAM83D	FAM83D	38	1
3_MACS_peak_24856_lociStitched	chr7	102063365	102093384	3	25281	132005.5506	6126.8779	39	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	39	1
3_MACS_peak_6711_lociStitched	chr12	109008375	109036234	3	22537	132374.8244	6571.9381	40	SELPLG	TMEM119	SELPLG	40	1
1_MACS_peak_4736_lociStitched	chr11	65183101	65199286	1	16186	129996.3015	4832.841	41	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	41	1
1_MACS_peak_10093_lociStitched	chr16	66548823	66562236	1	13414	128268.519	3460.554	42	TK2	CKLF,CMTM1	TK2	42	1
5_MACS_peak_23662_lociStitched	chr6	138244144	138299666	5	48964	134740.7896	10005.0644	43			TNFAIP3	43	1
3_MACS_peak_1657_lociStitched	chr1	154907889	154936001	3	23385	133683.8048	9040.8192	44	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	44	1
7_MACS_peak_15351_lociStitched	chr2	204513797	204587796	7	54592	137201.5459	13305.0202	45	CD28		CD28	45	1
5_MACS_peak_23354_lociStitched	chr6	109186260	109232635	5	32578	132414.5375	8732.4125	46	ARMC2		ARMC2	46	1
1_MACS_peak_18957_lociStitched	chr3	171801747	171828813	1	27067	127670.322	8320.0884	47	FNDC3B		FNDC3B	47	1
1_MACS_peak_15126_lociStitched	chr2	182167403	182180980	1	13578	122603.0254	3739.1058	48			ITGA4	48	1
1_MACS_peak_22490_lociStitched	chr6	25401483	25415964	1	14482	122258.7387	3898.2852	49	LRRC16A		LRRC16A	49	1
2_MACS_peak_4347_lociStitched	chr11	19449641	19472344	2	19440	122246.5738	4778.9815	50	NAV2		FLJ13439	50	1
4_MACS_peak_24181_lociStitched	chr7	25979851	26012371	4	20827	123634.536	6224.328	51	MIR148A		MIR148A	51	1
3_MACS_peak_4004_lociStitched	chr10	125821669	125855029	3	32364	123765.6	7115.688	52	CHST15		CHST15	52	1
2_MACS_peak_17892_lociStitched	chr3	46244847	46265384	2	17754	120340.6589	4744.047	53	CCR1	CCR3	CCR1	53	1
3_MACS_peak_1443_lociStitched	chr1	145426791	145457959	3	23214	122780.1024	9447.0208	54	TXNIP,POLR3GL	HFE2,ANKRD34A,LIX1L,RBM8A	TXNIP	54	1
3_MACS_peak_11347_lociStitched	chr17	56404856	56430953	3	19148	119247.6318	5939.6772	55	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	55	1
2_MACS_peak_4363_lociStitched	chr11	22676317	22704716	2	24810	117631.4979	5228.2559	56	GAS2	FANCF	GAS2	56	1
4_MACS_peak_12454_lociStitched	chr19	2594343	2629039	4	22253	121047.4048	8774.6184	57	GNG7		GNG7	57	1
2_MACS_peak_25327_lociStitched	chr7	150052910	150084976	2	27371	120343.698	8866.249	58	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	REPIN1	58	1
2_MACS_peak_9744_lociStitched	chr16	23341874	23366300	2	21295	115339.572	4636.0548	59	SCNN1B		SCNN1B	59	1
4_MACS_peak_3882_lociStitched	chr10	112101331	112128981	4	16449	115701.425	5256.265	60		SMNDC1	SMNDC1	60	1
4_MACS_peak_14121_lociStitched	chr2	65156240	65178655	4	20673	115098.7835	5171.1405	61	LOC400958	SLC1A4	LOC400958	61	1
2_MACS_peak_1553_lociStitched	chr1	150532196	150553376	2	18183	116750.514	7273.212	62	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	62	1
2_MACS_peak_21335_lociStitched	chr5	88594049	88621288	2	25916	114855.9674	5695.6749	63			MEF2C	63	1
3_MACS_peak_3201_lociStitched	chr10	45913213	45935791	3	21198	113472.5124	4504.311	64	ALOX5		ALOX5	64	1
5_MACS_peak_17895_lociStitched	chr3	46317415	46365252	5	39769	117382.4306	8505.4186	65		CCR3,CCR2,CCR5	CCR2	65	1
1_MACS_peak_16732_lociStitched	chr21	41323397	41345752	1	22356	114587.259	7495.6315	66			PCP4	66	1
3_MACS_peak_2277_lociStitched	chr1	204474536	204501237	3	20349	114189.4966	7187.9092	67	MDM4	PIK3C2B	MDM4	67	1
4_MACS_peak_16345_lociStitched	chr20	52336307	52372852	4	27395	112850.96	6015.307	68			SUMO1P1	68	1
1_MACS_peak_5716_lociStitched	chr12	12865820	12881849	1	16030	110244.2562	3859.7832	69	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	69	1
3_MACS_peak_9612_lociStitched	chr16	12051755	12072379	3	17024	110686.9456	4405.2864	70	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	70	1
1_MACS_peak_4237_lociStitched	chr11	10323486	10345098	1	21613	111332.0568	5351.1312	71	ADM	SBF2	ADM	71	1
1_MACS_peak_20612_lociStitched	chr4	185200710	185211830	1	11121	108865.912	2964.592	72			ENPP6	72	1
2_MACS_peak_12430_lociStitched	chr19	2081476	2098468	2	15448	111482.8128	6061.0464	73	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	73	1
7_MACS_peak_13132_lociStitched	chr19	42022229	42070730	7	32785	114404.1588	9069.687	74		CEACAM21	CEACAM21	74	1
1_MACS_peak_16753_lociStitched	chr21	43478856	43487318	1	8463	108299.2146	3092.0148	75	UMODL1	C21orf121,UMODL1,ZNF295,C21orf128	UMODL1	75	1
2_MACS_peak_452_lociStitched	chr1	31213470	31236577	2	22874	109894.5813	5376.9989	76	LAPTM5	LOC100129196,MATN1	LAPTM5	76	1
1_MACS_peak_14622_lociStitched	chr2	112455236	112468656	1	13421	106957.4	3003.396	77			ANAPC1	77	1
7_MACS_peak_10147_lociStitched	chr16	68269565	68321032	7	37747	113340.6274	9475.0747	78	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	78	1
3_MACS_peak_19951_lociStitched	chr4	84130532	84164362	3	24124	109758.052	6617.148	79		COQ2	COQ2	79	1
2_MACS_peak_23183_lociStitched	chr6	88611485	88640577	2	28583	108888.4468	5949.314	80			SPACA1	80	1
2_MACS_peak_8564_lociStitched	chr15	40386097	40409338	2	18950	107498.9214	5133.9369	81	BMF	BUB1B	BMF	81	1
2_MACS_peak_2894_lociStitched	chr10	7510727	7537616	2	24717	107383.9104	5251.4217	82			SFMBT2	82	1
4_MACS_peak_16804_lociStitched	chr21	45552521	45581437	4	20090	108900.5476	6986.1056	83	C21orf33	PWP2	C21orf33	83	1
2_MACS_peak_23826_lociStitched	chr6	157975471	158007580	2	27559	103875.8259	3554.4663	84	ZDHHC14	MIR3692	MIR3692	84	1
3_MACS_peak_13623_lociStitched	chr2	20391273	20426627	3	24985	106040.7876	6445.0342	85	SDC1		SDC1	85	1
4_MACS_peak_17177_lociStitched	chr22	37609340	37642346	4	25394	104850.1602	7208.5104	86	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	86	1
1_MACS_peak_3892_lociStitched	chr10	112213896	112226764	1	12869	99177.5364	2689.412	87		DUSP5	DUSP5	87	1
1_MACS_peak_23301_lociStitched	chr6	106530283	106556567	1	26285	102920.2588	6836.4684	88	PRDM1		PRDM1	88	1
4_MACS_peak_6529_lociStitched	chr12	92929335	92964767	4	28363	102529.5784	6849.0056	89			CLLU1OS	89	1
1_MACS_peak_20619_lociStitched	chr4	185300409	185308961	1	8553	98061.508	2505.736	90	IRF2		IRF2	90	1
1_MACS_peak_12258_lociStitched	chr18	60821579	60832183	1	10605	98652.1932	3217.2536	91	BCL2		BCL2	91	1
1_MACS_peak_19638_lociStitched	chr4	40190537	40209962	1	19426	100547.685	5359.3575	92	RHOH		RHOH	92	1
3_MACS_peak_17258_lociStitched	chr22	39822828	39847376	3	20248	99812.168	4693.5776	93	TAB1	MGAT3	MGAT3	93	1
1_MACS_peak_14344_lociStitched	chr2	86218252	86230897	1	12646	97314.6555	2775.5775	94		LOC90784	LOC90784	94	1
5_MACS_peak_8462_lociStitched	chr15	31616454	31660697	5	37378	102157.087	7937.1942	95	KLF13		KLF13	95	1
5_MACS_peak_2294_lociStitched	chr1	205242255	205271173	5	19358	100758.9874	6648.2482	96	TMCC2	NUAK2	NUAK2	96	1
1_MACS_peak_5445_lociStitched	chr11	128585190	128610652	1	25463	99780.4856	5779.874	97	FLI1		FLI1	97	1
1_MACS_peak_6139_lociStitched	chr12	53585024	53605406	1	20383	98983.1448	5028.2394	98	ITGB7,RARG	ZNF740,MFSD5,CSAD	ITGB7	98	1
1_MACS_peak_19042_lociStitched	chr3	178228487	178241795	1	13309	97941.5568	4218.636	99		KCNMB2	KCNMB2	99	1
7_MACS_peak_2127_lociStitched	chr1	192475695	192521245	7	32099	104496.255	10918.335	100		RGS1	RGS1	100	1
4_MACS_peak_11977_lociStitched	chr18	23739164	23772097	4	22786	98858.2794	5401.012	101	PSMA8	TAF4B	PSMA8	101	1
2_MACS_peak_15311_lociStitched	chr2	201979844	201998136	2	16020	97168.9332	4722.9944	102	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	102	1
4_MACS_peak_6039_lociStitched	chr12	48195986	48220916	4	24273	97254.423	5055.804	103	HDAC7	SLC48A1,RAPGEF3	HDAC7	103	1
3_MACS_peak_11427_lociStitched	chr17	62149798	62187405	3	37018	99790.1745	7874.9058	104	ERN1	SNORD104,SNORA76	ERN1	104	1
2_MACS_peak_8529_lociStitched	chr15	38360569	38382087	2	19369	95576.5006	4290.6892	105			TMCO5A	105	1
3_MACS_peak_16341_lociStitched	chr20	52257542	52280650	3	18714	94969.2584	4251.872	106			ZNF217	106	1
1_MACS_peak_13857_lociStitched	chr2	42322841	42336943	1	14103	92447.0712	3106.6706	107		PKDCC	PKDCC	107	1
7_MACS_peak_22961_lociStitched	chr6	52392472	52443046	7	40346	99150.327	9872.0448	108	TRAM2		TRAM2	108	1
5_MACS_peak_27482_lociStitched	chr9	123630341	123668201	5	29379	95062.674	6614.142	109	PHF19,TRAF1	LOC253039,PSMD5	PHF19	109	1
4_MACS_peak_1795_lociStitched	chr1	160633638	160655593	4	15125	94979.5255	6922.4115	110	CD48	SLAMF1	SLAMF1	110	1
2_MACS_peak_8460_lociStitched	chr15	31546203	31562988	2	15559	91056.9465	3101.868	111			KLF13	111	1
4_MACS_peak_17559_lociStitched	chr3	13035383	13062117	4	19172	93296.3132	5528.5912	112	IQSEC1	IQSEC1	IQSEC1	112	1
