REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X10_0EWW_0229Kronos_MM1S.KB.24hr.2_H3K18Ac_hs.dm_i19.bam	X44_0EXW_0229Kronos_MM1S.KB.24hr.2_Input_hs_i90.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
8_MACS_peak_13795_lociStitched	chr2	37525621	37625069	8	82223	382039.4368	21540.4368	1	QPCT,PRKD3		QPCT	QPCT	4.8463	1	1
7_MACS_peak_23335_lociStitched	chr6	108878187	108959062	7	74809	155603.5	14088.425	2	FOXO3		FOXO3	FOXO3	1.3589	2	1
11_MACS_peak_9592_lociStitched	chr16	11754576	11843345	11	69657	252112.8369	17798.1845	3	SNN,TXNDC11	ZC3H7A	SNN	SNN	2.6841999999999997	3	1
8_MACS_peak_18688_lociStitched	chr3	141078676	141160679	8	67908	424611.534	19246.1041	4	ZBTB38	RASA2	ZBTB38	ZBTB38	3.013	4	1
5_MACS_peak_1354_lociStitched	chr1	118141760	118219457	5	67011	245219.5017	10193.8464	5	FAM46C		FAM46C	FAM46C	2.5314	5	1
8_MACS_peak_8167_lociStitched	chr14	91812950	91886136	8	61930	195201.6992	8775.0014	6	CCDC88C		CCDC88C	CCDC88C	1.3069	6	1
5_MACS_peak_2252_lociStitched	chr1	203236298	203308648	5	59832	464146.955	21676.06	7	BTG2,LOC730227	CHIT1,FMOD	LOC730227	LOC730227	7.7168	7	1
7_MACS_peak_15351_lociStitched	chr2	204513797	204587796	7	54592	137201.5459	13305.0202	8	CD28		CD28	CD28	1.9568	8	1
5_MACS_peak_16960_lociStitched	chr22	23188726	23249117	5	53796	243031.5013	9414.9569	9	IGLL5	MIR650	IGLL5	IGLL5	7.8832	9	1
7_MACS_peak_11212_lociStitched	chr17	46506224	46571645	7	52551	156199.1796	11069.2332	10	SKAP1	HOXB1	SKAP1	HOXB1	0.00040000000000001146	10	1
9_MACS_peak_16033_lociStitched	chr20	32398793	32474510	9	52084	198151.389	14499.8055	11	CHMP4B		CHMP4B	CHMP4B	1.7684	11	1
3_MACS_peak_14474_lociStitched	chr2	99054655	99108655	3	49835	216091.8	12506.4	12	INPP4A		INPP4A	INPP4A	1.4526999999999999	12	1
5_MACS_peak_23662_lociStitched	chr6	138244144	138299666	5	48964	134740.7896	10005.0644	13			TNFAIP3	TNFAIP3	1.612	13	1
