REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X10_0EWW_0229Kronos_MM1S.KB.24hr.2_H3K18Ac_hs.dm_i19.bam	X44_0EXW_0229Kronos_MM1S.KB.24hr.2_Input_hs_i90.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
8_MACS_peak_13795_lociStitched	chr2	37525621	37625069	8	82223	382039.4368	21540.4368	1	QPCT,PRKD3		QPCT	QPCT	4.8463	1	1
5_MACS_peak_2252_lociStitched	chr1	203236298	203308648	5	59832	464146.955	21676.06	2	BTG2,LOC730227	CHIT1,FMOD	LOC730227	LOC730227	7.7168	2	1
8_MACS_peak_18688_lociStitched	chr3	141078676	141160679	8	67908	424611.534	19246.1041	3	ZBTB38	RASA2	ZBTB38	ZBTB38	3.013	3	1
11_MACS_peak_9592_lociStitched	chr16	11754576	11843345	11	69657	252112.8369	17798.1845	4	SNN,TXNDC11	ZC3H7A	SNN	SNN	2.6841999999999997	4	1
5_MACS_peak_1354_lociStitched	chr1	118141760	118219457	5	67011	245219.5017	10193.8464	5	FAM46C		FAM46C	FAM46C	2.5314	5	1
7_MACS_peak_23335_lociStitched	chr6	108878187	108959062	7	74809	155603.5	14088.425	6	FOXO3		FOXO3	FOXO3	1.3589	6	1
8_MACS_peak_8167_lociStitched	chr14	91812950	91886136	8	61930	195201.6992	8775.0014	7	CCDC88C		CCDC88C	CCDC88C	1.3069	7	1
5_MACS_peak_16960_lociStitched	chr22	23188726	23249117	5	53796	243031.5013	9414.9569	8	IGLL5	MIR650	IGLL5	IGLL5	7.8832	8	1
1_MACS_peak_10877_lociStitched	chr17	32688272	32729903	1	41632	286200.6357	9633.4134	9	CCL1	CCL8,CCL13	CCL1	CCL1	3.7781	9	1
3_MACS_peak_14474_lociStitched	chr2	99054655	99108655	3	49835	216091.8	12506.4	10	INPP4A		INPP4A	INPP4A	1.4526999999999999	10	1
3_MACS_peak_10925_lociStitched	chr17	34596839	34645474	3	46419	237158.8505	12572.1475	11	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	TBC1D3C	0.008900000000000019	11	1
9_MACS_peak_16033_lociStitched	chr20	32398793	32474510	9	52084	198151.389	14499.8055	12	CHMP4B		CHMP4B	CHMP4B	1.7684	12	1
7_MACS_peak_15351_lociStitched	chr2	204513797	204587796	7	54592	137201.5459	13305.0202	13	CD28		CD28	CD28	1.9568	13	1
7_MACS_peak_11212_lociStitched	chr17	46506224	46571645	7	52551	156199.1796	11069.2332	14	SKAP1	HOXB1	SKAP1	HOXB1	0.00040000000000001146	14	1
1_MACS_peak_8327_lociStitched	chr14	106023124	106056535	1	33412	258530.9769	6057.4143	15		TMEM121	TMEM121	TMEM121	0.1033	15	1
7_MACS_peak_10661_lociStitched	chr17	16846732	16895754	7	42635	192509.394	9789.6934	16	TNFRSF13B		TNFRSF13B	TNFRSF13B	2.4821999999999997	16	1
5_MACS_peak_23662_lociStitched	chr6	138244144	138299666	5	48964	134740.7896	10005.0644	17			TNFAIP3	TNFAIP3	1.612	17	1
4_MACS_peak_18626_lociStitched	chr3	133177773	133227080	4	40233	186498.7968	9328.8844	18	BFSP2		BFSP2	BFSP2	1.9069000000000003	18	1
2_MACS_peak_10921_lociStitched	chr17	34508407	34544047	2	34911	216195.804	9886.536	19	CCL4L1,CCL3L1,CCL3L3	TBC1D3B,TBC1D3C	CCL3L1	CCL3L1	6.4912	19	1
4_MACS_peak_20020_lociStitched	chr4	90204439	90253354	4	35241	195787.179	10546.074	20	GPRIN3		GPRIN3	GPRIN3	2.3857	20	1
6_MACS_peak_21658_lociStitched	chr5	131789292	131842653	6	40179	151507.8873	11024.3826	21	C5orf56,IRF1	RAD50,IL5	IRF1	IRF1	1.0840999999999998	21	1
3_MACS_peak_15984_lociStitched	chr20	30271601	30312241	3	40109	148067.776	9339.072	22	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	2.1494999999999997	22	1
4_MACS_peak_22192_lociStitched	chr6	289904	338121	4	38432	163320.6224	16080.3695	23	DUSP22		DUSP22	DUSP22	2.1237	23	1
2_MACS_peak_16965_lociStitched	chr22	23262040	23286791	2	22267	221405.1203	5363.5417	24		IGLL5	IGLL5	IGLL5	7.8832	24	1
5_MACS_peak_14605_lociStitched	chr2	112186226	112242293	5	42404	95835.3231	9178.1679	25	LOC541471		LOC541471	LOC541471	0.7806	25	1
4_MACS_peak_8332_lociStitched	chr14	106143777	106175999	4	31218	179785.8712	3792.5294	26			TMEM121	TMEM121	0.1033	26	1
1_MACS_peak_22315_lociStitched	chr6	7887588	7921791	1	34204	164324.8932	8916.7221	27	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	2.9874	27	1
1_MACS_peak_26312_lociStitched	chr8	120915106	120951105	1	36000	149997.0333	7426.5937	28	DEPDC6	DSCC1	DEPDC6	DEPDC6	1.0571000000000002	28	1
5_MACS_peak_17895_lociStitched	chr3	46317415	46365252	5	39769	117382.4306	8505.4186	29		CCR3,CCR2,CCR5	CCR2	CCR2	2.303	29	1
4_MACS_peak_3906_lociStitched	chr10	112596716	112633415	4	28976	189271.4226	7886.6151	30	RBM20,PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	5.189299999999999	30	1
4_MACS_peak_19118_lociStitched	chr3	183220039	183261513	4	35643	148518.394	11554.6564	31	KLHL6		KLHL6	KLHL6	2.1848	31	1
7_MACS_peak_22961_lociStitched	chr6	52392472	52443046	7	40346	99150.327	9872.0448	32	TRAM2		TRAM2	TRAM2	1.3702	32	1
4_MACS_peak_12112_lociStitched	chr18	46439099	46483178	4	40750	90031.3575	8480.7996	33	SMAD7		SMAD7	SMAD7	1.9135	33	1
7_MACS_peak_10147_lociStitched	chr16	68269565	68321032	7	37747	113340.6274	9475.0747	34	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	SLC7A6	1.2136	34	1
5_MACS_peak_8462_lociStitched	chr15	31616454	31660697	5	37378	102157.087	7937.1942	35	KLF13		KLF13	KLF13	1.5601	35	1
3_MACS_peak_24459_lociStitched	chr7	55568606	55606328	3	30992	151238.8146	7008.7476	36	VOPP1		VOPP1	VOPP1	1.8200999999999998	36	1
3_MACS_peak_11427_lociStitched	chr17	62149798	62187405	3	37018	99790.1745	7874.9058	37	ERN1	SNORD104,SNORA76	ERN1	ERN1	1.3952	37	1
5_MACS_peak_23354_lociStitched	chr6	109186260	109232635	5	32578	132414.5375	8732.4125	38	ARMC2		ARMC2	ARMC2	1.0322	38	1
4_MACS_peak_2320_lociStitched	chr1	206271511	206311220	4	27929	161083.5294	11158.229	39	C1orf186	AVPR1B,CTSE	C1orf186	C1orf186	1.8389	39	1
6_MACS_peak_17901_lociStitched	chr3	46388477	46439610	6	35775	92734.8088	9101.674	40	CCR2,CCR5	CCRL2	CCR5	CCR5	0.9952000000000001	40	1
3_MACS_peak_4004_lociStitched	chr10	125821669	125855029	3	32364	123765.6	7115.688	41	CHST15		CHST15	CHST15	1.3171000000000002	41	1
3_MACS_peak_19797_lociStitched	chr4	71523614	71555458	3	30163	134480.3964	6798.694	42	UTP3,IGJ	ENAM,RUFY3	IGJ	IGJ	2.6574	42	1
7_MACS_peak_13132_lociStitched	chr19	42022229	42070730	7	32785	114404.1588	9069.687	43		CEACAM21	CEACAM21	CEACAM21	0.009999999999999995	43	1
4_MACS_peak_11870_lociStitched	chr18	9053773	9085567	4	27968	145594.2642	6520.9494	44		NDUFV2	NDUFV2	NDUFV2	2.1884	44	1
7_MACS_peak_2127_lociStitched	chr1	192475695	192521245	7	32099	104496.255	10918.335	45		RGS1	RGS1	RGS1	1.8725999999999998	45	1
3_MACS_peak_21655_lociStitched	chr5	131744670	131775215	3	26859	138176.4165	6756.554	46	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	3.2641	46	1
5_MACS_peak_3886_lociStitched	chr10	112146345	112186579	5	32776	86680.1296	6099.4744	47			DUSP5	DUSP5	1.4989000000000001	47	1
2_MACS_peak_11020_lociStitched	chr17	38459045	38484806	2	23625	151946.1063	5829.7143	48	CDC6,RARA	RARA,GJD3	RARA	RARA	2.5025	48	1
2_MACS_peak_16986_lociStitched	chr22	24176999	24201037	2	18113	167453.5156	4757.1202	49	SLC2A11,DERL3	SMARCB1,MIF	DERL3	DERL3	2.5442	49	1
1_MACS_peak_18957_lociStitched	chr3	171801747	171828813	1	27067	127670.322	8320.0884	50	FNDC3B		FNDC3B	FNDC3B	0.379	50	1
4_MACS_peak_25651_lociStitched	chr8	27208517	27253616	4	31471	85909.0851	9073.9188	51	PTK2B	TRIM35	PTK2B	PTK2B	0.7314	51	1
3_MACS_peak_24856_lociStitched	chr7	102063365	102093384	3	25281	132005.5506	6126.8779	52	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	2.2393	52	1
2_MACS_peak_23183_lociStitched	chr6	88611485	88640577	2	28583	108888.4468	5949.314	53			SPACA1	SPACA1	NONE	53	1
2_MACS_peak_25327_lociStitched	chr7	150052910	150084976	2	27371	120343.698	8866.249	54	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	REPIN1	REPIN1	4.446400000000001	54	1
1_MACS_peak_2911_lociStitched	chr10	11201828	11224736	1	22909	142274.7156	7090.026	55	CELF2		CELF2	CELF2	0.6128	55	1
1_MACS_peak_4914_lociStitched	chr11	72850745	72871854	1	21110	148085.9677	4772.7449	56	FCHSD2		FCHSD2	FCHSD2	0.0947	56	1
4_MACS_peak_16345_lociStitched	chr20	52336307	52372852	4	27395	112850.96	6015.307	57			SUMO1P1	SUMO1P1	2.6595	57	1
5_MACS_peak_27482_lociStitched	chr9	123630341	123668201	5	29379	95062.674	6614.142	58	PHF19,TRAF1	LOC253039,PSMD5	PHF19	PHF19	1.0462	58	1
4_MACS_peak_6529_lociStitched	chr12	92929335	92964767	4	28363	102529.5784	6849.0056	59			CLLU1OS	CLLU1OS	0.31429999999999997	59	1
2_MACS_peak_23826_lociStitched	chr6	157975471	158007580	2	27559	103875.8259	3554.4663	60	ZDHHC14	MIR3692	MIR3692	MIR3692	0.021900000000000003	60	1
2_MACS_peak_308_lociStitched	chr1	24511736	24534778	2	22154	137496.2224	4700.568	61	LOC284632,IL28RA	IL22RA1	LOC284632	LOC284632	2.3266	61	1
2_MACS_peak_8942_lociStitched	chr15	68568475	68599552	2	30402	74631.4155	6756.1398	62	FEM1B,ITGA11	CLN6	FEM1B	FEM1B	1.7666	62	1
3_MACS_peak_1657_lociStitched	chr1	154907889	154936001	3	23385	133683.8048	9040.8192	63	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	PBXIP1	3.547	63	1
2_MACS_peak_21335_lociStitched	chr5	88594049	88621288	2	25916	114855.9674	5695.6749	64			MEF2C	MEF2C	0.5811999999999999	64	1
3_MACS_peak_14382_lociStitched	chr2	87782386	87821835	3	30619	66372.9425	6619.5422	65	NCRNA00152		NCRNA00152	NCRNA00152	1.0675	65	1
6_MACS_peak_15246_lociStitched	chr2	197065073	197115396	6	30016	75887.084	8242.9074	66	HECW2	STK17B	STK17B	STK17B	0.8242	66	1
3_MACS_peak_6711_lociStitched	chr12	109008375	109036234	3	22537	132374.8244	6571.9381	67	SELPLG	TMEM119	SELPLG	SELPLG	5.356	67	1
2_MACS_peak_4363_lociStitched	chr11	22676317	22704716	2	24810	117631.4979	5228.2559	68	GAS2	FANCF	GAS2	GAS2	0.7083999999999999	68	1
9_MACS_peak_28036_lociStitched	chrX	37634647	37685574	9	30285	59548.9411	4140.3651	69	CYBB	DYNLT3	CYBB	CYBB	1.0592000000000001	69	1
1_MACS_peak_23301_lociStitched	chr6	106530283	106556567	1	26285	102920.2588	6836.4684	70	PRDM1		PRDM1	PRDM1	2.8695	70	1
3_MACS_peak_1443_lociStitched	chr1	145426791	145457959	3	23214	122780.1024	9447.0208	71	TXNIP,POLR3GL	HFE2,ANKRD34A,LIX1L,RBM8A	TXNIP	TXNIP	3.6841	71	1
5_MACS_peak_26070_lociStitched	chr8	81046239	81084510	5	28019	82278.8229	7730.742	72	TPD52		TPD52	TPD52	0.6552	72	1
4_MACS_peak_17177_lociStitched	chr22	37609340	37642346	4	25394	104850.1602	7208.5104	73	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	RAC2	1.9529	73	1
2_MACS_peak_2894_lociStitched	chr10	7510727	7537616	2	24717	107383.9104	5251.4217	74			SFMBT2	SFMBT2	NONE	74	1
3_MACS_peak_13623_lociStitched	chr2	20391273	20426627	3	24985	106040.7876	6445.0342	75	SDC1		SDC1	SDC1	2.8825	75	1
1_MACS_peak_5445_lociStitched	chr11	128585190	128610652	1	25463	99780.4856	5779.874	76	FLI1		FLI1	FLI1	0.9101	76	1
3_MACS_peak_19951_lociStitched	chr4	84130532	84164362	3	24124	109758.052	6617.148	77		COQ2	COQ2	COQ2	0.31779999999999997	77	1
4_MACS_peak_12454_lociStitched	chr19	2594343	2629039	4	22253	121047.4048	8774.6184	78	GNG7		GNG7	GNG7	0.63	78	1
4_MACS_peak_24181_lociStitched	chr7	25979851	26012371	4	20827	123634.536	6224.328	79	MIR148A		MIR148A	MIR148A	2.6481999999999997	79	1
1_MACS_peak_24462_lociStitched	chr7	55615820	55643863	1	28044	63144.4231	5524.471	80	VOPP1		VOPP1	VOPP1	1.8200999999999998	80	1
2_MACS_peak_452_lociStitched	chr1	31213470	31236577	2	22874	109894.5813	5376.9989	81	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	2.972	81	1
