REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	10_0EWW_0229Kronos_MM1S-KB-24hr-2_H3K18Ac_hs-dm_i19.bam	44_0EXW_0229Kronos_MM1S-KB-24hr-2_Input_hs_i90.bam
8_MACS_peak_13795_lociStitched	chr2	37525621	37625069	8	82223	382039.4368	21540.4368
11_MACS_peak_9592_lociStitched	chr16	11754576	11843345	11	69657	252112.8369	17798.1845
8_MACS_peak_18688_lociStitched	chr3	141078676	141160679	8	67908	424611.534	19246.1041
7_MACS_peak_23335_lociStitched	chr6	108878187	108959062	7	74809	155603.5	14088.425
5_MACS_peak_1354_lociStitched	chr1	118141760	118219457	5	67011	245219.5017	10193.8464
9_MACS_peak_16033_lociStitched	chr20	32398793	32474510	9	52084	198151.389	14499.8055
7_MACS_peak_15351_lociStitched	chr2	204513797	204587796	7	54592	137201.5459	13305.020199999999
8_MACS_peak_8167_lociStitched	chr14	91812950	91886136	8	61930	195201.69919999997	8775.001400000001
5_MACS_peak_2252_lociStitched	chr1	203236298	203308648	5	59832	464146.955	21676.059999999998
7_MACS_peak_11212_lociStitched	chr17	46506224	46571645	7	52551	156199.1796	11069.233199999999
5_MACS_peak_16960_lociStitched	chr22	23188726	23249117	5	53796	243031.5013	9414.956900000001
5_MACS_peak_14605_lociStitched	chr2	112186226	112242293	5	42404	95835.32310000001	9178.1679
5_MACS_peak_23662_lociStitched	chr6	138244144	138299666	5	48964	134740.78960000002	10005.0644
3_MACS_peak_14474_lociStitched	chr2	99054655	99108655	3	49835	216091.8	12506.4
6_MACS_peak_21658_lociStitched	chr5	131789292	131842653	6	40179	151507.8873	11024.3826
7_MACS_peak_10147_lociStitched	chr16	68269565	68321032	7	37747	113340.6274	9475.074700000001
6_MACS_peak_17901_lociStitched	chr3	46388477	46439610	6	35775	92734.8088	9101.673999999999
9_MACS_peak_28036_lociStitched	chrX	37634647	37685574	9	30285	59548.941100000004	4140.3651
7_MACS_peak_22961_lociStitched	chr6	52392472	52443046	7	40346	99150.32699999999	9872.044800000001
6_MACS_peak_15246_lociStitched	chr2	197065073	197115396	6	30016	75887.084	8242.9074
4_MACS_peak_18626_lociStitched	chr3	133177773	133227080	4	40233	186498.7968	9328.8844
7_MACS_peak_10661_lociStitched	chr17	16846732	16895754	7	42635	192509.394	9789.6934
4_MACS_peak_20020_lociStitched	chr4	90204439	90253354	4	35241	195787.179	10546.074
3_MACS_peak_10925_lociStitched	chr17	34596839	34645474	3	46419	237158.85049999997	12572.147500000001
7_MACS_peak_13132_lociStitched	chr19	42022229	42070730	7	32785	114404.1588	9069.687
4_MACS_peak_22192_lociStitched	chr6	289904	338121	4	38432	163320.6224	16080.3695
5_MACS_peak_17895_lociStitched	chr3	46317415	46365252	5	39769	117382.4306	8505.4186
5_MACS_peak_23354_lociStitched	chr6	109186260	109232635	5	32578	132414.5375	8732.4125
7_MACS_peak_2127_lociStitched	chr1	192475695	192521245	7	32099	104496.25499999999	10918.335
4_MACS_peak_25651_lociStitched	chr8	27208517	27253616	4	31471	85909.0851	9073.9188
5_MACS_peak_8462_lociStitched	chr15	31616454	31660697	5	37378	102157.08700000001	7937.1942
4_MACS_peak_12112_lociStitched	chr18	46439099	46483178	4	40750	90031.3575	8480.7996
1_MACS_peak_10877_lociStitched	chr17	32688272	32729903	1	41632	286200.6357	9633.4134
4_MACS_peak_19118_lociStitched	chr3	183220039	183261513	4	35643	148518.394	11554.6564
6_MACS_peak_8228_lociStitched	chr14	95945632	95986337	6	22030	39023.883499999996	3508.7709999999997
3_MACS_peak_15984_lociStitched	chr20	30271601	30312241	3	40109	148067.776	9339.072
5_MACS_peak_3886_lociStitched	chr10	112146345	112186579	5	32776	86680.1296	6099.4744
4_MACS_peak_2320_lociStitched	chr1	206271511	206311220	4	27929	161083.52940000003	11158.229000000001
3_MACS_peak_14382_lociStitched	chr2	87782386	87821835	3	30619	66372.9425	6619.5422
6_MACS_peak_10124_lociStitched	chr16	67562376	67601716	6	21931	63368.872	6101.633999999999
