GENE_ID	locusLine	bin_1_MM2_jia.bam
NM_173083	chr1(.):226413860-226502198	0.1516
NM_001006605	chr1(.):93302720-93432079	0.3263
NM_003820	chr1(.):2482804-2500267	0.2416
NR_027136	chr1(.):15433310-15483960	0.1366
NM_001113348	chr1(.):21538739-21677034	0.2254
NM_004091	chr1(.):23827921-23862713	0.3386
NM_006990	chr1(.):27727125-27821669	0.308
NM_002379	chr1(.):31179123-31201432	0.2418
NR_034182	chr1(.):31186618-31204593	0.3133
NM_001195100	chr1(.):32367021-32390259	0.1299
NM_080391	chr1(.):32367021-32408988	0.256
NM_181809	chr1(.):39952317-40000541	0.33
NM_001720	chr1(.):40218902-40259533	0.3388
NM_174964	chr1(.):44168217-44401831	0.1356
NM_002600	chr1(.):66253855-66845262	0.1716
NM_001037341	chr1(.):66253192-66845262	0.1715
NM_001037340	chr1(.):66453389-66845262	0.2021
NM_018841	chr1(.):68162148-68304155	0.1179
NM_003567	chr1(.):94022348-94152385	0.2039
NM_198459	chr1(.):115122195-115217732	0.1865
NM_006699	chr1(.):117905084-118073320	0.1863
NM_001002812	chr1(.):144885590-145000022	0.2906
NM_014644	chr1(.):144846426-145000022	0.256
NM_001198834	chr1(.):144846423-145000033	0.256
NM_001198832	chr1(.):144846423-145044992	0.2598
NM_207168	chr1(.):150594521-150607098	0.4074
NM_181359	chr1(.):154372668-154445188	0.2735
NM_005572	chr1(.):156079460-156112657	0.1293
NM_005973	chr1(.):156732273-156775609	0.1369
NM_052862	chr1(.):167594473-167680486	0.2256
NM_144977	chr1(.):197516384-197749623	0.1544
NM_001195215	chr1(.):197468878-197749623	0.1468
NM_182663	chr1(.):206675878-206767616	0.2707
NM_004481	chr1(.):230197955-230422875	0.2384
NM_001010926	chr1(.):2455183-2466684	0.318
NR_026927	chr1(.):2476358-2489284	0.833
NM_018216	chr1(.):2434974-2463035	0.1577
NM_001195741	chr1(.):2513188-2527908	0.3214
NR_036638	chr1(.):2512898-2527908	0.3188
NM_001136216	chr1(.):15474027-15551974	0.303
NM_001136218	chr1(.):15475228-15551974	0.3065
NM_001397	chr1(.):21538739-21621982	0.2428
NM_001113347	chr1(.):21538739-21611183	0.1165
NM_001113349	chr1(.):21538739-21621766	0.2387
NM_017707	chr1(.):23750055-23815750	0.0576
NM_002167	chr1(.):23879408-23891322	0.4206
NM_015484	chr1(.):25543766-25564013	0.2653
NM_001127691	chr1(.):25593980-25661936	0.0705
NM_020317	chr1(.):25563739-25578985	0.4257
NR_026685	chr1(.):26432655-26457026	0.4922
NM_152835	chr1(.):26433267-26457026	0.5026
NM_032588	chr1(.):26372797-26399121	0.0489
NR_023345	chr1(.):26498981-26521375	0.0739
NM_024869	chr1(.):26480510-26494119	0.0543
NM_015871	chr1(.):26491387-26502364	0.1663
NM_006314	chr1(.):26498980-26521375	0.0739
NM_017837	chr1(.):27109485-27129887	0.3322
NM_006015	chr1(.):27017521-27113601	0.3494
NM_018066	chr1(.):27200872-27221869	0.1906
NM_032283	chr1(.):27148200-27187211	0.6066
NM_006142	chr1(.):27184632-27195947	0.2766
NM_005281	chr1(.):27714151-27727317	0.1335
NM_207397	chr1(.):27700595-27714805	0.0491
NR_002997	chr1(.):28155911-28166077	0.2119
NM_001039477	chr1(.):28194054-28218193	0.6533
NM_014474	chr1(.):28256503-28290663	0.1031
NM_002946	chr1(.):28213048-28246236	0.2985
NM_006762	chr1(.):31200314-31235683	0.5855
NM_022756	chr1(.):37953175-37985364	0.153
NM_025079	chr1(.):37935118-37954978	0.5936
NR_003929	chr1(.):39982951-40030370	0.2075
NM_001195007	chr1(.):40199516-40234586	0.1187
NM_022120	chr1(.):40230196-40242020	0.4936
NM_000310	chr1(.):40533381-40568142	0.1218
NM_006367	chr1(.):40501254-40543321	0.3368
NM_001198979	chr1(.):40854016-40893998	0.3725
NM_001198978	chr1(.):40835304-40893998	0.5269
NM_001198980	chr1(.):40857471-40893998	0.3382
NM_022733	chr1(.):40834377-40893998	0.5198
NM_023070	chr1(.):40911336-40934390	0.06
NM_006516	chr1(.):43386045-43429847	0.4434
NR_033967	chr1(.):43419719-43454029	0.1653
NM_006004	chr1(.):46764379-46787447	0.3413
NM_006369	chr1(.):46739071-46774038	0.2405
NM_199044	chr1(.):46801389-46835690	0.2578
NM_015696	chr1(.):53063042-53079723	0.3787
NM_001042693	chr1(.):53094065-53127737	0.4065
NM_001037339	chr1(.):66792792-66845262	0.5286
NM_001924	chr1(.):68145882-68159019	0.2199
NM_004974	chr1(.):111140775-111153345	0.0698
NM_002232	chr1(.):111209309-111222655	0.5071
NM_007158	chr1(.):115254536-115305624	0.3412
NM_002524	chr1(.):115242077-115264515	0.4216
NM_001172626	chr1(.):115210719-115243239	0.295
NM_001007553	chr1(.):115254537-115305624	0.3412
NM_001130523	chr1(.):115254537-115305671	0.341
NM_017709	chr1(.):118143603-118176011	0.7148
NM_001002811	chr1(.):144885590-144937032	0.3028
NM_001161334	chr1(.):149749244-149788928	0.1321
NM_001034077	chr1(.):149799220-149809616	0.3193
NM_001005464	chr1(.):149807258-149817765	0.5649
NM_001040874	chr1(.):149808784-149819318	0.5824
NM_001123375	chr1(.):149779779-149790236	0.2401
NM_016074	chr1(.):149866154-149877348	0.1202
NM_003528	chr1(.):149851009-149863232	0.5351
NM_003517	chr1(.):149853524-149863961	0.6087
NM_175065	chr1(.):149854018-149864466	0.6032
NR_036461	chr1(.):149816758-149827340	0.5608
NM_001040874	chr1(.):149817627-149828161	0.5461
NM_001005464	chr1(.):149819180-149829687	0.5254
NM_001034077	chr1(.):149827329-149837725	0.3031
NM_019032	chr1(.):150516897-150538412	0.4083
NM_207046	chr1(.):150589598-150606609	0.3699
NR_036211	chr1(.):150519404-150529490	0.1557
NM_001197320	chr1(.):150542026-150557214	0.5979
NM_006912	chr1(.):155862600-155886177	0.1181
NM_001162384	chr1(.):155911629-155953336	0.423
NM_181885	chr1(.):155906479-155917625	0.3045
NM_004723	chr1(.):155911629-155952966	0.4223
NM_014949	chr1(.):155877835-155909188	0.1762
NR_002974	chr1(.):155884699-155894833	0.1001
NR_003005	chr1(.):155890748-155900877	0.1054
NM_003145	chr1(.):155973838-155995758	0.1844
NM_014655	chr1(.):156158729-156187587	0.3379
NM_007221	chr1(.):156177783-156214833	0.3296
NM_022367	chr1(.):156118321-156152542	0.3249
NM_001193302	chr1(.):156118368-156152542	0.3243
NM_001193301	chr1(.):156114734-156152542	0.3265
NM_005920	chr1(.):156428518-156475529	0.599
NM_004494	chr1(.):156706898-156726543	0.4496
NM_001126051	chr1(.):156706898-156727024	0.4408
NM_001126050	chr1(.):156706898-156727240	0.437
NM_030980	chr1(.):156687412-156702705	0.3378
NM_001878	chr1(.):156664407-156680375	0.0569
NM_001142560	chr1(.):156693262-156711752	0.4062
NM_145729	chr1(.):156702093-156715923	0.3035
NM_031281	chr1(.):157478166-157527310	0.2739
NM_004833	chr1(.):159027274-159051647	0.4103
NM_001778	chr1(.):160643535-160686585	0.2361
NM_021181	chr1(.):160704076-160729601	0.4438
NM_001033667	chr1(.):160760927-160777483	0.2898
NM_001146191	chr1(.):167686186-167766156	0.1763
NM_001195216	chr1(.):197698138-197749623	0.2753
NR_034150	chr1(.):203262885-203279453	0.762
NM_003465	chr1(.):203180206-203203860	0.0619
NM_006763	chr1(.):203269663-203283729	0.7303
NM_002023	chr1(.):203304751-203325289	0.1238
NM_002646	chr1(.):204386757-204464474	0.1095
NM_002393	chr1(.):204480510-204532248	0.2643
NM_018203	chr1(.):205300647-205331039	0.211
NM_030952	chr1(.):205266190-205295883	0.4052
NM_001007544	chr1(.):206233871-206293647	0.3034
NM_148964	chr1(.):206312458-206337104	0.0639
NM_006893	chr1(.):206759973-206790904	0.166
NM_182665	chr1(.):206725491-206767616	0.4417
NM_018566	chr1(.):207212193-207229422	0.3412
NM_023938	chr1(.):207186865-207211101	0.0677
NM_006212	chr1(.):207221619-207256162	0.3489
NM_000715	chr1(.):207272606-207323317	0.0613
NM_001018053	chr1(.):207221619-207259368	0.3264
NM_001017367	chr1(.):207257627-207278337	0.0638
NM_000716	chr1(.):207257583-207278337	0.0638
NM_001017366	chr1(.):207257211-207278337	0.0644
NR_026817	chr1(.):207986723-208000941	0.8417
NR_029832	chr1(.):207970196-207980284	0.2156
NR_029518	chr1(.):207970787-207980868	0.2287
NM_001618	chr1(.):226543391-226600801	0.2982
NM_182972	chr1(.):234735014-234750271	1.1275
NR_033927	chr1(.):234760056-234775526	0.07
NM_030797	chr2(.):16725729-16852134	0.2957
NM_020458	chr2(.):47163312-47308275	0.2127
NR_033872	chr2(.):70184394-70319147	0.2641
NR_015395	chr2(.):112119590-112257692	0.1961
NR_024373	chr2(.):112181885-112257692	0.2807
NM_014900	chr2(.):165536257-165702928	0.1908
NM_015488	chr2(.):219130114-219216516	0.2008
NM_001012514	chr2(.):231724620-231748963	0.4649
NM_012293	chr2(.):1630658-1753291	0.2743
NM_145693	chr2(.):11881739-11972533	0.2845
