GENE	H3k27me3_21_DMSO_compare_TSS_SIGNAL	H3k27me3_21_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
TMEM200B	13794.9585	2654.0582	-11140.9003	0.161350568754666	-2.37786920400339
KIF26B	7485.2	1445.814	-6039.386	0.161886880929758	-2.37215889926246
CADM3	5737.4564	1987.7464	-3749.71	0.257306694912915	-1.5292775780579
LOC641518	4768.4178	2533.4792	-2234.9386	0.346961782670996	-0.912390663319479
MT1G	15759.168	13559.0148	-2200.1532	0.462478008698411	-0.216939014353411
SSTR2	4473	2392.15	-2080.85	0.34844832232362	-0.902934901636273
PTRF	5022.3672	2996.3344	-2026.0328	0.373668275671962	-0.745168870211596
C17orf102	4772.1059	2762.6298	-2009.4761	0.366652515761104	-0.788583808904113
CCDC48	4970.8	3274.0235	-1696.7765	0.397100495844453	-0.602413380553604
WHAMML1	5462	4429.8499	-1032.1501	0.447828257078587	-0.302171498436751
MAP6	5960	5296.294	-663.706	0.470518449500342	-0.170329121576795
SORBS3	18515	18113.9876	-401.012399999996	0.494526023973428	-0.031590374426321
HELT	6546	6300.5032	-245.496800000001	0.4904449951797	-0.0551465459679564
CRABP1	8965.8	9367.5222	401.722200000002	0.51095606665332	0.0632351740219741
EGR4	3596.7076	4277.4392	680.7316	0.543225737168121	0.250070470152895
SFRP5	10212	10950.8758	738.875800000002	0.517456885514586	0.100780811607186
TNFRSF10C	4451.4	5287.4294	836.0294	0.542922478958303	0.248307348602291
NCRNA00114	14810.822	15797.5023	986.6803	0.516117842491626	0.0930447634917328
GH2	4404.834	5535.2143	1130.3803	0.556859899765276	0.32955152216278
LOC440461	4855.8	6093.1311	1237.3311	0.556504652769255	0.327474780461887
HAND1	3164.6592	4425.1482	1260.489	0.583038273145113	0.483675627274856
LOC441617	4244.7542	5578.2821	1333.5279	0.567877581802278	0.394139880533105
KCNJ9	3190.307	4662.6332	1472.3262	0.593743627386848	0.547449680469407
FAM138E	3124.2483	4647.5957	1523.3474	0.598004244552515	0.572975456011493
PLXND1	3408.7572	4993.0046	1584.2474	0.594280666228838	0.550662393393653
D4S234E	3016.4862	4720.4025	1703.9163	0.610116376625658	0.646040898520105
NCKAP1	9448.2	11156.1608	1707.9608	0.5414465854238	0.239729224784877
