GENE	H3k27me3_21_DMSO_compare_TSS_SIGNAL	H3k27me3_21_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
TMEM200B	13794.9585	2654.0582	-11140.9003	0.161350568754666	-2.37786920400339
KIF26B	7485.2	1445.814	-6039.386	0.161886880929758	-2.37215889926246
CHST3	5192.5994	455.1024	-4737.497	0.0805818749141465	-3.51219382876256
LMO2	5182.9935	533.3463	-4649.6472	0.0933020636736815	-3.28064110494943
CADM3	5737.4564	1987.7464	-3749.71	0.257306694912915	-1.5292775780579
TGIF1	3666.0364	141.6144	-3524.422	0.0371920660371482	-4.69418123261439
ACSL6	4964	1679.4402	-3284.5598	0.252796766350061	-1.56352268917207
NFATC2	3138.562	0	-3138.562	0	-8
PLAU	3368.212	263.6224	-3104.5896	0.0725865694757448	-3.67543808002672
PDE4DIP	3260.5091	597.5856	-2662.9235	0.154891376823902	-2.44787995718156
BATF3	2629.9273	60.1542	-2569.7731	0.0223614786392159	-5.45021363822466
C21orf63	2697.8	443.4803	-2254.3197	0.141178200493601	-2.60484147422363
NDRG4	3296.6416	1057.6824	-2238.9592	0.242903927222687	-1.64009056928538
LOC641518	4768.4178	2533.4792	-2234.9386	0.346961782670996	-0.912390663319479
GRIN2A	2286.9473	55.9566	-2230.9907	0.0238834379848017	-5.35297100567352
PRDM14	2274.9376	70.8624	-2204.0752	0.0302082018927445	-5.00466283534374
MT1G	15759.168	13559.0148	-2200.1532	0.462478008698411	-0.216939014353411
SPHK1	2732.3166	560.2587	-2172.0579	0.170158204126721	-2.28595960983657
DLX5	2317.0434	209.2071	-2107.8363	0.0828132839558072	-3.4692813480144
SSTR2	4473	2392.15	-2080.85	0.34844832232362	-0.902934901636273
MATN3	2450.7894	386.0538	-2064.7356	0.136085702586593	-2.66637269770017
PTRF	5022.3672	2996.3344	-2026.0328	0.373668275671962	-0.745168870211596
C17orf102	4772.1059	2762.6298	-2009.4761	0.366652515761104	-0.788583808904113
KIAA1614	2216.0864	207.959	-2008.1274	0.085790059872641	-3.41364310171243
GSX2	2233.0669	250.3872	-1982.6797	0.100822157333208	-3.15679375570816
LRRN2	1907.776	0	-1907.776	0	-8
CITED1	2087.1996	187.85	-1899.3496	0.0825696283720583	-3.47391555169136
