GENE	H3k27me3_21_DMSO_compare_TSS_SIGNAL	H3k27me3_21_DMSO_compare_DISTAL_SIGNAL
A4GALT	2255.3053	4634.0784
AAAS	0.0	1371.1604
AADACL3	0.0	979.9322999999999
AADACL4	0.0	667.2064
AANAT	0.0	81347.393
AARS2	0.0	34168.6808
AATF	0.0	54238.4856
AATK	9841.662799999998	358517.2081
ABCA17P	570.1187	129047.6752
ABCA2	3846.4388000000004	273336.4533999999
ABCA3	757.6312	129047.6752
ABCA4	0.0	1471.8098
ABCA7	0.0	22424.7091
ABCB6	0.0	32410.2571
ABCB8	0.0	60204.20260000001
ABCC1	0.0	0.0
ABCC10	0.0	811.92
ABCC3	12940.800000000001	315290.86350000015
ABCC8	385.9155	270.757
ABCD1	0.0	104245.13970000004
ABCD4	0.0	1865.0510000000002
ABCF1	0.0	16997.008599999997
ABCF2	0.0	177821.765
ABCF3	0.0	31484.1975
ABCG1	2392.9791	143219.14969999998
ABCG4	3473.3607	12543.3184
ABHD11	0.0	29967.728300000002
ABHD14A	0.0	10404.2406
ABHD14B	0.0	10404.2406
ABHD15	0.0	1296.5557000000001
ABHD8	0.0	57800.43700000001
ABI3	7429.017000000001	40259.1042
ABL1	0.0	301810.0658
ABLIM2	926.2959999999999	119415.17669999998
ABO	4481.5455999999995	247613.77650000007
ABP1	0.0	0.0
ABR	11157.8708	459176.11099999974
ABTB2	869.9515	936.9483
ACAD8	0.0	1683.3719
ACADVL	0.0	200309.33359999993
ACAN	1505.7772	1056.3589
ACAP1	0.0	145845.8705
ACAP3	0.0	120144.09940000002
ACBD3	0.0	0.0
ACBD4	0.0	4272.8583
ACCN2	2353.9346	39030.8309
ACCN3	623.3480999999999	60204.20260000001
ACCN4	10378.8	341670.75820000004
ACE	28467.765	133768.69530000002
ACER1	4154.8	55487.55289999999
ACHE	4131.0914	111324.0629
ACIN1	0.0	753.0844999999999
ACLY	0.0	2448.5456
ACN9	0.0	209.20710000000003
ACOT11	0.0	561.75
ACOT7	0.0	244221.09709999998
ACOX1	0.0	27827.6004
ACOX3	0.0	48293.62269999999
ACP1	0.0	1435.2905999999998
ACP2	0.0	23434.191099999996
ACP5	0.0	12994.4976
ACPT	0.0	46994.3554
ACR	0.0	57763.36440000001
ACRBP	0.0	59683.46549999999
ACSBG1	2010.8492999999999	2484.2889
ACSBG2	0.0	93640.72
ACSF3	0.0	68255.9004
ACSL3	0.0	2709.8013
ACSL6	4964.0	1679.4402
ACTA2	0.0	848.8610000000001
ACTB	0.0	136547.87310000006
ACTG1	0.0	848007.6998000005
ACTL6B	3463.482	282932.50250000006
ACTL8	0.0	213030.1374
ACTL9	0.0	182321.97789999997
ACTN3	1703.2212	75763.12349999999
ACTN4	0.0	6211.3907
ACTR1A	0.0	108658.5231
ACTR3C	0.0	0.0
ACTR5	0.0	59801.64809999999
ACTRT2	7032.599999999999	524784.1926000001
ACVR1B	810.0476000000001	49219.06709999999
ACVRL1	0.0	98296.52339999999
ACY1	0.0	10404.2406
ACY3	0.0	33980.5864
ADA	0.0	62486.93569999999
ADAD2	0.0	1615.7068000000002
ADAM11	4091.2018	10246.262900000002
ADAM15	0.0	98677.85809999998
ADAM21P1	0.0	375.1418
ADAM33	6830.2392	43883.29129999999
ADAM8	0.0	272431.8149
ADAMTS10	0.0	69938.07460000002
ADAMTS13	2734.9872	315378.1173000001
ADAMTS15	0.0	6596.9363
ADAMTS4	0.0	0.0
ADAMTS7	2112.4656	45687.985199999996
ADAMTS8	4699.7073	6596.9363
ADAMTSL2	21996.466999999997	529231.4493999997
ADAMTSL4	2307.3225	2010.5477
ADAMTSL5	3924.5688	235591.85880000002
ADAP1	0.0	102596.00500000003
