GENE_ID	locusLine	bin_1_40_0EXS_0229Kronos_MM1S-KB-3hr-2_Input_hs_i84.bam
1_MACS_peak_1_lociStitched	chr1(.):28244-30296	0.2823
1_MACS_peak_2_lociStitched	chr1(.):441743-442812	0.1431
1_MACS_peak_3_lociStitched	chr1(.):540278-541380	0.1344
1_MACS_peak_4_lociStitched	chr1(.):713240-715327	0.2009
1_MACS_peak_5_lociStitched	chr1(.):761731-763892	0.1618
1_MACS_peak_6_lociStitched	chr1(.):793207-794518	0.1452
1_MACS_peak_7_lociStitched	chr1(.):879168-880593	0.1204
3_MACS_peak_8_lociStitched	chr1(.):894059-902867	0.0819
1_MACS_peak_11_lociStitched	chr1(.):947932-949750	0.1624
1_MACS_peak_12_lociStitched	chr1(.):997864-1000492	0.1351
1_MACS_peak_13_lociStitched	chr1(.):1051035-1052177	0.1424
2_MACS_peak_14_lociStitched	chr1(.):1071137-1080423	0.067
1_MACS_peak_16_lociStitched	chr1(.):1092778-1094099	0.1641
1_MACS_peak_17_lociStitched	chr1(.):1166092-1167809	0.1621
1_MACS_peak_18_lociStitched	chr1(.):1185216-1186065	0.1738
1_MACS_peak_19_lociStitched	chr1(.):1207965-1210298	0.1028
1_MACS_peak_20_lociStitched	chr1(.):1242514-1245000	0.0976
1_MACS_peak_21_lociStitched	chr1(.):1259466-1261383	0.0998
2_MACS_peak_22_lociStitched	chr1(.):1283533-1285788	0.0691
1_MACS_peak_24_lociStitched	chr1(.):1309725-1311819	0.2267
2_MACS_peak_25_lociStitched	chr1(.):1333711-1343683	0.1439
2_MACS_peak_27_lociStitched	chr1(.):1396681-1408394	0.1189
2_MACS_peak_29_lociStitched	chr1(.):1439747-1448732	0.1728
1_MACS_peak_31_lociStitched	chr1(.):1509032-1511222	0.1388
2_MACS_peak_32_lociStitched	chr1(.):1545061-1552421	0.1411
1_MACS_peak_34_lociStitched	chr1(.):1589632-1591668	0.2019
2_MACS_peak_35_lociStitched	chr1(.):1605965-1610946	0.1569
1_MACS_peak_37_lociStitched	chr1(.):1622633-1625736	0.2157
1_MACS_peak_38_lociStitched	chr1(.):1654967-1656900	0.2406
2_MACS_peak_39_lociStitched	chr1(.):1668724-1678874	0.1763
1_MACS_peak_41_lociStitched	chr1(.):1708700-1715038	0.1796
1_MACS_peak_42_lociStitched	chr1(.):1754803-1756333	0.1251
1_MACS_peak_43_lociStitched	chr1(.):1772472-1775177	0.1896
2_MACS_peak_44_lociStitched	chr1(.):1821006-1829788	0.1146
1_MACS_peak_46_lociStitched	chr1(.):1837384-1841436	0.126
2_MACS_peak_47_lociStitched	chr1(.):2120478-2127396	0.0997
1_MACS_peak_49_lociStitched	chr1(.):2158331-2159435	0.0795
1_MACS_peak_50_lociStitched	chr1(.):2186492-2188071	0.1715
1_MACS_peak_51_lociStitched	chr1(.):2221232-2223306	0.1479
1_MACS_peak_52_lociStitched	chr1(.):2230944-2233801	0.1723
1_MACS_peak_53_lociStitched	chr1(.):2321986-2324211	0.1392
2_MACS_peak_54_lociStitched	chr1(.):2343043-2347982	0.1469
1_MACS_peak_56_lociStitched	chr1(.):2456641-2458805	0.1654
2_MACS_peak_57_lociStitched	chr1(.):2476869-2489203	0.1422
2_MACS_peak_59_lociStitched	chr1(.):2508641-2518578	0.1162
1_MACS_peak_61_lociStitched	chr1(.):2573530-2575168	0.1194
1_MACS_peak_62_lociStitched	chr1(.):3086988-3088255	0.0786
2_MACS_peak_63_lociStitched	chr1(.):3540355-3547893	0.1256
2_MACS_peak_65_lociStitched	chr1(.):3565628-3570294	0.1158
1_MACS_peak_67_lociStitched	chr1(.):3688296-3689115	0.1296
1_MACS_peak_68_lociStitched	chr1(.):3711896-3713766	0.1256
1_MACS_peak_69_lociStitched	chr1(.):3773413-3774953	0.1389
1_MACS_peak_70_lociStitched	chr1(.):3815914-3818350	0.1898
1_MACS_peak_71_lociStitched	chr1(.):3838101-3839785	0.1801
1_MACS_peak_72_lociStitched	chr1(.):4439062-4440595	0.1637
1_MACS_peak_73_lociStitched	chr1(.):4997600-4998721	0.0524
1_MACS_peak_74_lociStitched	chr1(.):6051133-6055497	0.1507
1_MACS_peak_75_lociStitched	chr1(.):6083950-6087366	0.2041
2_MACS_peak_76_lociStitched	chr1(.):6258521-6267016	0.1299
1_MACS_peak_78_lociStitched	chr1(.):6294521-6296853	0.1099
1_MACS_peak_79_lociStitched	chr1(.):6418993-6420720	0.099
1_MACS_peak_80_lociStitched	chr1(.):6452443-6454987	0.1384
1_MACS_peak_81_lociStitched	chr1(.):6474175-6475724	0.243
1_MACS_peak_82_lociStitched	chr1(.):6531884-6533084	0.1549
1_MACS_peak_83_lociStitched	chr1(.):6549802-6551859	0.1818
1_MACS_peak_84_lociStitched	chr1(.):6613582-6615535	0.1331
1_MACS_peak_85_lociStitched	chr1(.):6639656-6641034	0.2435
1_MACS_peak_86_lociStitched	chr1(.):6660109-6664795	0.1872
1_MACS_peak_87_lociStitched	chr1(.):6672420-6674811	0.1244
1_MACS_peak_88_lociStitched	chr1(.):6684536-6686622	0.1934
1_MACS_peak_89_lociStitched	chr1(.):6760916-6762680	0.1342
1_MACS_peak_90_lociStitched	chr1(.):6843563-6845389	0.1155
1_MACS_peak_91_lociStitched	chr1(.):6892118-6893668	0.1792
1_MACS_peak_92_lociStitched	chr1(.):6977737-6980236	0.1426
1_MACS_peak_93_lociStitched	chr1(.):7830549-7832263	0.17
2_MACS_peak_94_lociStitched	chr1(.):8013614-8022696	0.13
1_MACS_peak_96_lociStitched	chr1(.):8085895-8086757	0.0964
1_MACS_peak_97_lociStitched	chr1(.):8455019-8456305	0.113
3_MACS_peak_98_lociStitched	chr1(.):8650152-8665469	0.1472
1_MACS_peak_101_lociStitched	chr1(.):8740419-8741742	0.1157
2_MACS_peak_102_lociStitched	chr1(.):8760485-8773685	0.1414
1_MACS_peak_104_lociStitched	chr1(.):8875821-8878906	0.1595
1_MACS_peak_105_lociStitched	chr1(.):8889037-8890526	0.2009
1_MACS_peak_106_lociStitched	chr1(.):8936807-8940132	0.2067
1_MACS_peak_107_lociStitched	chr1(.):9139496-9141705	0.125
1_MACS_peak_108_lociStitched	chr1(.):9170761-9172281	0.2164
1_MACS_peak_109_lociStitched	chr1(.):9221885-9226216	0.1403
1_MACS_peak_110_lociStitched	chr1(.):9240903-9243396	0.1142
1_MACS_peak_111_lociStitched	chr1(.):9294394-9295739	0.0781
1_MACS_peak_112_lociStitched	chr1(.):9335081-9336531	0.1518
2_MACS_peak_113_lociStitched	chr1(.):9485714-9489828	0.159
1_MACS_peak_115_lociStitched	chr1(.):9599490-9600341	0.1095
1_MACS_peak_116_lociStitched	chr1(.):9615018-9616054	0.1224
1_MACS_peak_117_lociStitched	chr1(.):9648011-9650336	0.1276
1_MACS_peak_118_lociStitched	chr1(.):9748777-9749766	0.0588
1_MACS_peak_119_lociStitched	chr1(.):9776737-9778937	0.2187
1_MACS_peak_120_lociStitched	chr1(.):9846442-9848766	0.1738
1_MACS_peak_121_lociStitched	chr1(.):9882533-9884486	0.1048
2_MACS_peak_122_lociStitched	chr1(.):9969078-9971690	0.178
2_MACS_peak_124_lociStitched	chr1(.):10002179-10011536	0.1365
1_MACS_peak_126_lociStitched	chr1(.):10020620-10021887	0.1857
1_MACS_peak_127_lociStitched	chr1(.):10049978-10051866	0.1444
1_MACS_peak_128_lociStitched	chr1(.):10078334-10079878	0.1576
1_MACS_peak_129_lociStitched	chr1(.):10092096-10094279	0.2109
1_MACS_peak_130_lociStitched	chr1(.):10228311-10232038	0.1993
1_MACS_peak_131_lociStitched	chr1(.):10249123-10250995	0.1414
1_MACS_peak_132_lociStitched	chr1(.):10259942-10261973	0.1908
1_MACS_peak_133_lociStitched	chr1(.):10269553-10271879	0.1519
1_MACS_peak_134_lociStitched	chr1(.):10310483-10314862	0.1712
1_MACS_peak_135_lociStitched	chr1(.):10447516-10448593	0.1124
1_MACS_peak_136_lociStitched	chr1(.):10458288-10460304	0.1907
1_MACS_peak_137_lociStitched	chr1(.):10489763-10491985	0.1709
1_MACS_peak_138_lociStitched	chr1(.):10504134-10505850	0.1917
1_MACS_peak_139_lociStitched	chr1(.):10516149-10518183	0.1342
2_MACS_peak_140_lociStitched	chr1(.):10531720-10536069	0.2155
1_MACS_peak_142_lociStitched	chr1(.):10999352-11001269	0.1757
1_MACS_peak_143_lociStitched	chr1(.):11071437-11073933	0.173
1_MACS_peak_144_lociStitched	chr1(.):11118715-11121582	0.1765
1_MACS_peak_145_lociStitched	chr1(.):11158886-11160613	0.1551
1_MACS_peak_146_lociStitched	chr1(.):11321722-11323111	0.1739
1_MACS_peak_147_lociStitched	chr1(.):11332780-11334464	0.1736
1_MACS_peak_148_lociStitched	chr1(.):11538425-11539756	0.141
2_MACS_peak_149_lociStitched	chr1(.):11623200-11631907	0.1483
1_MACS_peak_151_lociStitched	chr1(.):11714014-11715197	0.0894
1_MACS_peak_152_lociStitched	chr1(.):11724068-11725267	0.1394
1_MACS_peak_153_lociStitched	chr1(.):11740347-11742346	0.1407
1_MACS_peak_154_lociStitched	chr1(.):11795663-11798127	0.205
1_MACS_peak_155_lociStitched	chr1(.):11843033-11845692	0.1498
