REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS.12.BM.jin.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
1_MACS_peak_8584_lociStitched	chr14	106024765	106057944	1	33180	665341.8049	1	1		TMEM121	TMEM121	TMEM121	1.2826	1	1
2_MACS_peak_23292_lociStitched	chr6	290113	334389	2	44268	333637.3704	2	1	DUSP22		DUSP22	DUSP22	5.4081	2	1
3_MACS_peak_25359_lociStitched	chr7	44660675	44681790	3	21081	197706.0795	3	1	OGDH	DDX56,TMED4	OGDH	OGDH	2.2097	3	1
9_MACS_peak_10358_lociStitched	chr16	34711835	34749348	9	36365	189920.8164	4	1	LOC146481,LOC100130700		LOC100130700	LOC100130700	5.3676	4	1
5_MACS_peak_23382_lociStitched	chr6	7900113	7922455	5	21459	164021.5588	5	1	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	2.7812	5	1
2_MACS_peak_4693_lociStitched	chr11	65183445	65198344	2	14693	156817.9346	6	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	10.5464	6	1
11_MACS_peak_7015_lociStitched	chr12	127518408	127552717	11	32328	146605.7879	7	1			LOC440117	LOC440117	NONE	7	1
5_MACS_peak_8585_lociStitched	chr14	106145334	106155217	5	9389	139257.3998	8	1			TMEM121	TMEM121	1.2826	8	1
2_MACS_peak_27212_lociStitched	chr8	126610654	126625277	2	14391	135767.2435	9	1			TRIB1	TRIB1	3.6001	9	1
1_MACS_peak_4657_lociStitched	chr11	64614575	64634685	1	20111	129663.247	10	1	EHD1	MAP4K2,MEN1,CDC42BPG,MIR192,MIR194-2	CDC42BPG	MIR192	0.8129	10	1
4_MACS_peak_18669_lociStitched	chr22	23266830	23287875	4	20969	120476.3115	11	1		IGLL5	IGLL5	IGLL5	0.4302	11	1
3_MACS_peak_25460_lociStitched	chr7	55593828	55607663	3	13167	114599.4555	12	1	VOPP1		VOPP1	VOPP1	2.3366	12	1
4_MACS_peak_1483_lociStitched	chr1	118193495	118210891	4	16937	112945.2696	13	1		FAM46C	FAM46C	FAM46C	1.8321	13	1
4_MACS_peak_18705_lociStitched	chr22	24178999	24194940	4	15549	107670.2963	14	1	DERL3	SMARCB1,SLC2A11,MIF	DERL3	DERL3	2.8326	14	1
1_MACS_peak_8592_lociStitched	chr14	106161533	106168269	1	6737	105981.5296	15	1			TMEM121	TMEM121	1.2826	15	1
4_MACS_peak_15514_lociStitched	chr2	43443770	43459057	4	15066	102017.7945	16	1	LOC100129726,ZFP36L2,THADA		ZFP36L2	ZFP36L2	7.0772	16	1
3_MACS_peak_28352_lociStitched	chr9	130665285	130681730	3	16079	99962.577	17	1	ST6GALNAC4	ENG,AK1,ST6GALNAC6,PIP5KL1,DPM2,FAM102A	ST6GALNAC4	ST6GALNAC4	5.287	17	1
5_MACS_peak_27214_lociStitched	chr8	126646355	126663400	5	16534	96193.4575	18	1			TRIB1	TRIB1	3.6001	18	1
8_MACS_peak_8217_lociStitched	chr14	81391981	81411079	8	18317	90627.6492	19	1	C14orf145	TSHR	C14orf145	TSHR	0.4173	19	1
9_MACS_peak_14191_lociStitched	chr19	28911156	28938244	9	26120	89617.9392	20	1			LOC148145	LOC148145	NONE	20	1
4_MACS_peak_4955_lociStitched	chr11	72851491	72869444	4	17759	86687.8558	21	1	FCHSD2		FCHSD2	FCHSD2	0.204	21	1
4_MACS_peak_24171_lociStitched	chr6	52397792	52419960	4	21907	85561.8296	22	1	TRAM2		TRAM2	TRAM2	1.8181	22	1
5_MACS_peak_4007_lociStitched	chr10	134352000	134374166	5	20875	83379.6256	23	1	INPP5A		INPP5A	INPP5A	0.4652	23	1
4_MACS_peak_15504_lociStitched	chr2	43394793	43409023	4	14102	82277.86	24	1		LOC100129726,ZFP36L2	ZFP36L2	ZFP36L2	7.0772	24	1
3_MACS_peak_20968_lociStitched	chr3	193812555	193823915	3	11346	79648.368	25	1		HES1	HES1	HES1	3.7365	25	1
2_MACS_peak_5476_lociStitched	chr11	128585757	128607418	2	21647	79532.6937	26	1	FLI1		FLI1	FLI1	0.8711	26	1
2_MACS_peak_7567_lociStitched	chr13	114905293	114918090	2	12686	78484.001	27	1		RASA3	RASA3	RASA3	0.5985	27	1
2_MACS_peak_26383_lociStitched	chr7	154873362	154887420	2	13756	77513.0004	28	1	HTR5A		HTR5A	HTR5A	2.4726	28	1
5_MACS_peak_26332_lociStitched	chr7	150123534	150135652	5	11814	75979.86	29	1	LOC285972	ZNF775,LOC728743,GIMAP8	LOC285972	LOC728743	3.1185	29	1
8_MACS_peak_15418_lociStitched	chr2	33700412	33724819	8	22414	74643.9281	30	1	RASGRP3	RASGRP3	RASGRP3	RASGRP3	0.6155	30	1
6_MACS_peak_5714_lociStitched	chr12	11900835	11920644	6	18749	72831.7503	31	1	ETV6		ETV6	ETV6	0.7467	31	1
3_MACS_peak_5765_lociStitched	chr12	12866017	12880217	3	13875	72065	32	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	4.828	32	1
1_MACS_peak_15500_lociStitched	chr2	43353970	43364796	1	10827	71547.9514	33	1			ZFP36L2	ZFP36L2	7.0772	33	1
5_MACS_peak_19091_lociStitched	chr22	39456613	39474687	5	17463	70481.3704	34	1	APOBEC3G	APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3H	APOBEC3G	APOBEC3G	2.8208	34	1
