#KMS-12-BM Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/KMS-12-BM.H3K27ac_ROSE/KMS-12-BM_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by KMS.12.BM.jin.bam
#Using cutoff of 25841.2518 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS.12.BM.jin.bam	enhancerRank	isSuperStretch
1_MACS_peak_8584_lociStitched	chr14	106024765	106057944	1	33180	665341.8049	1	1
2_MACS_peak_23292_lociStitched	chr6	290113	334389	2	44268	333637.3704	2	1
9_MACS_peak_10358_lociStitched	chr16	34711835	34749348	9	36365	189920.8164	3	1
11_MACS_peak_7015_lociStitched	chr12	127518408	127552717	11	32328	146605.7879	4	1
9_MACS_peak_14191_lociStitched	chr19	28911156	28938244	9	26120	89617.9392	5	1
3_MACS_peak_25359_lociStitched	chr7	44660675	44681790	3	21081	197706.0795	6	1
5_MACS_peak_23382_lociStitched	chr6	7900113	7922455	5	21459	164021.5588	7	1
8_MACS_peak_15418_lociStitched	chr2	33700412	33724819	8	22414	74643.9281	8	1
4_MACS_peak_24171_lociStitched	chr6	52397792	52419960	4	21907	85561.8296	9	1
4_MACS_peak_18669_lociStitched	chr22	23266830	23287875	4	20969	120476.3115	10	1
2_MACS_peak_5476_lociStitched	chr11	128585757	128607418	2	21647	79532.6937	11	1
1_MACS_peak_4657_lociStitched	chr11	64614575	64634685	1	20111	129663.247	12	1
5_MACS_peak_4007_lociStitched	chr10	134352000	134374166	5	20875	83379.6256	13	1
6_MACS_peak_5714_lociStitched	chr12	11900835	11920644	6	18749	72831.7503	14	1
8_MACS_peak_8217_lociStitched	chr14	81391981	81411079	8	18317	90627.6492	15	1
6_MACS_peak_7004_lociStitched	chr12	127478145	127496994	6	18471	64252.4712	16	1
10_MACS_peak_3971_lociStitched	chr10	134218287	134237961	10	18635	50908.4424	17	1
4_MACS_peak_4955_lociStitched	chr11	72851491	72869444	4	17759	86687.8558	18	1
4_MACS_peak_1483_lociStitched	chr1	118193495	118210891	4	16937	112945.2696	19	1
5_MACS_peak_19091_lociStitched	chr22	39456613	39474687	5	17463	70481.3704	20	1
2_MACS_peak_4693_lociStitched	chr11	65183445	65198344	2	14693	156817.9346	21	1
6_MACS_peak_28478_lociStitched	chr9	134136712	134154776	6	17440	49450.2	22	1
5_MACS_peak_27214_lociStitched	chr8	126646355	126663400	5	16534	96193.4575	23	1
5_MACS_peak_15986_lociStitched	chr2	87808940	87826590	5	17120	62060.93	24	1
7_MACS_peak_25463_lociStitched	chr7	55612926	55630704	7	17041	54462.903	25	1
3_MACS_peak_28352_lociStitched	chr9	130665285	130681730	3	16079	99962.577	26	1
4_MACS_peak_18705_lociStitched	chr22	24178999	24194940	4	15549	107670.2963	27	1
2_MACS_peak_27212_lociStitched	chr8	126610654	126625277	2	14391	135767.2435	28	1
6_MACS_peak_15724_lociStitched	chr2	65157852	65175204	6	16322	55521.1944	29	1
4_MACS_peak_15514_lociStitched	chr2	43443770	43459057	4	15066	102017.7945	30	1
3_MACS_peak_27228_lociStitched	chr8	128568047	128583806	3	15625	68669.8425	31	1
5_MACS_peak_16169_lociStitched	chr2	112184914	112201605	5	15774	51645.2922	32	1
7_MACS_peak_17916_lociStitched	chr20	52195495	52211914	7	15740	47941.8381	33	1
3_MACS_peak_3756_lociStitched	chr10	112618522	112633645	3	14817	60334.7208	34	1
3_MACS_peak_25460_lociStitched	chr7	55593828	55607663	3	13167	114599.4555	35	1
3_MACS_peak_5848_lociStitched	chr12	26265719	26280534	3	14576	63394.8665	36	1
9_MACS_peak_276_lociStitched	chr1	13813235	13829457	9	14915	38835.468	37	1
4_MACS_peak_15504_lociStitched	chr2	43394793	43409023	4	14102	82277.86	38	1
7_MACS_peak_28986_lociStitched	chrX	48790098	48805507	7	14428	53926.8773	39	1
2_MACS_peak_26383_lociStitched	chr7	154873362	154887420	2	13756	77513.0004	40	1
3_MACS_peak_5765_lociStitched	chr12	12866017	12880217	3	13875	72065	41	1
2_MACS_peak_3928_lociStitched	chr10	133870426	133884586	2	14135	47502.552	42	1
3_MACS_peak_23282_lociStitched	chr6	217156	231057	3	13718	68216.3773	43	1
4_MACS_peak_19121_lociStitched	chr22	39831381	39845802	4	13904	53999.4345	44	1
4_MACS_peak_17540_lociStitched	chr20	32461403	32474882	4	13253	59690.4036	45	1
7_MACS_peak_23596_lociStitched	chr6	26354247	26368144	7	13302	54690.2538	46	1
3_MACS_peak_16731_lociStitched	chr2	201979555	201992854	3	13099	63815.2515	47	1
4_MACS_peak_19098_lociStitched	chr22	39482691	39496653	4	13345	50278.5582	48	1
2_MACS_peak_7567_lociStitched	chr13	114905293	114918090	2	12686	78484.001	49	1
