REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS.12.BM.jin.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
1_MACS_peak_8584_lociStitched	chr14	106024765	106057944	1	33180	665341.8049	1	1		TMEM121	TMEM121	TMEM121	1.2826	1	1
2_MACS_peak_23292_lociStitched	chr6	290113	334389	2	44268	333637.3704	2	1	DUSP22		DUSP22	DUSP22	5.4081	2	1
9_MACS_peak_10358_lociStitched	chr16	34711835	34749348	9	36365	189920.8164	3	1	LOC146481,LOC100130700		LOC100130700	LOC100130700	5.3676	3	1
11_MACS_peak_7015_lociStitched	chr12	127518408	127552717	11	32328	146605.7879	4	1			LOC440117	LOC440117	NONE	4	1
9_MACS_peak_14191_lociStitched	chr19	28911156	28938244	9	26120	89617.9392	5	1			LOC148145	LOC148145	NONE	5	1
3_MACS_peak_25359_lociStitched	chr7	44660675	44681790	3	21081	197706.0795	6	1	OGDH	DDX56,TMED4	OGDH	OGDH	2.2097	6	1
5_MACS_peak_23382_lociStitched	chr6	7900113	7922455	5	21459	164021.5588	7	1	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	2.7812	7	1
8_MACS_peak_15418_lociStitched	chr2	33700412	33724819	8	22414	74643.9281	8	1	RASGRP3	RASGRP3	RASGRP3	RASGRP3	0.6155	8	1
4_MACS_peak_24171_lociStitched	chr6	52397792	52419960	4	21907	85561.8296	9	1	TRAM2		TRAM2	TRAM2	1.8181	9	1
4_MACS_peak_18669_lociStitched	chr22	23266830	23287875	4	20969	120476.3115	10	1		IGLL5	IGLL5	IGLL5	0.4302	10	1
2_MACS_peak_5476_lociStitched	chr11	128585757	128607418	2	21647	79532.6937	11	1	FLI1		FLI1	FLI1	0.8711	11	1
1_MACS_peak_4657_lociStitched	chr11	64614575	64634685	1	20111	129663.247	12	1	EHD1	MAP4K2,MEN1,CDC42BPG,MIR192,MIR194-2	CDC42BPG	MIR192	0.8129	12	1
5_MACS_peak_4007_lociStitched	chr10	134352000	134374166	5	20875	83379.6256	13	1	INPP5A		INPP5A	INPP5A	0.4652	13	1
6_MACS_peak_5714_lociStitched	chr12	11900835	11920644	6	18749	72831.7503	14	1	ETV6		ETV6	ETV6	0.7467	14	1
8_MACS_peak_8217_lociStitched	chr14	81391981	81411079	8	18317	90627.6492	15	1	C14orf145	TSHR	C14orf145	TSHR	0.4173	15	1
6_MACS_peak_7004_lociStitched	chr12	127478145	127496994	6	18471	64252.4712	16	1			LOC440117	LOC440117	NONE	16	1
10_MACS_peak_3971_lociStitched	chr10	134218287	134237961	10	18635	50908.4424	17	1	PWWP2B	C10orf91	PWWP2B	C10orf91	2.0916	17	1
4_MACS_peak_4955_lociStitched	chr11	72851491	72869444	4	17759	86687.8558	18	1	FCHSD2		FCHSD2	FCHSD2	0.204	18	1
4_MACS_peak_1483_lociStitched	chr1	118193495	118210891	4	16937	112945.2696	19	1		FAM46C	FAM46C	FAM46C	1.8321	19	1
5_MACS_peak_19091_lociStitched	chr22	39456613	39474687	5	17463	70481.3704	20	1	APOBEC3G	APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3H	APOBEC3G	APOBEC3G	2.8208	20	1
2_MACS_peak_4693_lociStitched	chr11	65183445	65198344	2	14693	156817.9346	21	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	10.5464	21	1
6_MACS_peak_28478_lociStitched	chr9	134136712	134154776	6	17440	49450.2	22	1	FAM78A	PPAPDC3	FAM78A	FAM78A	2.5622	22	1
5_MACS_peak_27214_lociStitched	chr8	126646355	126663400	5	16534	96193.4575	23	1			TRIB1	TRIB1	3.6001	23	1
5_MACS_peak_15986_lociStitched	chr2	87808940	87826590	5	17120	62060.93	24	1	NCRNA00152		NCRNA00152	NCRNA00152	1.6089	24	1
7_MACS_peak_25463_lociStitched	chr7	55612926	55630704	7	17041	54462.903	25	1	VOPP1		VOPP1	VOPP1	2.3366	25	1
3_MACS_peak_28352_lociStitched	chr9	130665285	130681730	3	16079	99962.577	26	1	ST6GALNAC4	ENG,AK1,ST6GALNAC6,PIP5KL1,DPM2,FAM102A	ST6GALNAC4	ST6GALNAC4	5.287	26	1
4_MACS_peak_18705_lociStitched	chr22	24178999	24194940	4	15549	107670.2963	27	1	DERL3	SMARCB1,SLC2A11,MIF	DERL3	DERL3	2.8326	27	1
2_MACS_peak_27212_lociStitched	chr8	126610654	126625277	2	14391	135767.2435	28	1			TRIB1	TRIB1	3.6001	28	1
6_MACS_peak_15724_lociStitched	chr2	65157852	65175204	6	16322	55521.1944	29	1	LOC400958	SLC1A4	LOC400958	LOC400958	0.9308	29	1
4_MACS_peak_15514_lociStitched	chr2	43443770	43459057	4	15066	102017.7945	30	1	LOC100129726,ZFP36L2,THADA		ZFP36L2	ZFP36L2	7.0772	30	1
3_MACS_peak_27228_lociStitched	chr8	128568047	128583806	3	15625	68669.8425	31	1			LOC727677	LOC727677	NONE	31	1
5_MACS_peak_16169_lociStitched	chr2	112184914	112201605	5	15774	51645.2922	32	1	LOC541471		LOC541471	LOC541471	0.7865	32	1
7_MACS_peak_17916_lociStitched	chr20	52195495	52211914	7	15740	47941.8381	33	1	ZNF217		ZNF217	ZNF217	1.0385	33	1
3_MACS_peak_3756_lociStitched	chr10	112618522	112633645	3	14817	60334.7208	34	1	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	3.9268	34	1
