#KMS-12-BM Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/KMS-12-BM.H3K27ac_ROSE/KMS-12-BM_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by KMS.12.BM.jin.bam
#Using cutoff of 25841.2518 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS.12.BM.jin.bam	enhancerRank	isStretch
2_MACS_peak_23292_lociStitched	chr6	290113	334389	2	44268	333637.3704	1	1
9_MACS_peak_10358_lociStitched	chr16	34711835	34749348	9	36365	189920.8164	2	1
1_MACS_peak_8584_lociStitched	chr14	106024765	106057944	1	33180	665341.8049	3	1
11_MACS_peak_7015_lociStitched	chr12	127518408	127552717	11	32328	146605.7879	4	1
9_MACS_peak_14191_lociStitched	chr19	28911156	28938244	9	26120	89617.9392	5	1
8_MACS_peak_15418_lociStitched	chr2	33700412	33724819	8	22414	74643.9281	6	1
4_MACS_peak_24171_lociStitched	chr6	52397792	52419960	4	21907	85561.8296	7	1
2_MACS_peak_5476_lociStitched	chr11	128585757	128607418	2	21647	79532.6937	8	1
5_MACS_peak_23382_lociStitched	chr6	7900113	7922455	5	21459	164021.5588	9	1
3_MACS_peak_25359_lociStitched	chr7	44660675	44681790	3	21081	197706.0795	10	1
4_MACS_peak_18669_lociStitched	chr22	23266830	23287875	4	20969	120476.3115	11	1
5_MACS_peak_4007_lociStitched	chr10	134352000	134374166	5	20875	83379.6256	12	1
1_MACS_peak_4657_lociStitched	chr11	64614575	64634685	1	20111	129663.247	13	1
6_MACS_peak_5714_lociStitched	chr12	11900835	11920644	6	18749	72831.7503	14	1
10_MACS_peak_3971_lociStitched	chr10	134218287	134237961	10	18635	50908.4424	15	1
6_MACS_peak_7004_lociStitched	chr12	127478145	127496994	6	18471	64252.4712	16	1
8_MACS_peak_8217_lociStitched	chr14	81391981	81411079	8	18317	90627.6492	17	1
4_MACS_peak_4955_lociStitched	chr11	72851491	72869444	4	17759	86687.8558	18	1
