GENE_ID	locusLine	bin_1_35_0EXN_0229Kronos_MM1S-No-Treatment-1_Input_hs_i77.bam
NM_030806	chr1(.):184351149-184603155	0.1831
NM_032236	chr1(.):21999791-22114688	0.1164
NM_012090	chr1(.):39542117-39957789	0.119
NM_002867	chr1(.):52368627-52461436	0.1354
NM_001006605	chr1(.):93302720-93432079	0.0719
NM_001010935	chr1(.):112157404-112261101	0.0606
NM_024408	chr1(.):120449175-120617276	0.1575
NM_201569	chr1(.):183436505-183528328	0.1853
NM_001013693	chr1(.):22133757-22156714	0.1041
NM_004091	chr1(.):23827921-23862713	0.1576
NM_020448	chr1(.):24737244-24804473	0.1242
NM_173065	chr1(.):24475646-24518751	0.1478
NM_020379	chr1(.):25938958-26116258	0.1191
NM_001048199	chr1(.):28827454-28870708	0.1411
NR_002909	chr1(.):28827454-28842404	0.1709
NM_002379	chr1(.):31179123-31201432	0.131
NR_034182	chr1(.):31186618-31204593	0.1317
NM_153341	chr1(.):33397049-33435286	0.1184
NM_001127714	chr1(.):41970683-42389496	0.1308
NM_174964	chr1(.):44168217-44401831	0.1212
NM_006845	chr1(.):45200489-45238438	0.1151
NM_148906	chr1(.):52077545-52259891	0.1236
NM_001981	chr1(.):51814934-51989995	0.1087
NM_002600	chr1(.):66253855-66845262	0.1094
NM_001037341	chr1(.):66253192-66845262	0.1094
NM_001037340	chr1(.):66453389-66845262	0.1165
NM_018841	chr1(.):68162148-68304155	0.1145
NM_001081976	chr1(.):112020969-112111597	0.061
NM_198459	chr1(.):115122195-115217732	0.0545
NR_034178	chr1(.):143910747-144099477	0.2087
NM_203458	chr1(.):145204110-145290912	0.3955
NM_004892	chr1(.):145091406-145121922	0.366
NM_153713	chr1(.):145472084-145504091	0.1987
NM_207168	chr1(.):150594521-150607098	0.2373
NM_020699	chr1(.):153772202-153900451	0.1776
NM_020524	chr1(.):154911558-154933567	0.3066
NM_181359	chr1(.):154372668-154445188	0.2211
NM_002249	chr1(.):154674914-154847754	0.208
NM_170782	chr1(.):154674914-154837338	0.2058
NM_005572	chr1(.):156079460-156112657	0.1871
NM_170708	chr1(.):156079460-156114878	0.1867
NM_005973	chr1(.):156732273-156775609	0.1902
NM_001135050	chr1(.):159891828-159920386	0.1981
NM_007348	chr1(.):161731083-161933852	0.172
NM_014412	chr1(.):174963891-174986163	0.222
NM_014857	chr1(.):174123633-174932327	0.1457
NM_001035230	chr1(.):174839683-174932327	0.1521
NM_001007214	chr1(.):174963570-174986163	0.2218
NM_015149	chr1(.):183600207-183902666	0.1834
NM_025191	chr1(.):184654624-184729041	0.2003
NM_014875	chr1(.):200515624-200594862	0.1587
NM_014827	chr1(.):203759750-203828256	0.1702
NM_001199050	chr1(.):205345505-205396214	0.1582
NM_015375	chr1(.):205106630-205185727	0.1648
NM_182663	chr1(.):206675878-206767616	0.2122
NM_001193338	chr1(.):207071630-207100235	0.242
NM_005449	chr1(.):207071630-207100378	0.2413
NM_172362	chr1(.):210846656-211312457	0.1405
NM_001143962	chr1(.):223709971-223858436	0.0876
NM_002221	chr1(.):226814390-226931876	0.2035
NM_004481	chr1(.):230197955-230422875	0.1831
NM_014675	chr1(.):17243444-17304474	0.1267
NM_001032730	chr1(.):22049338-22114688	0.1211
NM_017707	chr1(.):23750055-23815750	0.1031
NM_002167	chr1(.):23879408-23891322	0.1725
NR_027042	chr1(.):23948823-23972056	0.1423
NM_021258	chr1(.):24441260-24474611	0.1041
NR_027087	chr1(.):24521729-24543180	0.159
NM_001199013	chr1(.):24678488-24745262	0.1351
NM_001199012	chr1(.):24678488-24746587	0.136
NM_017837	chr1(.):27109485-27129887	0.1647
NM_006015	chr1(.):27017521-27113601	0.1515
NM_018066	chr1(.):27200872-27221869	0.1292
NM_032283	chr1(.):27148200-27187211	0.1318
NM_006142	chr1(.):27184632-27195947	0.1487
NM_014280	chr1(.):28521789-28564542	0.1252
NM_016311	chr1(.):28557610-28569611	0.169
NM_001164721	chr1(.):28468676-28525447	0.1244
NM_001164722	chr1(.):28468676-28525437	0.1244
NM_031459	chr1(.):28581005-28614002	0.1239
NR_003109	chr1(.):28874528-28910057	0.142
NM_001269	chr1(.):28839744-28870708	0.125
NM_006762	chr1(.):31200314-31235683	0.196
NM_001625	chr1(.):33471825-33507512	0.1318
NM_005202	chr1(.):36555843-36570850	0.1155
NM_018067	chr1(.):36616802-36651441	0.1353
NM_014408	chr1(.):36597172-36620067	0.1403
NM_022756	chr1(.):37953175-37985364	0.102
NM_025079	chr1(.):37935118-37954978	0.1562
NM_001038633	chr1(.):38071950-38105491	0.1214
NM_017850	chr1(.):38142241-38161192	0.1661
NM_018101	chr1(.):38153158-38180391	0.1179
NR_002983	chr1(.):40028045-40038182	0.1987
NR_003929	chr1(.):39982951-40030370	0.1225
NM_014571	chr1(.):40084102-40110348	0.1194
NM_001135653	chr1(.):40021484-40047521	0.1655
NM_001198979	chr1(.):40854016-40893998	0.1371
NM_001198978	chr1(.):40835304-40893998	0.1487
NM_001198980	chr1(.):40857471-40893998	0.1289
NM_022733	chr1(.):40834377-40893998	0.1476
NM_001145636	chr1(.):45135393-45196263	0.1341
NM_024587	chr1(.):45114500-45145099	0.1331
NR_001456	chr1(.):45238513-45248584	0.1558
NR_001457	chr1(.):45239061-45249130	0.1558
NM_153274	chr1(.):45244256-45258426	0.1384
NM_001012	chr1(.):45236245-45249412	0.1409
NR_000024	chr1(.):45237163-45247261	0.1458
NR_000015	chr1(.):45236536-45246610	0.1437
NM_006004	chr1(.):46764379-46787447	0.1299
NM_006369	chr1(.):46739071-46774038	0.1407
NM_199044	chr1(.):46801389-46835690	0.1209
NM_001037339	chr1(.):66792792-66845262	0.1414
NM_001001933	chr1(.):75589118-75632218	0.1236
NM_006769	chr1(.):87789150-87819607	0.1277
NR_034126	chr1(.):112136628-112155940	0.0823
NM_007158	chr1(.):115254536-115305624	0.0705
NM_002524	chr1(.):115242077-115264515	0.0823
NM_001172626	chr1(.):115210719-115243239	0.0692
NM_001130523	chr1(.):115254537-115305671	0.0705
NM_017709	chr1(.):118143603-118176011	0.1465
NM_207418	chr1(.):143891451-143918143	0.1952
NM_032305	chr1(.):145451235-145475387	0.2382
NM_202004	chr1(.):145408190-145422545	0.1676
NM_006472	chr1(.):145433461-145447628	0.2598
NM_001039888	chr1(.):145465507-145480647	0.2272
NM_005105	chr1(.):145502637-145516444	0.2567
NM_001161334	chr1(.):149749244-149788928	0.1528
NM_001034077	chr1(.):149799220-149809616	0.2432
NM_001005464	chr1(.):149807258-149817765	0.2501
NM_001040874	chr1(.):149808784-149819318	0.2664
NM_001123375	chr1(.):149779779-149790236	0.2108
NM_000566	chr1(.):149749249-149769074	0.1351
NM_005850	chr1(.):149890210-149904702	0.2307
NM_016074	chr1(.):149866154-149877348	0.172
NM_003528	chr1(.):149851009-149863232	0.3016
NM_003517	chr1(.):149853524-149863961	0.3259
NM_175065	chr1(.):149854018-149864466	0.3211
NM_014849	chr1(.):149869871-149894434	0.1831
NM_181873	chr1(.):149895542-149913266	0.2252
NM_001145862	chr1(.):149895542-149913791	0.2257
NR_036461	chr1(.):149816758-149827340	0.287
NM_001040874	chr1(.):149817627-149828161	0.2862
NM_001005464	chr1(.):149819180-149829687	0.2759
NM_001034077	chr1(.):149827329-149837725	0.2331
NM_016274	chr1(.):150117169-150136825	0.2489
NM_019032	chr1(.):150516897-150538412	0.2241
NM_207046	chr1(.):150589598-150606609	0.2359
NR_036211	chr1(.):150519404-150529490	0.1372
NM_001197320	chr1(.):150542026-150557214	0.25
NM_053055	chr1(.):151841059-151887113	0.1807
NM_005620	chr1(.):151999981-152014511	0.2641
NM_002966	chr1(.):151950385-151971714	0.1919
NM_001008536	chr1(.):152051619-152066540	0.1558
NM_023015	chr1(.):153695566-153751555	0.1838
NM_024330	chr1(.):153742767-153757633	0.1954
NM_006556	chr1(.):154892207-154914484	0.2197
NM_001130041	chr1(.):154929773-154951959	0.2655
NM_001130040	chr1(.):154929773-154948223	0.2618
NM_201398	chr1(.):154950769-154970587	0.2209
NM_015872	chr1(.):154970111-154995999	0.2188
NM_207196	chr1(.):155018761-155040252	0.2276
NM_001184892	chr1(.):154950769-154966488	0.2269
NM_018655	chr1(.):154961061-154971791	0.2292
NM_001143687	chr1(.):155001281-155028406	0.2009
NR_024163	chr1(.):154942117-154956725	0.2941
NM_144622	chr1(.):154986002-155011257	0.1925
NM_138300	chr1(.):154924501-154939258	0.2916
NR_036212	chr1(.):154943168-154953259	0.3175
NM_006912	chr1(.):155862600-155886177	0.1709
NM_001162384	chr1(.):155911629-155953336	0.2336
NM_181885	chr1(.):155906479-155917625	0.2825
NM_004723	chr1(.):155911629-155952966	0.2343
NM_014949	chr1(.):155877835-155909188	0.2034
NR_002974	chr1(.):155884699-155894833	0.1643
NR_003005	chr1(.):155890748-155900877	0.1703
NM_020131	chr1(.):156000091-156028516	0.2048
NM_001093725	chr1(.):156036803-156056789	0.1697
NM_020387	chr1(.):156025965-156045295	0.1764
NM_001145264	chr1(.):156019516-156033301	0.2244
NM_003145	chr1(.):155973838-155995758	0.2191
NM_014655	chr1(.):156158729-156187587	0.2668
NM_007221	chr1(.):156177783-156214833	0.2536
NM_022367	chr1(.):156118321-156152542	0.2656
NM_001193302	chr1(.):156118368-156152542	0.2656
NM_001193301	chr1(.):156114734-156152542	0.268
NM_005920	chr1(.):156428518-156475529	0.2405
NM_004494	chr1(.):156706898-156726543	0.2476
NM_001126051	chr1(.):156706898-156727024	0.2445
NM_001126050	chr1(.):156706898-156727240	0.2442
NM_030980	chr1(.):156687412-156702705	0.2198
NM_001878	chr1(.):156664407-156680375	0.1704
NM_001142560	chr1(.):156693262-156711752	0.2341
NM_145729	chr1(.):156702093-156715923	0.203
NR_001560	chr1(.):157093153-157103463	0.1755
NM_005240	chr1(.):157097975-157113177	0.2354
NM_001145312	chr1(.):157089458-157113383	0.203
NM_031281	chr1(.):157478166-157527310	0.2114
NM_003564	chr1(.):159882902-159900284	0.2115
NM_001013661	chr1(.):159819105-159837447	0.1951
